Hispanic American,Column1,Dollars,M/F,Contract,prime comment,Districts,Prime
MORALES CONTRACTING ,-4142.0,1124503.2,0.0,1.0,1,8.0,1.0
MONZON & SON ENTERPRISES INC,43.0,188970.0,0.0,3.0,"C.A. RASMUSSEN INC
GRANITE CONSTRUCTION COMPANY
PETERSON-CHASE GENERAL ENGINEERING",8.0,3.0
MANERI TRAFFIC CONTROL,-4142.0,2256208.8,0.0,13.0,"ALL AMERICAN ASPHALT
C.A. RASMUSSEN INC
COFFMAN SPECIALTIES
O'DONNELL CONSTRUCITON INC
LB CIVIL CONSTRUCTION
ORTIZ ENTERPRISES INC
PETERSON-CHASE GENERAL ENGINEERING CONSTRUCTION
PTM ENGINEERING SERVICES, INC
RV CONCRETE, INC.
SEMA CONSTRUCTION INC
SULLY-MILLER CONTRACTING COMPANY
CALMEX ENGINEERING
",7.0,10.0
TULLY CONSULTING GROUP,-4142.0,525380.0,1.0,28.0,"BAY CITIES PAVING & GRADING, INC.
BORTOLUSSI & WATKIN, INC.
BRIDGEWAY CIVIL CONSTRUCTORS
C.A. RASMUSSEN INC
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GORDON N BALL
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
M.C.M. CONSTRUCTION INC
MEYERS EARTHWORK
O.C. JONES & SONS
PETERSON-CHASE GENERAL ENGINEERING
SAK CONSTRUCTION
TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC

",6.0,16.0
SoCAL WELDING,-4142.0,200796.0,0.0,1.0,DISNEY CONSTRUCTION INC.,4.0,1.0
SAWMAN CONCRETE CUTTING,43.0,1094000.0,0.0,1.0,J MCLOUGHLIN ENGINEERING CO INC,8.0,1.0
"CONSTRUCTION AREA SIGNS, INC.",33.0,453400.16,1.0,3.0,"FLATIRON WEST INC
O.C. JONES & SONS
ROAD AND HIGHWAY BUILDERS LLC
SEMA CONSTRUCTION INC",8.0,4.0
G & G ELECTRIC,-4142.0,1434890.0,0.0,4.0,"LANDSCAPE SUPPORT SERVICES
PETERSON CHASE GENERAL ENGINEERING CONSTRUCTION INC
POWELL CONSTRUCTORS INC
",8.0,3.0
A & M CONSULTING ENGINEERS,-4142.0,190800.0,0.0,10.0,"GHILOTTI BROS., INC.        
GOLDEN STATE BRIDGE, INC.
O.C. JONES & SONS INC
Q&D CONSTRUCTION LLC",3.0,4.0
DOUBLE M TRUCKING,43.0,1106520.0,0.0,4.0,"O.C. JONES & SONS INC
TEICHERT CONSTRUCTION",3.0,2.0
MONZON & SON ENTERPRISES INC,43.0,188970.0,0.0,3.0,"C.A. RASMUSSEN INC
GRANITE CONSTRUCTION COMPANY
PETERSON-CHASE GENERAL ENGINEERING",7.0,3.0
QUALITY TRAFFIC CONTROL,-4142.0,11050.0,0.0,2.0,"PAVE-TECH INC
PETERSON-CHASE ENGINEERING CONSTRUCTION",8.0,2.0
ALL STATE TRUCKING,43.0,658690.0,0.0,3.0,SEMA CONSTRUCTION INC,7.0,1.0
SAN JOSE TRANSPORT,43.0,8000.0,0.0,1.0,0,5.0,1.0
VALDIVIA TRUCKING,43.0,1116000.0,0.0,3.0,GHILOTTI CONSTRUCTION COMPANY INC,4.0,1.0
G & F CONCRETE CUTTING,-4142.0,2731524.51,1.0,4.0,"ALFARO COMMUNICATIONS CONSTRUCTION INC
FLATIRON WEST, INC.
PETERSON CHASE GENERAL ENGINEERING CONSTRUCTION
POWELL CONSTRUCTORS INC",11.0,4.0
DRAGON MATERIAL,43.0,9835651.090000002,1.0,14.0,"BROSAMER & WALL INC
BAY CITIES PAVING & GRADING INC
GHILOTTI BROS. INC.
GRANITE CONSTRUCTION COMPANY
KNIFE RIVER CONSTRUCTION
OHL USA
SECURITY PAVING COMPANY
TEICHERT CONSTRUCTION
CALMEX ENGINEERING INC
",2.0,9.0
EAGLE ROCK INDUSTRIES,-4142.0,9828650.0,0.0,1.0,0,5.0,1.0
"CONSTRUCTION AREA SIGNS, INC.",33.0,453400.16,1.0,3.0,"FLATIRON WEST INC
O.C. JONES & SONS
ROAD AND HIGHWAY BUILDERS LLC
SEMA CONSTRUCTION INC",3.0,4.0
GASPAR TRUCKING,43.0,178000.0,0.0,1.0,1,8.0,1.0
DRS REBAR INC,-4142.0,2028803.45,0.0,5.0,"C.A. RASMUSSEN INC
GRANITE CONSTRUCTION INC
ORTIZ ENTERPRISES INC.
SECURITY PAVING COMPANY INC",8.0,4.0
LOGISTICAL ENTERPRISES,-4142.0,1677067.65,1.0,10.0,"BALDWIN CONTRACTING COMPANY
BAY CITIES PAVING & GRADING
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GHILOTTI CONSTRUCTION COMPANY
STUDEBAKER BROWN ELECTRIC INC
PACIFIC INFRASTRUCTURE CONSTRUCTION LLC
FBD VANGUARD CONSTRUCTION",10.0,8.0
RANGEL BROTHERS ,43.0,600080.0,0.0,2.0,"SECURITY PAVING COMPANY
PAPICH CONSTRUCTION COMPANY INC",5.0,2.0
G.O. RODRIGUEZ TRUCKING ,43.0,137700.0,0.0,1.0,SPECTRUM CONSTRUCTION GROUP INC,8.0,1.0
OST TRUCKS AND CRANES INC.,-4142.0,51057.0,0.0,1.0,2,6.0,1.0
RANGEL BROTHERS ,43.0,600080.0,0.0,2.0,"SECURITY PAVING COMPANY
PAPICH CONSTRUCTION COMPANY INC",7.0,2.0
UNIVERSAL CONCRETE CONSTRUCTION,-4142.0,719714.25,0.0,1.0,2,8.0,1.0
MEX ELECTRIC,-4142.0,11741665.0,0.0,4.0,"BROSAMER & WALL INC
Q&D CONSTRUCTION LLC
SECURITY PAVING COMPANY INC.",3.0,3.0
FRANK MEDINA GENERAL ENGINEERING,-4142.0,905920.0,0.0,4.0,"O.C. JONES & SONS INC
CORAL CONSTRUCTION COMPANY 
PAPICH CONSTRUCTION COMPANY",3.0,3.0
G & F CONCRETE CUTTING,-4142.0,2731524.51,1.0,4.0,"ALFARO COMMUNICATIONS CONSTRUCTION INC
FLATIRON WEST, INC.
PETERSON CHASE GENERAL ENGINEERING CONSTRUCTION
POWELL CONSTRUCTORS INC",8.0,4.0
SAVALA EQUIPMENT COMPANY INC,-4142.0,108441.7,1.0,2.0,"FLATIRON WEST, INC.
ORTIZ ENTERPRISES INC

",8.0,2.0
A & M CONSULTING ENGINEERS,-4142.0,190800.0,0.0,10.0,"GHILOTTI BROS., INC.        
GOLDEN STATE BRIDGE, INC.
O.C. JONES & SONS INC
Q&D CONSTRUCTION LLC",4.0,4.0
MANERI TRAFFIC CONTROL,-4142.0,2256208.8,0.0,13.0,"ALL AMERICAN ASPHALT
C.A. RASMUSSEN INC
COFFMAN SPECIALTIES
O'DONNELL CONSTRUCITON INC
LB CIVIL CONSTRUCTION
ORTIZ ENTERPRISES INC
PETERSON-CHASE GENERAL ENGINEERING CONSTRUCTION
PTM ENGINEERING SERVICES, INC
RV CONCRETE, INC.
SEMA CONSTRUCTION INC
SULLY-MILLER CONTRACTING COMPANY
CALMEX ENGINEERING
",11.0,10.0
DRAGON MATERIAL,43.0,9835651.090000002,1.0,14.0,"BROSAMER & WALL INC
BAY CITIES PAVING & GRADING INC
GHILOTTI BROS. INC.
GRANITE CONSTRUCTION COMPANY
KNIFE RIVER CONSTRUCTION
OHL USA
SECURITY PAVING COMPANY
TEICHERT CONSTRUCTION
CALMEX ENGINEERING INC
",4.0,9.0
AUSTIN ENTERPRISE ,-4142.0,3705737.28,1.0,21.0,"BAY CITIES PAVING & GRADING, INC.               
BRIDGEWAY CIVIL CONSTRUCTORS, INC
BROSAMER & WALL INC
CALPORTLAND COMPANY
GHILOTTI BROS., INC.     
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
DISNEY CONSTRUCTION COMPANY
OHL USA
RV CONCRETE, INC
SECURITY PAVING COMPANY
SEMA CONSTRUCTION
A. TEICHERT & SON, INC. DBA TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC
PAPICH CONSTRUCTION COMPANY INC",6.0,15.0
DRS REBAR INC,-4142.0,2028803.45,0.0,5.0,"C.A. RASMUSSEN INC
GRANITE CONSTRUCTION INC
ORTIZ ENTERPRISES INC.
SECURITY PAVING COMPANY INC",7.0,4.0
DRAGON MATERIAL,43.0,9835651.090000002,1.0,14.0,"BROSAMER & WALL INC
BAY CITIES PAVING & GRADING INC
GHILOTTI BROS. INC.
GRANITE CONSTRUCTION COMPANY
KNIFE RIVER CONSTRUCTION
OHL USA
SECURITY PAVING COMPANY
TEICHERT CONSTRUCTION
CALMEX ENGINEERING INC
",1.0,9.0
TULLY CONSULTING GROUP,-4142.0,525380.0,1.0,28.0,"BAY CITIES PAVING & GRADING, INC.
BORTOLUSSI & WATKIN, INC.
BRIDGEWAY CIVIL CONSTRUCTORS
C.A. RASMUSSEN INC
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GORDON N BALL
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
M.C.M. CONSTRUCTION INC
MEYERS EARTHWORK
O.C. JONES & SONS
PETERSON-CHASE GENERAL ENGINEERING
SAK CONSTRUCTION
TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC

",10.0,16.0
MANERI TRAFFIC CONTROL,-4142.0,2256208.8,0.0,13.0,"ALL AMERICAN ASPHALT
C.A. RASMUSSEN INC
COFFMAN SPECIALTIES
O'DONNELL CONSTRUCITON INC
LB CIVIL CONSTRUCTION
ORTIZ ENTERPRISES INC
PETERSON-CHASE GENERAL ENGINEERING CONSTRUCTION
PTM ENGINEERING SERVICES, INC
RV CONCRETE, INC.
SEMA CONSTRUCTION INC
SULLY-MILLER CONTRACTING COMPANY
CALMEX ENGINEERING
",8.0,10.0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PTM GENERAL ENGINEERING SERVICES,-4142.0,8609993.37,1.0,1.0,"PTM ENGINEERING SERVICES, INC
",7.0,1.0
TULLY CONSULTING GROUP,-4142.0,525380.0,1.0,28.0,"BAY CITIES PAVING & GRADING, INC.
BORTOLUSSI & WATKIN, INC.
BRIDGEWAY CIVIL CONSTRUCTORS
C.A. RASMUSSEN INC
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GORDON N BALL
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
M.C.M. CONSTRUCTION INC
MEYERS EARTHWORK
O.C. JONES & SONS
PETERSON-CHASE GENERAL ENGINEERING
SAK CONSTRUCTION
TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC

",7.0,16.0
TULLY CONSULTING GROUP,-4142.0,525380.0,1.0,28.0,"BAY CITIES PAVING & GRADING, INC.
BORTOLUSSI & WATKIN, INC.
BRIDGEWAY CIVIL CONSTRUCTORS
C.A. RASMUSSEN INC
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GORDON N BALL
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
M.C.M. CONSTRUCTION INC
MEYERS EARTHWORK
O.C. JONES & SONS
PETERSON-CHASE GENERAL ENGINEERING
SAK CONSTRUCTION
TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC

",5.0,16.0
HOPPY'S SWEEPING SERVICES,-4142.0,65280.0,1.0,1.0,2,6.0,1.0
G & F CONCRETE CUTTING,-4142.0,2731524.51,1.0,4.0,"ALFARO COMMUNICATIONS CONSTRUCTION INC
FLATIRON WEST, INC.
PETERSON CHASE GENERAL ENGINEERING CONSTRUCTION
POWELL CONSTRUCTORS INC",12.0,4.0
