Index,revenue,cast
970,1519557910," Mark Ruffalo,  Chris Evans,  Scarlett Johansson, Robert Downey Jr."
971,132400000," Theo James, Kate Beckinsale,  India Eisley,  Michael Ealy"
972,1081041287," Anne Hathaway,  Michael Caine,  Tom Hardy, Christian Bale"
973,425368238," Christoph Waltz,  Kerry Washington, Jamie Foxx,  Samuel L. Jackson"
974,1108561013," Ralph Fiennes,  Javier Bardem, Daniel Craig"
975,276572938,"Jeremy Renner,  Scott Glenn"
976,1017003568," Richard Armitage, Ian McKellen"
977,403170142," Idris Elba,  Michael Fassbender, Noomi Rapace,  Charlize Theron"
978,205738714," Jennifer Lawrence, Bradley Cooper,  Robert De Niro"
979,752215857," Rhys Ifans,  Martin Sheen, Andrew Garfield"
980,538983207," Billy Connolly,  Julie Walters"
981,396600000," Ian McShane,  Sam Claflin,  Charlize Theron, Kristen Stewart"
982,201585328," Dave Franco,  Ellie Kemper, Channing Tatum,  Jonah Hill,  Brie Larson"
983,609016565," Gautam Belur,  Ayush Tandon, Suraj Sharma,  Adil Hussain"
984,877244782," Ray Romano, John Leguizamo,  Denis Leary"
985,549368315," Seth MacFarlane, Mark Wahlberg,  Mila Kunis,  Joel McHale,  Giovanni Ribisi"
986,218340595," Werner Herzog,  David Oyelowo,  Richard Jenkins, Tom Cruise,  Rosamund Pike"
987,180274123," Samuel Joslin,  Ewan McGregor,  Tom Holland,  Oaklee Pendergast"
988,471222889," Jack McBrayer,  Jamie Elman,  Jane Lynch"
989,115350426," Rebel Wilson,  Anna Camp,  Brittany Snow,  Skylar Astin"
990,624026776," Michael Stuhlbarg,  Josh Brolin, Will Smith,  Tommy Lee Jones"
991,691210692," Josh Hutcherson,  Woody Harrelson,  Elizabeth Banks, Jennifer Lawrence"
992,198802074," Jessica Biel, Colin Farrell"
993,130482868," Jim Sturgess,  Jim Broadbent,  Hugo Weaving,  Halle Berry"
994,312573423," Bruce Willis, Sylvester Stallone,  Jason Statham"
995,376141306," Rade Serbedzija,  Famke Janssen,  Luke Grimes"
996,245527149," Helena Bonham Carter,  Michelle Pfeiffer, Johnny Depp"
997,33400000," Emma Watson,  Nina Dobrev"
998,232324128,"Ben Affleck,  Bryan Cranston,  Alan Arkin,  Victor Garber"
999,234989584,"Jason Biggs,  Alyson Hannigan,  Chris Klein,  Thomas Ian Nicholas,  Seann William Scott"
1000,167221571," Olivia Munn,  Matthew McConaughey, Channing Tatum"
1001,66486080," Chris Hemsworth,  Anna Hutchison"
1002,306941670,"Chris Pine,  Isla Fisher,  Alec Baldwin"
1003,196114570," Scott Speedman,  Channing Tatum,  Jessica Lange,  Sam Neill"
