Subtitle,Item ,Unit Price,Total Price
Dunbar High School,0,,
Edwin Joel Brown,1,,
Belle Haven,0,,
Transportation,1,,
Ludlow I,0,,
Edwin Joel Brown,5,,0.0
Gardendale,5,,
Ruskin PK-8,1,,
Horace Mann PK-8,,0.0,
Ludlow I NOC,,,0.0
Ludlow I NOC,6,,0.0
David H. Ponitz CTC,1,,
Kiser,3,,
Fairview ,4,,
Valerie,,1.0,
Dayton Boys Prep Academy,2,,
Service Building,,1.0,
Dunbar High School,5,,0.0
Thurgood Marshall,,,
Jackson Center,0,,
Cleveland,,0.0,
Edwin Joel Brown,4,,0.0
Kemp PK-8,4,,0.0
Meadowdale PK-8,,,
Meadowdale HS,,2.0,
Edwin Joel Brown,,,
Stivers School for the Arts,5,,0.0
Horace Mann PK-8,5,,0.0
Kemp PK-8,1,,
Kiser,5,,
Westwood,,0.0,
Service Building,2,,
Thurgood Marshall,,0.0,
Longfellow Academy,1,,
Cleveland,1,,
Transportation,,,
Rosa Parks PK,1,,
Fairview ,2,,
Wogaman,2,,
Rosa Parks PK,5,,0.0
Kiser,2,,
Wogaman,,0.0,
Belle Haven,5,,
Service Building,3,,
Jackson Center,3,,
Ludlow I,3,,
Jackson Center,4,,
Meadowdale PK-8,2,,
Wright Brothers,2,,
Belle Haven,4,,
Service Building,4,,
Welcome Stadium,0,,
Edison PK-8,2,,
David H. Ponitz CTC,2,,
Horace Mann PK-8,4,,0.0
Welcome Stadium,5,,
River's Edge,OneX converter modules,,0.0
Ludlow I NOC,X2-10GB-T,,0.0
Kemp PK-8,,,
Cleveland,4,,
Horace Mann PK-8,2,,
Dunbar High School,4,,0.0
David H. Ponitz CTC,,0.0,
Longfellow Academy,5,,
Louise Troy PK-8,1,,
Ludlow I,2,,
Welcome Stadium,2,,
Welcome Stadium,,1.0,
Service Building,1,,
David H. Ponitz CTC,5,,0.0
Belle Haven,,,
Charity Adams,,2.0,
Rosa Parks PK,4,,0.0
Jackson Center,5,,
Cleveland,0,,
Louise Troy PK-8,0,,
World of Wonder,2,,
Dayton Boys Prep Academy,,2.0,
Service Building,0,,
Louise Troy PK-8,4,,0.0
Gardendale,3,,
Gardendale,4,,
Gardendale,1,,
Longfellow Academy,3,,
Thurgood Marshall,1,,
Cleveland,5,,
Longfellow Academy,,1.0,
Kemp PK-8,0,,
Stivers School for the Arts,2,,
Wright Brothers,5,,
Charity Adams,2,,
Jackson Center,,1.0,
Longfellow Academy,0,,
Ludlow I NOC,,1.0,
Louise Troy PK-8,5,,0.0
Edison PK-8,,2.0,
Jackson Center,2,,
River's Edge,WS-X4606-X2-E,,0.0
Service Building,5,,
Kiser,0,,
Dunbar High School,2,,
Rosa Parks PK,2,,
Edwin Joel Brown,,,
Eastmont PK-8,4,,
Gardendale,,1.0,
Westwood,4,,0.0
World of Wonder,4,,
Ludlow I,1,,
Ludlow I,4,,
David H. Ponitz CTC,0,,
Cleveland,3,,
Longfellow Academy,4,,
Wogaman,5,,
Edwin Joel Brown,0,,
Thurgood Marshall,0,,
Horace Mann PK-8,1,,
Westwood,5,,0.0
Louise Troy PK-8,,0.0,
