title_length,production_companies
21, Samuels Media
10, Blumhouse Productions
31, Abraham Productions
17, ImageMovers
16, TF1 Droits Audiovisuels
17, Exclusive Media Group
7, Initial Entertainment Group (IEG)
27, Maverick Films
19, Moving Picture Company (MPC)
15, Warner Bros.
11,De Line Pictures
14, Grindstone Entertainment Group
11, Sony Pictures Entertainment (SPE)
26, Scott Rudin Productions
37, Aramid Entertainment Fund
13, Goldmann Pictures
16, Dutch Oven
12,Village Roadshow Pictures
10, Unfaithful Filmproduktion GmbH & Co. KG
9, Abandon Entertainment
11, Metro-Goldwyn-Mayer (MGM)
15,Walt Disney Animation Studios
21, Practical Pictures
19, Splendid Pictures
5, RatPac Entertainment
17,Appian Way
15, Dino De Laurentiis Company
37,Anonymous Content
9, Silver Pictures
10, TF1 Films Production
10, Reliance Entertainment
14,Fox Searchlight
5, Twentieth Century Fox Animation
7, Di Bonaventura Pictures
7,Laura Ziskin Productions
12, M6 Films
13, Relativity Media
10, TÃ©lÃ©film Canada
8, RatPac-Dune Entertainment
14,United Artists
7,One Race Productions
14,Section Eight
10, Relativity Media
42, Lawrence Gordon Productions
8, Crave Films
25,Impact Pictures
13, Stuber Productions
12, Samuelson Productions
33,WingNut Films
18, KC Medien
8,Open Road Films
17, Junction Entertainment
20, Playtone Production
24, platinum studios
18, Village Roadshow Pictures
10, DreamWorks Pictures
14, Phoenix Pictures
19, Spyglass Entertainment
23,Dune Entertainment
13, Goldcrest Pictures
3, Revolution Studios
11, Mark Canton Productions
9, Hyde Park Films
19, Tapestry Films
12, Warner Bros.
18,Lionsgate
10, Bluegrass Films
10, Working Title Films
21, One Race Films
9,Twentieth Century Fox Film Corporation
18,Epsilon Motion Pictures
16, Touchstone Pictures
18, Truth Entertainment
15,Wildwood Enterprises
13,Mike Zoss Productions
12, Epsilon Motion Pictures
11,Centropolis Entertainment
18, Scott Free Productions
19, Run It Up Productions Inc.
9, Twentieth Century Fox Film Corporation
10,Likely Story
29, Hammerhead Productions
13,Participant Media
5, Overbrook Entertainment
17, Dune Films
5,Walt Disney Pictures
13, Syncopy
5, Le Pacte
22,Rogue Pictures
15,Walt Disney Pictures
12,Fox Searchlight Pictures
32, Nouvelles Ã‰ditions de Films (NEF)
24, Relativity Media
16,DNA Films
17,Village Roadshow Pictures
4, The Mark Gordon Company
26, Donners' Company
18,Columbia Pictures Corporation
18, Danmarks Radio (DR)
9, Scott Rudin Productions
7, After Dark Films
18,Recorded Pictures Company
7,Summit Entertainment
18, MMCB Film Produktion 2004
11, Black & White Productions
15,Warner Bros.
11,Fox 2000 Pictures
36,Walt Disney Pictures
10,Temple Hill Productions
12, Epsilon Motion Pictures
58, Warner Bros.
18, The Movie Network
7, Flyboys Films
24, Seed Productions
17, Millennium Films
12,Ghost House Pictures
15, Gunn Films
6,Rainforest Films
13,Walt Disney Pictures
8, Lion Rock Productions
15, Marc Platt Productions
11,Legendary Pictures
21, Room 101
16, VCL Communications
21, Picture Machine
41,Summit Entertainment
19, LStar Capital
10,Fox Searchlight Pictures
24, Paramount Vantage
19, MDBF Filmgesellschaft mbH & Company KG
9,Twentieth Century Fox Film Corporation
9, Strike Entertainment
9, Montecito Picture Company
40, Nickelodeon Animation Studios
11, Working Title Films
27, Necropia
11, DMG Entertainment
16, Cheyenne Enterprises
11, Warner Bros.
12,Paramount Pictures
15, Temple Hill Entertainment
17, Triple Threat Talent
3, Gold/Miller Productions
9,Village Roadshow Pictures
10,Alliance Films
15, China Film Group Corporation (CFGC)
14,Bac Films
17, Hacienda Productions
11,Miramax Films
11, Gold Circle Films
20, Medienproduktion Prometheus Filmgesellschaft
15,Columbia Pictures
12, Pixar Animation Studios
12, Protozoa Pictures
8, Canadian Film or Video Production Tax Credit (CPTC)
17, Rogue
14, Raindog Films
14, StudioCanal
37, StudioCanal
16,Asymmetrical Productions
10, Warner Bros.
8,Columbia Pictures
10,Universal Pictures
33, Scott Rudin Productions
4, Helena Productions
31, Film Rites
7, Stage 6 Films
10, Follow Through Productions
14,Walt Disney Pictures
18, Current Entertainment
14, Hemisphere Media Capital
9,Touchstone Pictures
18, Gran Via Productions
26, Electric City Entertainment
19, Smokehouse Pictures
11,Village Roadshow Pictures
17, World Wrestling Entertainment (WWE)
9, Participant Media
18, Wild Ocean Films
2, Pixar Animation Studios
5,DNA Films
9, Columbia Pictures Corporation
83, Four By Two Productions
9, Open Road Films
