Index,genres
0," Sci-Fi,  Fantasy,  Adventure, Action"
1,"Action,  Fantasy,  Adventure"
2," Adventure, Action,  Thriller"
3,"Action,  Thriller"
5," Sci-Fi,  Adventure, Action"
6," Romance, Action,  Adventure"
7," Fantasy,  Romance,  Animation,  Family,  Comedy, Adventure"
8,"Action,  Sci-Fi,  Adventure"
9," Fantasy,  Mystery, Adventure,  Family"
10,"Action,  Sci-Fi,  Adventure"
11," Adventure, Action,  Sci-Fi"
12," Adventure, Action"
13," Fantasy,  Adventure, Action"
14," Western, Action,  Adventure"
15," Fantasy,  Adventure,  Sci-Fi"
16," Fantasy, Action,  Adventure,  Family"
17," Sci-Fi,  Adventure, Action"
18," Adventure,  Fantasy, Action"
19," Fantasy,  Family,  Adventure,  Sci-Fi, Action,  Comedy"
20, Fantasy
21," Fantasy, Action,  Adventure"
22," Adventure,  History,  Drama"
23," Fantasy, Adventure"
24," Family, Adventure,  Fantasy"
25," Romance,  Adventure, Action"
26, Romance
27," Adventure,  Sci-Fi, Action"
28," Adventure,  Sci-Fi,  Thriller, Action"
29," Sci-Fi,  Adventure, Action,  Thriller"
30,"Action,  Adventure,  Thriller"
31," Romance,  Adventure,  Fantasy, Action"
32,"Action,  Adventure,  Sci-Fi"
33,"Adventure,  Fantasy"
34," Sci-Fi, Action,  Adventure,  Thriller,  Fantasy"
35," Family, Adventure,  Fantasy,  Animation"
36,"Action,  Adventure,  Sci-Fi"
37," Sci-Fi, Action,  Adventure"
38," Fantasy, Adventure"
39," Fantasy,  Sci-Fi,  Adventure, Action"
40,"Action,  Sci-Fi"
41,"Adventure,  Comedy,  Animation,  Family"
42," Adventure,  Sci-Fi, Action"
43," Comedy,  Fantasy, Adventure,  Family"
44," Sci-Fi, Action,  Adventure"
45,"Action,  Thriller"
46," Horror,  Sci-Fi,  Thriller, Action,  Adventure"
47," Thriller,  Sci-Fi,  Fantasy, Action,  Adventure"
48," Adventure,  Sci-Fi, Action"
49," Fantasy, Adventure"
50," Romance, Drama"
51,"Action,  Fantasy,  Adventure,  Romance"
52,"Action,  Sci-Fi,  Adventure"
53," Adventure, Action,  Sci-Fi"
54," Fantasy, Action,  Adventure"
56," Fantasy, Adventure,  Animation,  Comedy,  Family"
57,"Action,  Thriller,  Sci-Fi,  Adventure"
58," Family,  Animation, Adventure"
59," Comedy,  Crime,  Thriller, Action"
60,"Action,  Sci-Fi,  Adventure"
61," Family,  Drama, Animation,  Fantasy"
62,"Action,  Sci-Fi,  Adventure"
63," Romance,  Drama,  Adventure, Action"
64,"Adventure,  Fantasy,  Family"
65,"Action,  Adventure,  Sci-Fi"
66,"Action,  Thriller,  Crime"
67," Family, Adventure,  Comedy"
68," Family,  Comedy,  Sci-Fi,  Animation,  Adventure"
69,"Action,  Adventure,  Sci-Fi"
70,"Adventure,  Family,  Drama,  Mystery"
71,"Action,  Comedy,  Western,  Sci-Fi"
72," Thriller,  Horror,  Fantasy, Action,  Adventure"
73," Sci-Fi, Action,  Adventure"
74," Fantasy,  Family"
75," Adventure,  Sci-Fi"
76," Thriller, Action,  Sci-Fi,  Adventure"
77," Sci-Fi,  Thriller,  Adventure, Action"
78," Drama, Adventure,  Fantasy,  Comedy,  Animation"
79,"Adventure,  Fantasy,  Family,  Drama"
80,"Action,  Sci-Fi"
81," Fantasy,  Adventure, Action,  Drama"
82,"Action,  Family,  Fantasy,  Adventure,  Romance"
83," Sci-Fi, Action,  Adventure"
85," Adventure,  Fantasy"
86," Sci-Fi, Action,  Adventure"
87,"Adventure,  Animation,  Fantasy,  Family"
88,"Action,  Adventure,  Mystery,  Family"
89," Animation,  Comedy, Action,  Drama,  Adventure,  Sci-Fi"
90," Animation,  Comedy,  Sci-Fi, Adventure,  Family"
91," Fantasy,  Animation, Adventure,  Family"
92," Adventure, Action,  Sci-Fi"
93," Family,  Animation,  Fantasy, Adventure"
94,"Action,  Sci-Fi"
95,"Action,  Sci-Fi"
96," Drama, Adventure,  Sci-Fi"
97," Adventure, Action,  Thriller,  Sci-Fi"
100," Crime,  Thriller, Action"
101," Fantasy,  Romance, Drama"
102,"Action,  Sci-Fi,  Adventure"
103," Sci-Fi, Adventure"
104," Adventure,  Family, Action,  Fantasy"
105," Adventure, Action"
106," Fantasy,  Family, Adventure"
107," Fantasy,  Animation,  Family"
108," Adventure,  Fantasy, Action"
109,"Action,  Adventure,  Sci-Fi"
110," Family, Adventure,  Fantasy"
111," History,  Drama,  Romance,  War, Action"
112," Adventure, Action,  Sci-Fi"
113," Adventure,  Drama,  Biography,  War, Action,  History,  Romance"
114,"Adventure,  Fantasy,  Mystery"
115," Fantasy,  Mystery,  Family, Adventure"
116," Drama, Action"
117,"Drama,  Horror,  Sci-Fi"
118," Fantasy,  Comedy, Adventure,  Family"
119," Family, Animation,  Fantasy,  Comedy"
120," Adventure, Action"
121," Animation,  Comedy,  Family, Action,  Adventure"
122," Comedy,  Family, Adventure,  Fantasy"
123," Sci-Fi,  Thriller,  Fantasy,  Adventure, Action"
124,"Action,  Sci-Fi"
125," Musical,  Comedy,  Animation, Adventure,  Family,  Fantasy"
126,"Action,  Sci-Fi"
127,"Action,  Fantasy,  Adventure"
128," Thriller,  Sci-Fi, Action,  Adventure"
129,"Mystery,  Thriller"
130," Fantasy,  Adventure, Action"
131," Family,  Drama,  Animation,  Comedy, Adventure"
132," Fantasy,  Comedy,  Family, Action,  Sci-Fi,  Animation,  Adventure"
133,"Action,  Adventure,  Fantasy"
134,"Comedy,  Fantasy,  Horror"
135," Thriller,  Adventure"
136,"Drama,  Thriller,  Horror,  Fantasy"
137," Romance,  Drama,  Adventure, Action"
138," Family, Adventure,  Animation,  Comedy"
139,"Action,  Family,  Adventure,  Comedy,  Animation"
140," Family,  Fantasy, Action"
141," Adventure, Action,  Thriller"
142," Thriller,  Drama, Action"
143," Family,  Comedy,  Adventure,  Animation,  Sci-Fi, Action"
144," Animation,  Family, Adventure,  Comedy"
145,"Adventure,  Family,  Fantasy"
146,"Adventure,  Sci-Fi,  Animation,  Comedy,  Family"
147,Adventure
148," Comedy, Adventure,  Animation,  Family"
149," Thriller, Action"
150,"Action,  Sci-Fi"
151," Sci-Fi, Action,  Adventure,  Thriller"
152," Comedy,  Fantasy, Action,  Family,  Mystery,  Sci-Fi,  Adventure"
153," Fantasy,  Animation, Action,  Adventure"
154," Family,  Adventure,  Animation"
155,"Action,  Adventure,  Thriller"
156," Animation,  Fantasy,  Family"
157,"Comedy,  Crime"
158," Drama,  History,  War, Action"
159," Adventure,  Drama, Action"
160," Adventure, Action,  Sci-Fi"
161," Romance,  Fantasy, Action,  Adventure"
162," Comedy,  Family,  Animation,  Fantasy, Action,  Adventure"
163,"Action,  Adventure,  Fantasy"
164,"Action,  Sci-Fi,  Thriller,  Adventure"
165," Mystery,  Sci-Fi,  Drama, Action"
166," Thriller, Action,  Crime"
167,"Action,  Sci-Fi"
168,"Action,  Adventure,  Sci-Fi,  Thriller"
169," Adventure,  Comedy, Action,  Thriller"
170," Romance,  Sci-Fi,  Fantasy,  Adventure,  Animation, Action"
171," Sci-Fi,  Adventure, Action"
172," Adventure,  Thriller"
173," Adventure, Action,  Drama,  War"
174,"Adventure,  Drama,  Fantasy,  Romance"
175," Comedy, Animation,  Musical,  Family"
176," Adventure,  Sci-Fi"
