Latitude,City,Index,Country
30.48,san quintin,53,MX
36.41,taos,437,US
-24.87,carnarvon,74,AU
1.57,bunia,461,CD
64.54,arkhangelsk,429,RU
57.8,tigil,463,RU
42.8,hami,186,CN
22.13,kasrawad,321,IN
37.72,vila franca do campo,414,PT
61.6,floro,292,NO
-8.12,boyolangu,411,ID
68.05,ostrovnoy,69,RU
-45.42,te anau,472,NZ
16.15,wagar,451,SD
37.35,cortez,130,US
41.37,bethel,13,US
65.58,lavrentiya,256,RU
23.52,galiakot,132,IN
41.14,westport,96,US
39.81,magalia,113,US
-15.43,acari,248,PE
27.9,xichang,3,CN
40.8,eureka,554,US
60.14,nanortalik,393,GL
54.77,flin flon,533,CA
-10.07,huarmey,242,PE
-34.0,kruisfontein,194,ZA
69.45,tuktoyaktuk,12,CA
2.38,ambam,348,CM
28.75,florida,182,US
60.73,lensk,574,RU
47.91,ulaanbaatar,294,MN
-5.67,tual,121,ID
5.89,sabang,576,ID
50.0,kosh-agach,249,RU
71.04,mehamn,271,NO
-35.1,kaeo,481,NZ
69.3,deputatskiy,484,RU
6.45,bekwai,392,GH
7.77,san cristobal,500,VE
50.68,severo-kurilsk,192,RU
40.59,redding,509,US
-25.4,taltal,161,CL
-6.22,jacareacanga,317,BR
-33.7,chuy,257,UY
3.94,ortega,479,CO
42.0,ajaccio,346,FR
-13.68,ambanja,44,MG
-38.95,neuquen,517,AR
34.73,madison,84,US
32.67,ponta do sol,153,PT
-33.02,east london,205,ZA
30.44,mirabad,467,AF
58.3,juneau,48,US
63.84,grindavik,171,IS
17.42,tabuk,365,PH
3.07,butaritari,67,KI
5.41,georgetown,1,MY
-18.06,opuwo,417,
51.02,krasnoarmeysk,39,RU
42.6,albany,7,US
57.13,znamenskoye,442,RU
34.98,tateyama,354,JP
-25.62,nueva italia,489,PY
19.73,hilo,9,US
60.05,gornopravdinsk,390,RU
62.49,timra,280,SE
35.73,hasaki,426,JP
36.62,orange cove,97,US
16.06,vieux-habitants,362,GP
7.45,baculin,62,PH
-20.34,bambous virieux,208,MU
