Player Name,Year,Points
0,1993-94,"38, 31, 30"
0,1994-95,"38, 34, 33, 30"
1,1957-58,"36, 35, 31"
1,1958-59,"38, 35, 31, 31"
Don Peterson ,1980-81,47
Duane Anderson,0,38
Duane Anderson ,0,"34, 30"
Gary Greve,1956-57,"35, 30"
Jason Larson,2018-19,32
Jason Schuepbach    ,1995-96,34
Jordan Schultz,2004-05,32
Mark Emerson,1971-72,46
Mark Losby,2000-01,34
Matt Kleppe,1999-00,30
Max Meylor,2015-16,"31, 30"
Milt Bakken,1955-56,"39, 34, 32"
Pete Schmitt,2002-03,32
Tim Woller,1990-91,31
Todd May,1983-84,"33, 32, 31, 31"
