Subtitle,"Product Code
nieuw",Omschrijving 2,EAN code,Omschrijving 1,Bruto systeemprijs
Accessoires,29310,EM-Set Sensor Mini ,,Jokari Sensor Mini Set reservemesjes,60.35
Accessoires,29450,EM-Set High-Strip,,Jokari Set reservemesjes,27.4
Wire stripper,20255,Outlet Special 55,4011391202559.0,Jokari Outlet Special 55,88.9
Various models,60100,QUADRO Cartridge,4011391601000.0,Jokari Stripper Quadro Cartridge,17.0
Accessoires,29090,EM-Set 6-16,4011391290907.0,Jokari 6-16 Set reservemesjes,37.45
Accessoires,29030,EM-Set FKZ,,Jokari FKZ Set reservemesjes,30.4
Cable stripper,30190,"SE-Strip 2,5-6",4011391301900.0,"Jokari Kabelstripper SE-Strip 2,5-6",38.55
Accessoires,60115,End sleeves 1.50,4011391601154.0,"Jokari Adereindhuls zwart - 1,5mm (500st)",17.8
Cable stripper,30200,SE-Strip 10/16,4011391302006.0,Jokari Kabelstripper SE/Strip 10 16,38.55
Micro Wire Stripper,40055,SWS-Plus 025,4011391400559.0,Jokari Micro Draadstripper SWS-Plus 025,27.1
Wire stripper,20100,Secura 2K,4011391201002.0,Jokari Draadstripper Secura Soft Grip,49.95
Micro Wire Stripper,40027,ESD-Plus 001,4011391400276.0,Jokari Micro Draadstripper ESD-Plus 001,45.5
Micro Wire Stripper,40115,SWS-Plus 100,4011391401150.0,Jokari Micro Draadstripper SWS-Plus 100,27.1
Cable knives Standard,10285,No. 28G ,4011391102859.0,Jokari Kabelmes Standaard Nr. 28G,12.8
Micro Wire Stripper,40095,SWS-Plus 060,4011391400955.0,Jokari Micro Draadstripper SWS-Plus 060,27.1
Accessoires,29100,EM-Set Secura 2K,,Jokari Secura 2K Set reservemesjes,17.650000000000006
Wire stripper,20060,Special,4011391200609.0,Jokari Draadstripper Special,68.60000000000001
Cable knives Standard,10272,No. 27 ,4011391102729.0,Jokari Kabelmes Standaard Nr. 27,12.25
Various models,50000,BK Stripper,4011391500006.0,Jokari BK Stripper,149.5
Cable knives,79070,Cable bracket No. 70,4011391790704.0,"Jokari Wisselbeugel 50-70mm O, systeem 4-70",19.7
Cable stripper,30110,Top Coax Plus,4014915055921.0,Jokari Kabelstripper Top Coax Plus,
Wire stripper,20450,High Strip,4011391204506.0,Jokari High Strip,74.85000000000002
Cable knives,70000,Cable Knife System 4-70,4011391700000.0,"Jokari Kabelmes System 4-70, incl. beugel 8-28mm",63.3
Cable stripper,30400,Uni-Plus,0.0,Jokari Kabelstripper Uni-Plus,17.35
Cable knives Secura,10160,0,4011391101609.0,Jokari Kabelmes Secura Nr. 16,14.3
Cable stripper,30500,No.1-Cat,0.0,"Jokari Kabelstripper No-1, in toolbag",34.5
Accessoires,29060,EM-Set Special,,Jokari Special Set reservemesjes,25.0
Accessoires,60150,End sleeves 0.50,,"Jokari Adereindhuls  wit- 0,50mm (500st)",17.8
Accessoires,29070,EM-Set AS-Interface,,Jokari AS-Interface Set reservemesjes,35.75
Micro Wire Stripper,40105,SWS-Plus 080,4011391401051.0,Jokari Micro Draadstripper SWS-Plus 080,27.1
Cable stripper,30160,PC-Strip,4011391301603.0,Jokari Kabelstripper PC-strip,44.85
Cable knives Standard,10700,No. 70,4011391107007.0,Jokari Kabelmes Nr. 70,38.5
Wire stripper,20310,Sensor Mini,4001391203105.0,Jokari draad stripper Sensor Mini,122.9
Wire stripper,20220,Outlet Special 20,4011391202207.0,Jokari Outlet Special 20,88.9
Accessoires,29300,EM-Set Sensor Special ,,Jokari Sensor Special Set reservemesjes,60.35
Cable knives Standard,10350,No. 35 ,4011391103504.0,Jokari Kabelmes Nr. 35,25.55
Cable stripper,30700,Fibre Strip DC,4011391307001.0,Jokari Kabelstripper Fibre Strip DC,28.20000000000001
Cable knives,79055,Spare hook blade 4-70,,,11.7
Micro Wire Stripper,40026,PWS-Plus 003 ,4011391400269.0,Jokari Draadstripper PWS-Plus 003,35.45000000000001
Wire stripper,20300,Sensor Special,4011391203006.0,Jokari Draadstripper Sensor Special,122.9
Cable knives,79035,Cable bracket No. 35,4011391790353.0,"Jokari Wisselbeugel 27 - 35mm O, systeem 4-70",16.75
