Restaurant_id,City,Ranking,Rating,Price Range,Number of Reviews,URL_TA,Cuisine Style
id_1,Zurich,2,4.5,$$ - $$$,418.0,/Restaurant_Review-g188113-d10169867-Reviews-Tamarind_Hill_Indian_Restaurant-Zurich.html,"Indian,   Vegetarian Friendly,   Asian,   Gluten Free Options,   Vegan Options"
id_1000,Oporto,1001,4.5,NaN,5.0,/Restaurant_Review-g189180-d12336001-Reviews-Confeitaria_Alianca-Porto_Porto_District_Northern_Portugal.html,Other
id_10032,Paris,10034,4.5,NaN,2.0,/Restaurant_Review-g187147-d1035491-Reviews-Le_Kaiku-Paris_Ile_de_France.html,Other
id_1004,Budapest,1005,5.0,NaN,17.0,/Restaurant_Review-g274887-d3685490-Reviews-Felix_Helix-Budapest_Central_Hungary.html,"European,   Central European"
id_10057,Paris,10059,4.5,NaN,4.0,/Restaurant_Review-g187147-d2040769-Reviews-Le_Paradis-Paris_Ile_de_France.html,Other
id_101,Helsinki,102,4.0,$$ - $$$,231.0,/Restaurant_Review-g189934-d3456729-Reviews-Putte_s_Bar_Pizza-Helsinki_Uusimaa.html,"  Pizza,   Vegan Options,   Vegetarian Friendly, Italian,   European"
id_1010,Berlin,1012,3.5,$$ - $$$,440.0,/Restaurant_Review-g187323-d1507237-Reviews-Coa_Asian_Food_Drinks-Berlin.html,"  Vietnamese,   Gluten Free Options,   Vegan Options, Asian,   Thai,   Vegetarian Friendly"
id_1010,Hamburg,1012,4.5,NaN,9.0,/Restaurant_Review-g187331-d1347837-Reviews-Trastevere_Uno-Hamburg.html,Other
id_1012,Helsinki,1013,3.0,NaN,19.0,/Restaurant_Review-g189934-d3345223-Reviews-Rice_Garden-Helsinki_Uusimaa.html,"Japanese,   Asian,   Sushi"
id_10139,Paris,10141,4.0,NaN,5.0,/Restaurant_Review-g187147-d7595454-Reviews-Eric_Kayser-Paris_Ile_de_France.html,Other
id_10142,London,10151,4.0,NaN,5.0,/Restaurant_Review-g186338-d12391114-Reviews-Lahori_Tikka_Masala-London_England.html,Other
id_10157,London,10166,5.0,$$ - $$$,4.0,/Restaurant_Review-g186338-d9602787-Reviews-Ugarit_Restaurant-London_England.html,"  Mediterranean, Lebanese"
id_10177,Paris,10179,4.0,NaN,9.0,/Restaurant_Review-g187147-d1336101-Reviews-Le_Tarbouche-Paris_Ile_de_France.html,Italian
id_1018,Brussels,1019,4.5,NaN,45.0,/Restaurant_Review-g1136488-d5599563-Reviews-Le_Chalet_de_la_Foret-Uccle_Brussels.html,Other
id_1025,Warsaw,1026,4.5,NaN,3.0,/Restaurant_Review-g274856-d12685574-Reviews-Vincentz-Warsaw_Mazovia_Province_Central_Poland.html,Other
id_10299,Paris,10301,4.0,NaN,4.0,/Restaurant_Review-g187147-d7147205-Reviews-Le_Delly_s_de_Jaures-Paris_Ile_de_France.html,Mediterranean
id_10305,London,10314,4.0,$,13.0,/Restaurant_Review-g186338-d8463851-Reviews-Itsu-London_England.html,"Japanese,   Sushi"
id_1033,Dublin,1035,3.5,$$ - $$$,230.0,/Restaurant_Review-g186605-d1553821-Reviews-Cafe_Carlo-Dublin_County_Dublin.html,"Irish,   International,   European"
id_1033,London,1035,4.5,$$ - $$$,193.0,/Restaurant_Review-g186338-d8599829-Reviews-Oklava-London_England.html,"Mediterranean,   Gluten Free Options,   Middle Eastern,   European,   Vegetarian Friendly,   Vegan Options,   Turkish"
id_10343,Paris,10345,3.5,NaN,6.0,/Restaurant_Review-g187147-d12681857-Reviews-Epicerie_et_Associes-Paris_Ile_de_France.html,Other
id_10356,London,10365,3.5,$$ - $$$,65.0,/Restaurant_Review-g186338-d2001507-Reviews-Nando_s_Chiswick-London_England.html,"Fast Food,   Portuguese"
id_10381,Paris,10383,4.0,$$ - $$$,3.0,/Restaurant_Review-g187147-d12571297-Reviews-Combat-Paris_Ile_de_France.html,"Bar,   Pub"
id_1040,Budapest,1041,4.5,$,14.0,/Restaurant_Review-g274887-d10354665-Reviews-Game_Up_Pub-Budapest_Central_Hungary.html,"  Hungarian, Fast Food,   European"
id_1041,Stockholm,1042,4.0,NaN,37.0,/Restaurant_Review-g189852-d3529487-Reviews-Albert_Jack_s-Stockholm.html,"Cafe,   Delicatessen,   Swedish"
id_1048,Paris,1049,4.5,$$$$,281.0,/Restaurant_Review-g187147-d719083-Reviews-Le_Clos_des_Gourmets-Paris_Ile_de_France.html,"  European, French,   Vegetarian Friendly"
id_10665,London,10675,4.0,NaN,7.0,/Restaurant_Review-g186338-d10677156-Reviews-Bombay_Spice-London_England.html,Other
id_1069,Dublin,1072,4.5,$$ - $$$,17.0,/Restaurant_Review-g186605-d5536153-Reviews-Sakura_Sushi-Dublin_County_Dublin.html,"  Asian,   Sushi,   Vegetarian Friendly, Japanese"
