original_title,title_length,production_companies
(500) Days of Summer,20," Dune Entertainment III,  Watermark, Fox Searchlight Pictures"
"10,000 BC",9," Legendary Pictures,  The Department of Trade and Industry of South Africa"
102 Dalmatians,14," Cruella Productions, Walt Disney Pictures"
12 Rounds,9," Midnight Sun Pictures,  WWE Studios,  Fox Atomic, The Mark Gordon Company,  20th Century Fox Home Entertainment"
12 Years a Slave,16," Film4,  River Road Entertainment"
127 Hours,9, Darlow Smithson Productions
13 Going On 30,14," Revolution Studios,  Thirteen Productions, Columbia Pictures"
1408,4,Dimension Films
16 Blocks,9," Millennium Films,  Cheyenne Enterprises, Donners' Company"
17 Again,8," Offspring Entertainment, New Line Cinema"
2 Guns,6," Emmett/Furla Films,  Envision Entertainment Corporation"
2012,4, Centropolis Entertainment
21,2, Relativity Media
21 & Over,9,"Relativity Media,  SkyLand Entertainment"
21 Grams,8, Mediana Productions Filmgesellschaft
21 Jump Street,14, Original Film
22 Jump Street,14,"Columbia Pictures,  Original Film"
27 Dresses,10,"Spyglass Entertainment,  Dune Entertainment III,  Fox 2000 Pictures"
28 Weeks Later,14," Sociedad General de Cine S.A., DNA Films,  Figment Films,  Fox Atomic"
3 Idiots,8,Vidhu Vinod Chopra Productions
30 Days of Night,16, Ghost House Pictures
30 Minutes or Less,18,Columbia Pictures
3000 Miles to Graceland,23,"Franchise Pictures,  Warner Bros."
300: Rise of an Empire,22,"Legendary Pictures,  Atmosphere Entertainment MM"
3:10 to Yuma,12,"Tree Line Films,  Relativity Media"
47 Ronin,8," Moving Picture Company (MPC),  Stuber Productions"
4: Rise of the Silver Surfer,28," 1492 Pictures,  Dune Entertainment"
50 First Dates,14," Flower Films (II),  Happy Madison Productions"
50/50,5,Summit Entertainment
88 Minutes,10," Nu Image Entertainment, TriStar Pictures,  Brightlight Pictures"
9,1,"Focus Films,  Arc Productions,  Starz Animation"
A Beautiful Mind,16,"Imagine Entertainment,  DreamWorks SKG,  Universal Pictures"
A Christmas Carol,17, ImageMovers
A Cinderella Story,18," Dylan Sellers Productions,  Warner Bros."
A Dangerous Method,18," Millbrook Pictures, Recorded Pictures Company,  Lago Film"
A Good Day to Die Hard,22," Mid Atlantic Films,  Twentieth Century Fox Film Corporation"
A History of Violence,21," DC Comics, New Line Cinema"
A Lot Like Love,15,Mile High Productions
A Man Apart,11," Newman/Tooley Films,  Joseph Nittolo Entertainment,  ""DIA"" Productions GmbH & Co. KG"
A Mighty Heart,14," Revolution Films, Plan B Entertainment,  Paramount Vantage"
A Mighty Wind,13,Castle Rock Entertainment
