"30 -
< 50",>= 100,"20 -
< 30",All Sizes,Hill Farms,"10 -
< 20","50 -
< 100"
3.3,0.1,5.3,22.7,2.3,7.8,1.0
49.5,0.0,51.6,52.8,49.1,56.1,52.7
76.7,0.0,73.2,64.5,59.6,58.3,78.3
1.7,0.0,2.4,5.0,7.0,6.3,0.0
21.7,0.0,24.4,29.1,26.5,33.3,21.7
3.9,0.0,3.32,3.45,3.56,3.31,3.83
1.6,0.0,1.17,1.34,1.44,1.33,1.48
65.0,0.0,48.8,51.8,44.8,50.0,56.5
0.85,0.0,0.71,0.67,0.65,0.48,0.96
53.3,0.0,51.2,48.1,48.6,39.6,69.6
86.7,0.0,75.6,78.2,81.5,72.9,91.3
65.0,0.0,63.4,58.9,75.8,52.1,56.5
46.7,0.0,53.7,50.1,64.6,47.9,26.1
38.3,0.0,29.3,23.4,24.4,14.6,47.8
0.07,0.0,0.22,0.25,0.15,0.33,0.09
5.0,0.0,17.1,19.6,14.7,27.1,4.3
0.05,0.0,0.12,0.19,0.25,0.25,0.04
5.0,0.0,12.2,17.4,25.5,20.8,4.3
