Item ,Qty,Unit Price
Service Building,,
Wogaman,,
Dunbar High School,,
Jackson Center,,
Wright Brothers,,
Louise Troy PK-8,,
Horace Mann PK-8,,
Edwin Joel Brown,,
Meadowdale HS,,
Belle Haven,,
Wogaman,,
Cleveland,,
Edison PK-8,,
Wogaman,,
Horace Mann PK-8,,
Transportation,,
World of Wonder,,
Kemp PK-8,,
Westwood,,
Edwin Joel Brown,,
Ludlow I,,
Edwin Joel Brown,,
Ludlow I,,
Ludlow I NOC,,
River's Edge,,
Service Building,,
Westwood,,
Charity Adams,,
Meadowdale PK-8,,
Ludlow I,,
Welcome Stadium,,
,,1.0
Westwood,,
Edwin Joel Brown,,
Fairview ,,
Kemp PK-8,,
Welcome Stadium,,
Eastmont PK-8,,
Horace Mann PK-8,,
Longfellow Academy,,
David H. Ponitz CTC,,
Cleveland,,
Valerie,,
Jackson Center,,
Edwin Joel Brown,,
Gardendale,,
Service Building,,
Ludlow I NOC,,
Dayton Boys Prep Academy,,
Edison PK-8,,
David H. Ponitz CTC,,
Service Building,,
Dunbar High School,,
Wogaman,,
Ludlow I NOC,,
Ruskin PK-8,,
Stivers School for the Arts,,
Service Building,,
River's Edge,,
Jackson Center,,
Kiser,,
Horace Mann PK-8,,
Longfellow Academy,,
Service Building,,
Ludlow I NOC,,
Charity Adams,,
,,2.0
Rosa Parks PK,,
Stivers School for the Arts,,
Louise Troy PK-8,,
Horace Mann PK-8,,
Thurgood Marshall,,
Rosa Parks PK,,
Valerie,,
1,1.0,
Horace Mann PK-8,,
Edwin Joel Brown,,
Wright Brothers,,
Ruskin PK-8,,
Edwin Joel Brown,,
Horace Mann PK-8,,
Edwin Joel Brown,,
Ludlow I,,
Longfellow Academy,,
Fairview ,,
Cleveland,,
Valerie,,
Rosa Parks PK,,
Cleveland,,
Dunbar High School,,
Longfellow Academy,,
Meadowdale PK-8,,
Eastmont PK-8,,
Valerie,,
Kiser,,
Wogaman,,
Meadowdale PK-8,,
Wogaman,,
Fairview ,,
Welcome Stadium,,
Thurgood Marshall,,
Wright Brothers,,
World of Wonder,,
Stivers School for the Arts,,
Kiser,,
Gardendale,,
Cleveland,,
Transportation,,
Louise Troy PK-8,,
Stivers School for the Arts,,
Dunbar High School,,
Kemp PK-8,,
Kiser,,
3,1.0,
Jackson Center,,
Gardendale,,
Meadowdale HS,,
Kemp PK-8,,
Ruskin PK-8,,
Ludlow I NOC,,
Meadowdale HS,,
Dayton Boys Prep Academy,,
Jackson Center,,
Ludlow I,,
Kemp PK-8,,
Belle Haven,,
Rosa Parks PK,,
Eastmont PK-8,,
Edison PK-8,,
Valerie,,
Ludlow I NOC,,
Welcome Stadium,,
Longfellow Academy,,
Louise Troy PK-8,,
Westwood,,
,,0.0
World of Wonder,,
Transportation,,
River's Edge,,
David H. Ponitz CTC,,
Gardendale,,
Ruskin PK-8,,
River's Edge,,
Dunbar High School,,
Ludlow I NOC,,
Transportation,,
,,
Welcome Stadium,,
Dayton Boys Prep Academy,,
Dunbar High School,,
Kemp PK-8,,
Gardendale,,
Service Building,,
Belle Haven,,
Welcome Stadium,,
Thurgood Marshall,,
Edison PK-8,,
Gardendale,,
Ludlow I,,
Kiser,,
Stivers School for the Arts,,
Edwin Joel Brown,,
Gardendale,,
Westwood,,
Longfellow Academy,,
Kemp PK-8,,
Ruskin PK-8,,
Stivers School for the Arts,,
Belle Haven,,
Valerie,,
Longfellow Academy,,
David H. Ponitz CTC,,
Meadowdale PK-8,,
Belle Haven,,
Ludlow I,,
Dunbar High School,,
David H. Ponitz CTC,,
Jackson Center,,
0,1.0,
Belle Haven,,
Thurgood Marshall,,
Louise Troy PK-8,,
Rosa Parks PK,,
Belle Haven,,
Rosa Parks PK,,
Wright Brothers,,
Wogaman,,
Thurgood Marshall,,
Westwood,,
Cleveland,,
Thurgood Marshall,,
David H. Ponitz CTC,,
Louise Troy PK-8,,
Kiser,,
Cleveland,,
Thurgood Marshall,,
Transportation,,
Wright Brothers,,
Belle Haven,,
Ruskin PK-8,,
