original_title,title_length,production_companies
(500) Days of Summer,20, Watermark
"10,000 BC",9," Warner Bros.,  The Department of Trade and Industry of South Africa,  Moonlighting Films,  Legendary Pictures, Centropolis Entertainment"
102 Dalmatians,14,"Walt Disney Pictures,  Cruella Productions"
12 Rounds,9,"The Mark Gordon Company,  WWE Studios,  20th Century Fox Home Entertainment,  Fox Atomic"
12 Years a Slave,16,"Plan B Entertainment,  Film4,  Regency Enterprises"
127 Hours,9," Cloud Eight Films,  Warner Bros., Fox Searchlight Pictures,  Dune Entertainment"
13 Going On 30,14," Thirteen Productions, Columbia Pictures"
1408,4,Dimension Films
15 Minutes,10,"New Line Cinema,  Tribeca Productions,  Industry Entertainment"
16 Blocks,9," Alcon Entertainment, Donners' Company,  Nu Image Entertainment GmbH,  Millennium Films,  Cheyenne Enterprises"
17 Again,8,"New Line Cinema,  Offspring Entertainment"
2 Fast 2 Furious,16,"Mikona Productions GmbH & Co. KG,  Universal Pictures,  Ardustry Entertainment"
2 Guns,6,"Universal Studios,  Emmett/Furla Films"
2012,4," Farewell Productions,  Centropolis Entertainment,  The Mark Gordon Company, Columbia Pictures"
21,2," Relativity Media, Columbia Pictures"
21 & Over,9," SkyLand Entertainment, Relativity Media,  Virgin Produced,  Mandeville Films"
21 Grams,8," Mediana Productions Filmgesellschaft,  Y Productions"
21 Jump Street,14,"Columbia Pictures,  Stephen J. Cannell Productions"
22 Jump Street,14,"Columbia Pictures,  Metro-Goldwyn-Mayer (MGM),  Cannell Studios,  Original Film"
27 Dresses,10," Fox 2000 Pictures, Spyglass Entertainment"
28 Days Later...,16,DNA Films
28 Weeks Later,14," Figment Films, DNA Films,  UK Film Council,  Sociedad General de Cine S.A."
3 Idiots,8,Vidhu Vinod Chopra Productions
30 Days of Night,16,"Columbia Pictures,  HorrorFlix"
30 Minutes or Less,18,Columbia Pictures
300,3,"Virtual Studios,  Legendary Pictures,  Hollywood Gang Productions"
3000 Miles to Graceland,23," Morgan Creek Productions,  Warner Bros., Franchise Pictures"
300: Rise of an Empire,22," Warner Bros., Legendary Pictures,  Nimar Studios,  Hollywood Gang Productions"
3:10 to Yuma,12," Relativity Media,  Yuma"
47 Ronin,8," Stuber Productions,  Moving Picture Company (MPC)"
4: Rise of the Silver Surfer,28," Twentieth Century Fox Film Corporation,  Constantin Film Produktion, Ingenious Film Partners,  Dune Entertainment"
50 First Dates,14," Anonymous Content,  Flower Films (II),  Happy Madison Productions"
50/50,5,"Summit Entertainment,  Mandate Pictures"
8 Mile,6, Mikona Productions GmbH & Co. KG
88 Minutes,10," Brightlight Pictures, TriStar Pictures"
9,1," Starz Animation,  Arc Productions, Focus Films"
A Beautiful Mind,16,"Imagine Entertainment,  Universal Pictures,  DreamWorks SKG"
A Christmas Carol,17,"Walt Disney,  ImageMovers"
A Cinderella Story,18, Clifford Werber Productions
A Dangerous Method,18," The Movie Network,  Millbrook Pictures,  Lago Film, Recorded Pictures Company"
A Good Day to Die Hard,22," Mid Atlantic Films,  Dune Entertainment"
A Good Year,11, Scott Free Productions
A Guy Thing,11," David Ladd Films, Metro-Goldwyn-Mayer (MGM)"
A History of Violence,21," BenderSpink,  DC Comics, New Line Cinema"
A Knight's Tale,15," Escape Artists,  Black and Blu Entertainment, Columbia Pictures Corporation"
A Lot Like Love,15," Beacon Pictures,  Kevin Messick Productions, Mile High Productions"
A Man Apart,11," Newman/Tooley Films,  ""DIA"" Productions GmbH & Co. KG"
A Mighty Heart,14," Paramount Vantage,  Revolution Films, Plan B Entertainment"
A Mighty Wind,13,Castle Rock Entertainment
A Most Violent Year,19," Imagenation Abu Dhabi FZ,  Washington Square Films, Participant Media,  Before the Door Pictures"
A Nightmare on Elm Street,25, Platinum Dunes
A Perfect Getaway,17," Tooley Productions,  Relativity Media,  QED International"
A Scanner Darkly,16," Detour Filmproduction,  Section Eight Productions, Thousand Words"
A Serious Man,13," Working Title Films,  Focus Features,  Studio Canal"
A Sound of Thunder,18," Franchise Pictures,  Dante Entertainment, Epsilon Motion Pictures,  Crusader Entertainment"
A Thousand Words,16,"Paramount Pictures,  Saturn Films"
A Very Harold & Kumar Christmas,31,New Line Cinema
A Walk Among the Tombstones,27," Jersey Films,  Exclusive Media Group,  1984 Private Defense Contractors"
A Walk in the Woods,19, Route One Films
A Walk to Remember,18,"Pandora Pictures,  Warner Bros."
A.I. Artificial Intelligence,28," Stanley Kubrick Productions,  Amblin Entertainment,  Warner Bros., DreamWorks SKG"
AVP: Alien vs. Predator,23," Studio Babelsberg,  Davis Entertainment,  Stillking Films, Impact Pictures,  Twentieth Century Fox Film Corporation"
Abandon,7," Spyglass Entertainment, Paramount Pictures,  Touchstone Pictures"
Abduction,9," Gotham Group,  Tailor Made, Lions Gate Films,  Mango Farms,  Vertigo Entertainment"
About Last Night,16," Rainforest Films, Screen Gems,  Olive Bridge Entertainment,  Inc."
About Schmidt,13," Avery Pix, New Line Cinema"
About a Boy,11,Universal Pictures
Abraham Lincoln: Vampire Hunter,31," Tim Burton Productions,  Abraham Productions,  Location Gourmet, Bazelevs Production"
Accepted,8,"Universal Pictures,  Shady Acres Entertainment"
Act of Valor,12," Bandito Brothers, Relativity Media"
Action Replayy,14,PVR Cinemas
Adaptation.,11," Propaganda Films, Columbia Pictures,  Intermedia,  Beverly Detroit"
Admission,9,Focus Features
Adventureland,13,"Miramax Films,  Sidney Kimmel Entertainment,  This Is That Productions"
After Earth,11," Overbrook Entertainment, Columbia Pictures,  Blinding Edge Pictures"
Agent Cody Banks,16,"Splendid Pictures,  Metro-Goldwyn-Mayer (MGM),  Dylan Sellers Productions,  Maverick Films"
Agent Cody Banks 2: Destination London,38," Dylan Sellers Productions,  Metro-Goldwyn-Mayer (MGM),  Maverick Films,  Madacy Entertainment, Splendid Pictures"
Agora,5," Telecinco Cinema,  Canal+ Espa̱a,  Mod Producciones"
Akeelah and the Bee,19," Out of the Blue... Entertainment,  2929 Productions,  Starbucks Entertainment,  Cinema Gypsy Productions, Lions Gate Films"
Albert Nobbs,12,Chrysalis Films
Alex & Emma,11," Franchise Pictures, Epsilon Motion Pictures,  Escape Artists"
Alex Cross,10,Summit Entertainment
Alexander,9," Path̩ Renn Productions,  Intermedia Films,  Egmond Film & Television,  Warner Bros., France 3 Cin̩ma"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",59," 21 Laps Entertainment, Walt Disney Pictures,  Jim Henson Company"
Alfie,5,"Paramount Pictures,  Patalex Productions"
Ali,3,Columbia Pictures Corporation
Alice in Wonderland,19," Team Todd,  Zanuck Company,  Tim Burton Productions,  The, Walt Disney Pictures"
Aliens in the Attic,19," New Upstairs Productions,  Upstairs Canada Productions,  Josephson Entertainment, Twentieth Century Fox Film Corporation,  Regency Enterprises"
All About Steve,15," Radar Pictures,  Fox 2000 Pictures, Dune Entertainment,  Fortis Films,  Dune Entertainment III"
All About the Benjamins,23,New Line Cinema
All Is Lost,11,"Sudden Storm Productions,  Before the Door Pictures,  FilmNation Entertainment,  Treehouse Pictures"
All the King's Men,18," Phoenix Pictures,  Rising Star,  Relativity Media, Columbia Pictures Corporation"
Almost Famous,13," Vinyl Films, Columbia Pictures"
Aloha,5," RatPac Entertainment, Columbia Pictures,  Regency Enterprises,  Sony Pictures Entertainment (SPE),  Vinyl Films"
Alone in the Dark,17," Brightlight Pictures,  Infogrames Entertainment,  Herold Productions,  Lionsgate"
Along Came Polly,16,"Universal Pictures,  Loofah Productions,  Jersey Films"
Along Came a Spider,19," MFP Munich Film Partners,  Phase 1 Productions, Paramount Pictures,  AZL Productions KG,  David Brown Productions"
Alpha and Omega,15,Lions Gate Family Entertainment
Alvin and the Chipmunks,23," Bagdasarian Productions,  Fox 2000 Pictures, Dune Entertainment,  Regency Enterprises"
Alvin and the Chipmunks: Chipwrecked,36,Fox 2000 Pictures
Alvin and the Chipmunks: The Squeakquel,39,"Regency Enterprises,  Fox 2000 Pictures,  Bagdasarian Productions"
American Dreamz,15," Depth of Field, Universal Pictures"
American Gangster,17," Film Rites, Imagine Entertainment,  Relativity Media,  Scott Free Productions"
American Hustle,15," Annapurna Pictures,  Atlas Entertainment, Columbia Pictures"
American Outlaws,16," Morgan Creek Productions, Warner Bros. Pictures"
American Pie 2,14,"Universal Pictures,  Liveplanet,  Zide-Perry Productions"
American Psycho,15, Muse Productions
American Reunion,16,Universal Pictures
American Sniper,15," Malpaso Productions, Village Roadshow Pictures"
American Wedding,16," Loumolo & Co.,  Zide-Perry Productions, Universal Pictures"
An Education,12,BBC Films
An Unfinished Life,18," Initial Entertainment Group (IEG), Miramax Films,  Revolution Studios,  Persistent Entertainment"
Anchorman 2: The Legend Continues,33,"Paramount Pictures,  Gary Sanchez Productions"
Anchorman: The Legend of Ron Burgundy,37,Apatow Productions
Angel Eyes,10," Franchise Pictures,  Morgan Creek Productions, Warner Bros. Pictures"
Angels & Demons,15," Panorama Films,  Imagine Entertainment,  Skylark Productions"
Anger Management,16, Revolution Studios
Annabelle,9," Evergreen Media Group, New Line Cinema,  RatPac-Dune Entertainment,  The Safran Company"
Annapolis,9,Touchstone Pictures
Annie,5,"Columbia Pictures,  Overbrook Entertainment"
Ant-Man,7,Marvel Studios
AntiTrust,9," Epsilon Motion Pictures, Industry Entertainment"
Antwone Fisher,14,Fox Searchlight
Apocalypto,10," Icon Entertainment International,  Touchstone Pictures"
Apollo 18,9,"Bazelevs Production,  Dimension Films,  Bekmambetov Projects Ltd."
Aquamarine,10,Fox 2000 Pictures
Arbitrage,9," Lucky Monkey Pictures,  Green Room Films,  Artina Films, Lionsgate"
Are We There Yet?,17," Cube Vision,  Revolution Studios"
Argo,4," Warner Bros.,  Smokehouse Pictures, GK Films"
Armored,7,"Screen Gems,  Farah Films & Management"
Around the World in 80 Days,27," Mostow/Lieberman Productions,  Walden Media,  80 Days Productions,  Babelsberg Film"
Arthur,6,Warner Bros.
"As Above, So Below",18,Legendary Pictures
Assault on Precinct 13,22," Why Not Productions, Rogue Pictures"
Astro Boy,9," Tezuka Production Company Ltd.,  Summit Entertainment,  Imagi Animation Studios"
Atlantis: The Lost Empire,25, Walt Disney Feature Animation
Atonement,9," Studio Canal,  Relativity Media, Universal Pictures,  Working Title Films"
Attack the Block,16,"UK Film Council,  Studio Canal,  Film4"
August Rush,11,"Warner Bros.,  Southpaw Entertainment"
August: Osage County,20,"Jean Doumanian Productions,  Smokehouse Pictures"
Austin Powers in Goldmember,27," Moving Pictures,  Gratitude International,  Eric's Boy"
Australia,9," Twentieth Century Fox Film Corporation,  ScreenWest"
Auto Focus,10,"Sony Pictures Classics,  Good Machine"
Avatar,6," Twentieth Century Fox Film Corporation, Ingenious Film Partners,  Lightstorm Entertainment"
Avengers: Age of Ultron,23," Revolution Sun Studios,  Prime Focus, Marvel Studios"
Awake,5," Open City Films,  GreeneStreet Films, The Weinstein Company"
Babel,5," Media Rights Capital,  Anonymous Content,  Central Films"
Baby Boy,8,Columbia Pictures
Baby Mama,9,"Relativity Media,  Michaels-Goldwyn"
Babylon A.D.,12," Canal+,  M6 Films,  Babylon"
Bad Boys II,11, Don Simpson/Jerry Bruckheimer Films
Bad Company,11," Touchstone Pictures, Jerry Bruckheimer Films,  Stillking Films"
Bad News Bears,14,Paramount Pictures
Bad Santa,9,"Columbia Pictures,  Dimension Films (US version)"
Bad Teacher,11,"Columbia Pictures,  Mosaic Media Group"
Baggage Claim,13,Sneak Preview Productions
Bandits,7," Hyde Park Entertainment,  Metro-Goldwyn-Mayer (MGM)"
Bandslam,8," Walden Media, Summit Entertainment,  Goldsmith-Thomas Productions"
Bangkok Dangerous,17,"Virtual Studios,  Initial Entertainment Group,  Saturn Films,  International Production Company,  Blue Star Pictures"
Banlieue 13,11,"Canal Plus,  EuropaCorp"
Barbershop,10,Metro-Goldwyn-Mayer (MGM)
Barney's Version,16,Serendipity Point Films
Barnyard,8," Nickelodeon Movies, Paramount Pictures,  Paramount Animation"
Basic,5, Krane Entertainment
Basic Instinct 2,16," C-2 Pictures,  IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG, Intermedia Films"
Batman Begins,13," Warner Bros.,  Syncopy"
Battle of the Year,18,Screen Gems
Battle: Los Angeles,19," Relativity Media,  Original Film"
Battleship,10,Universal Pictures
Be Cool,7,"Double Feature Films,  Nina Saxon Film Design,  Metro-Goldwyn-Mayer (MGM)"
Beastly,7," Storefront Films,  Mel's Cite du Cinema"
Beauty Shop,11,Metro-Goldwyn-Mayer (MGM)
Becoming Jane,13,"Ecosse Films,  2 Entertain"
Bedazzled,9," KirchMedia, Twentieth Century Fox Film Corporation,  Regency Enterprises"
Bedtime Stories,15," Happy Madison Productions, Walt Disney Pictures"
Bee Movie,9," Columbus 81 Productions,  DreamWorks Animation"
Before the Devil Knows You're Dead,34," Linsefilm,  Unity Productions,  Michael Cerenzie Productions, Capitol Films"
Begin Again,11," Apatow Productions,  Exclusive Media Group, Likely Story"
Behind Enemy Lines,18,"Twentieth Century Fox Film Corporation,  Davis Entertainment"
Behind the Candelabra,21,HBO Films
Belle,5," DJ Films,  Metrol Technology, Isle of Man Film,  Pinewood Studios,  British Film Institute (BFI)"
Beowulf,7," ImageMovers, Paramount Pictures,  Paramount Animation"
Beverly Hills Chihuahua,23,Walt Disney Pictures
Bewitched,9,"Columbia Pictures Corporation,  Red Wagon Entertainment"
Big Eyes,8," Tim Burton Productions,  Electric City Entertainment,  Silverwood Films"
Big Fat Liar,12,Universal Pictures
Big Fish,8,"The Zanuck Company,  Columbia Pictures Corporation"
Big Hero 6,10,"Walt Disney Pictures,  Walt Disney Animation Studios"
Big Miracle,11," Working Title Films,  Anonymous Content, Universal Pictures"
Big Momma's House,17,Twentieth Century Fox Film Corporation
Big Momma's House 2,19," Regency Enterprises,  Epsilon Motion Pictures,  Deep River Productions, Twentieth Century Fox Film Corporation"
"Big Mommas: Like Father, Like Son",33," New Regency Pictures,  Runteldat Entertainment,  The Collective Studios,  Regency Enterprises"
Big Trouble,11,Touchstone Pictures
Billy Elliot,12," StudioCanal,  Tiger Aspect Productions, BBC Films,  Arts Council of England"
Birdman,7," M Productions,  TSG Entertainment, Worldview Entertainment"
Black Christmas,15,Dimension Films
Black Mass,10,"Infinitum Nihil,  Cross Creek Pictures,  RatPac-Dune Entertainment,  Head Gear Films,  Free State Pictures"
Black Nativity,14, Fox Searchlight
Black Swan,10," Dune Entertainment,  Cross Creek Pictures"
Black or White,14,Treehouse Pictures
Blackhat,8," Legendary Pictures, Universal Pictures,  Forward Pass"
Blade II,8," Amen Ra Films, New Line Cinema,  LLC,  Marvel Entertainment"
Blade: Trinity,14,"New Line Cinema,  Amen Ra Films,  Marvel Enterprises,  Imaginary Forces"
Blended,7," Karz Entertainment,  Warner Bros.,  Gulfstream Pictures"
Blood Diamond,13," Spring Creek Productions,  Virtual Studios,  Warner Bros., Bedford Falls Productions"
Blood Ties,10," LGM Productions, Wild Bunch,  Canal+,  Mars Distribution"
Blood Work,10,Malpaso Productions
Blow,4,New Line Cinema
Blue Crush,10,"Imagine Entertainment,  Shutt/Jones Productions"
Blue Jasmine,12,Perdido Productions
Boat Trip,9," Artisan Entertainment, Motion Picture Corporation of America"
Body of Lies,12," Warner Bros.,  De Line Pictures"
Bolt,4,"Walt Disney Pictures,  Walt Disney Animation Studios"
Boogeyman,9,"Ghost House Pictures,  Senator International"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,83,Twentieth Century Fox Film Corporation
Boys and Girls,14,Dimension Films
Brave,5,Walt Disney Pictures
Brick Mansions,14," EuropaCorp,  Cin̩+"
Bride Wars,10," Dune Entertainment III,  Regency Enterprises, Dune Entertainment,  Fox 2000 Pictures"
Brideshead Revisited,20," HanWay Films,  2 Entertain, BBC Films"
Bridesmaids,11," Relativity Media, Universal Pictures"
Bridge of Spies,15," Fox 2000 Pictures,  Amblin Entertainment"
Bridge to Terabithia,20,"Walden Media,  Hal Lieberman Company,  Lauren Levine Productions Inc."
Bridget Jones's Diary,21," Universal Pictures,  Studio Canal,  Little Bird, Miramax Films"
Bridget Jones: The Edge of Reason,33," Universal Pictures,  Atlantic Television,  Studio Canal,  Working Title Films, Miramax Films"
Bright Star,11,"BBC Films,  Screen Australia,  Australian Film Finance Corporation (AFFC),  Path̩ Renn Productions,  UK Film Council"
