original_title,title_length,production_companies
Killers,7, Aversano Films
Around the World in 80 Days,27, Mostow/Lieberman Productions
Agent Cody Banks 2: Destination London,38, Dylan Sellers Productions
Zookeeper,9, Metro-Goldwyn-Mayer (MGM)
Broken Flowers,14,Bac Films
Contagion,9, Participant Media
Barnyard,8, Nickelodeon Movies
Max Payne,9,Dune Entertainment
The Forgotten,13,Revolution Studios
War Horse,9, The
Solomon Kane,12,Davis-Films
The Hateful Eight,17, FilmColony
Belle,5, DJ Films
District 9,10, TriStar Pictures
Evolution,9, Montecito Picture Company
Million Dollar Arm,18,Walt Disney Pictures
Clerks II,9,The Weinstein Company
Mission: Impossible III,23,Paramount Pictures
Happy Feet,10, Warner Bros.
Madagascar: Escape 2 Africa,27,DreamWorks Animation
Ocean's Twelve,14, Warner Bros.
Dreamcatcher,12, WV Films II
Chicken Run,11, Aardman Animations
Enemy at the Gates,18, Little Bird
Domino,6, Domino 17521
K-19: The Widowmaker,20, National Geographic Society
Chloe,5, Montecito Picture Company
Evan Almighty,13, Spyglass Entertainment
Lords of Dogtown,16, TriStar Pictures
High Crimes,11,Twentieth Century Fox Film Corporation
Mirror Mirror,13, Goldmann Pictures
Hollow Man,10, Global Entertainment Productions GmbH & Company Medien KG
He's Just Not That Into You,27, Internationale Filmproduktion Blackswan
Taken,5, M6 Films
Showtime,8, Warner Bros.
TRON: Legacy,12, LivePlanet
Action Replayy,14,PVR Cinemas
Quantum of Solace,17,Eon Productions
Need for Speed,14, Touchstone Pictures
The Pirates! In an Adventure with Scientists!,45, Aardman Animations
Haywire,7,Irish Film Board
Hulk,4, Valhalla Motion Pictures
Fast & Furious 6,16, Dentsu
Ricki and the Flash,19,Columbia TriStar
Taxi,4,Twentieth Century Fox Film Corporation
The Taking of Pelham 1 2 3,26, Escape Artists
Sherlock Holmes: A Game of Shadows,34, Wigram Productions
Mortdecai,9, Mad Chance
Bad News Bears,14,Paramount Pictures
Lemony Snicket's A Series of Unfortunate Events,47, DreamWorks Pictures
Bullet to the Head,18, Silver Reel
Yogi Bear,9, Rhythm and Hues
ParaNorman,10, Laika Entertainment
Get Smart,9, Atlas Entertainment
The Hobbit: The Battle of the Five Armies,41,WingNut Films
Meet the Spartans,17,Regency Enterprises
The Golden Compass,18, Scholastic Productions
Stuart Little 2,15, Sony Pictures Entertainment
Babel,5, Media Rights Capital
Dancer in the Dark,18, SVT Drama
