max,count,50%,min,Index,25%,mean,75%,std
1.0,7032.0,0.0,0.0,PaymentMethod_Mailed check,0.0,0.2281001137656427,0.0,0.4196373361452227
1.0,7032.0,0.0,0.0,SeniorCitizen,0.0,0.1624004550625711,0.0,0.3688439967571051
1.0,7032.0,0.0,0.0,MultipleLines_Yes,0.0,0.4219283276450511,1.0,0.4939023222194599
1.0,7032.0,0.0,0.0,Dependents,0.0,0.2984926052332196,1.0,0.45762927299583706
8684.8,7032.0,1397.475,18.8,TotalCharges,401.45,2283.300440841866,3794.7375,2266.7713618831453
1.0,7032.0,0.0,0.0,InternetService_DSL,0.0,0.3435722411831627,1.0,0.4749341352656061
1.0,7032.0,0.0,0.0,OnlineBackup,0.0,0.3448521046643913,1.0,0.4753538301712343
1.0,7032.0,0.0,0.0,PaymentMethod_Credit card (automatic),0.0,0.216296928327645,0.0,0.4117483168573753
1.0,7032.0,1.0,0.0,PaperlessBilling,0.0,0.5927189988623436,1.0,0.4913629222565288
1.0,7032.0,0.0,0.0,Contract_Two year,0.0,0.2396188850967008,0.0,0.4268812352987827
118.75,7032.0,70.35,18.25,MonthlyCharges,35.58750000000001,64.79820819112628,89.86249999999998,30.08597388404984
72.0,7032.0,29.0,1.0,tenure,9.0,32.42178612059159,55.0,24.545259709263252
1.0,7032.0,1.0,0.0,gender,0.0,0.5046928327645052,1.0,0.5000135308251334
1.0,7032.0,1.0,0.0,PhoneService,1.0,0.9032992036405004,1.0,0.2955709320291018
1.0,7032.0,0.0,0.0,Churn,0.0,0.2657849829351535,1.0,0.4417817113525549
1.0,7032.0,0.0,0.0,InternetService_Fiber optic,0.0,0.4402730375426621,1.0,0.4964551736124986
1.0,7032.0,0.0,0.0,InternetService_No,0.0,0.2161547212741752,0.0,0.41165028310107393
1.0,7032.0,0.0,0.0,PaymentMethod_Electronic check,0.0,0.3363196814562002,1.0,0.472483332716697
1.0,7032.0,0.0,0.0,PaymentMethod_Bank transfer (automatic),0.0,0.2192832764505119,0.0,0.4137903698282622
1.0,7032.0,0.0,0.0,MultipleLines_No,0.0,0.4813708759954493,1.0,0.4996883660837622
1.0,7032.0,0.0,0.0,DeviceProtection,0.0,0.3438566552901024,1.0,0.4750277308912676
1.0,7032.0,0.0,0.0,StreamingMovies,0.0,0.3883674630261661,1.0,0.4874135421768257
1.0,7032.0,0.0,0.0,TechSupport,0.0,0.2901023890784983,1.0,0.4538416944717606
1.0,7032.0,0.0,0.0,Contract_One year,0.0,0.2093287827076222,0.0,0.4068584317786347
1.0,7032.0,1.0,0.0,Contract_Month-to-month,0.0,0.5510523321956771,1.0,0.4974222004539452
1.0,7032.0,0.0,0.0,StreamingTV,0.0,0.3843856655290102,1.0,0.4864843074333494
1.0,7032.0,0.0,0.0,MultipleLines_No phone service,0.0,0.0967007963594994,0.0,0.2955709320291018
