Index,revenue,original_title,cast
970,1519557910,The Avengers,"Robert Downey Jr.,  Chris Evans,  Mark Ruffalo,  Chris Hemsworth,  Scarlett Johansson"
971,132400000,Underworld: Awakening,"Kate Beckinsale,  Stephen Rea,  Michael Ealy,  Theo James,  India Eisley"
972,1081041287,The Dark Knight Rises,"Christian Bale,  Michael Caine,  Gary Oldman,  Anne Hathaway,  Tom Hardy"
973,425368238,Django Unchained,"Jamie Foxx,  Christoph Waltz,  Leonardo DiCaprio,  Kerry Washington,  Samuel L. Jackson"
974,1108561013,Skyfall,"Daniel Craig,  Judi Dench,  Javier Bardem,  Ralph Fiennes,  Naomie Harris"
975,276572938,The Bourne Legacy,"Jeremy Renner,  Rachel Weisz,  Edward Norton,  Scott Glenn,  Stacy Keach"
976,1017003568,The Hobbit: An Unexpected Journey,"Ian McKellen,  Martin Freeman,  Richard Armitage,  Andy Serkis,  Cate Blanchett"
977,403170142,Prometheus,"Noomi Rapace,  Michael Fassbender,  Charlize Theron,  Idris Elba,  Guy Pearce"
978,205738714,Silver Linings Playbook,"Bradley Cooper,  Jennifer Lawrence,  Robert De Niro,  Jacki Weaver,  Chris Tucker"
979,752215857,The Amazing Spider-Man,"Andrew Garfield,  Emma Stone,  Rhys Ifans,  Denis Leary,  Martin Sheen"
980,538983207,Brave,"Kelly Macdonald,  Julie Walters,  Billy Connolly,  Emma Thompson,  Kevin McKidd"
981,396600000,Snow White and the Huntsman,"Kristen Stewart,  Charlize Theron,  Chris Hemsworth,  Sam Claflin,  Ian McShane"
982,201585328,21 Jump Street,"Channing Tatum,  Jonah Hill,  Brie Larson,  Dave Franco,  Ellie Kemper"
983,609016565,Life of Pi,"Suraj Sharma,  Irrfan Khan,  Ayush Tandon,  Gautam Belur,  Adil Hussain"
984,877244782,Ice Age: Continental Drift,"John Leguizamo,  Ray Romano,  Chris Wedge,  Denis Leary,  Seann William Scott"
985,549368315,Ted,"Mark Wahlberg,  Mila Kunis,  Seth MacFarlane,  Joel McHale,  Giovanni Ribisi"
986,218340595,Jack Reacher,"Tom Cruise,  Rosamund Pike,  Richard Jenkins,  David Oyelowo,  Werner Herzog"
987,180274123,Lo imposible,"Naomi Watts,  Ewan McGregor,  Tom Holland,  Samuel Joslin,  Oaklee Pendergast"
988,471222889,Wreck-It Ralph,"John C. Reilly,  Sarah Silverman,  Jane Lynch,  Jack McBrayer,  Jamie Elman"
989,115350426,Pitch Perfect,"Anna Kendrick,  Skylar Astin,  Brittany Snow,  Anna Camp,  Rebel Wilson"
990,624026776,Men in Black 3,"Will Smith,  Tommy Lee Jones,  Josh Brolin,  Michael Stuhlbarg,  Emma Thompson"
991,691210692,The Hunger Games,"Jennifer Lawrence,  Josh Hutcherson,  Liam Hemsworth,  Woody Harrelson,  Elizabeth Banks"
992,198802074,Total Recall,"Colin Farrell,  Kate Beckinsale,  Jessica Biel,  Bryan Cranston,  Bill Nighy"
993,130482868,Cloud Atlas,"Tom Hanks,  Halle Berry,  Jim Broadbent,  Hugo Weaving,  Jim Sturgess"
994,312573423,The Expendables 2,"Sylvester Stallone,  Jason Statham,  Dolph Lundgren,  Bruce Willis,  Arnold Schwarzenegger"
995,376141306,Taken 2,"Liam Neeson,  Maggie Grace,  Famke Janssen,  Rade Serbedzija,  Luke Grimes"
996,245527149,Dark Shadows,"Johnny Depp,  Michelle Pfeiffer,  Helena Bonham Carter,  Jackie Earle Haley,  Jonny Lee Miller"
997,33400000,The Perks of Being a Wallflower,"Logan Lerman,  Emma Watson,  Ezra Miller,  Paul Rudd,  Nina Dobrev"
998,232324128,Argo,"Ben Affleck,  Bryan Cranston,  Alan Arkin,  John Goodman,  Victor Garber"
999,234989584,American Reunion,"Jason Biggs,  Alyson Hannigan,  Seann William Scott,  Chris Klein,  Thomas Ian Nicholas"
1000,167221571,Magic Mike,"Channing Tatum,  Matthew McConaughey,  Olivia Munn,  Cody Horn,  Alex Pettyfer"
1001,66486080,The Cabin in the Woods,"Kristen Connolly,  Chris Hemsworth,  Anna Hutchison,  Fran Kranz,  Jesse Williams"
1002,306941670,Rise of the Guardians,"Chris Pine,  Alec Baldwin,  Jude Law,  Isla Fisher,  Hugh Jackman"
1003,196114570,The Vow,"Rachel McAdams,  Channing Tatum,  Sam Neill,  Scott Speedman,  Jessica Lange"
1004,355692760,Journey 2: The Mysterious Island,"Dwayne Johnson,  Josh Hutcherson,  Kristin Davis,  Vanessa Hudgens,  Luis GuzmÃ¡n"
1005,40346186,Safe,"Jason Statham,  Chris Sarandon,  James Hong,  Catherine Chan,  Robert John Burke"
1006,112265139,Abraham Lincoln: Vampire Hunter,"Benjamin Walker,  Dominic Cooper,  Anthony Mackie,  Mary Elizabeth Winstead,  Rufus Sewell"
1007,8106475,Upside Down,"Kirsten Dunst,  Jim Sturgess,  Timothy Spall,  James Kidnie,  Heidi Hawkins"
1008,348840316,The Lorax,"Zac Efron,  Danny DeVito,  Taylor Swift,  Ed Helms,  Rob Riggle"
1009,68263166,Moonrise Kingdom,"Bruce Willis,  Edward Norton,  Jared Gilman,  Kara Hayward,  Bill Murray"
1010,41037742,Dredd,"Karl Urban,  Olivia Thirlby,  Lena Headey,  Wood Harris,  Jason Cope"
1011,303025485,Battleship,"Taylor Kitsch,  Alexander SkarsgÃ¥rd,  Rihanna,  Brooklyn Decker,  Tadanobu Asano"
1012,441809770,Les MisÃ©rables,"Hugh Jackman,  Russell Crowe,  Anne Hathaway,  Amanda Seyfried,  Sacha Baron Cohen"
1013,183018522,Mirror Mirror,"Julia Roberts,  Lily Collins,  Armie Hammer,  Nathan Lane,  Martin Klebba"
1014,284139100,John Carter,"Taylor Kitsch,  Lynn Collins,  Mark Strong,  Willem Dafoe,  CiarÃ¡n Hinds"
1015,47042000,Looper,"Joseph Gordon-Levitt,  Bruce Willis,  Emily Blunt,  Paul Dano,  Noah Segan"
1016,829000000,The Twilight Saga: Breaking Dawn - Part 2,"Kristen Stewart,  Robert Pattinson,  Taylor Lautner,  Peter Facinelli,  Elizabeth Reaser"
1017,132820716,Zero Dark Thirty,"Jessica Chastain,  Jason Clarke,  Mark Strong,  Joel Edgerton,  Chris Pratt"
1018,33372606,Haywire,"Gina Carano,  Ewan McGregor,  Michael Fassbender,  Bill Paxton,  Channing Tatum"
1019,301000000,Wrath of the Titans,"Sam Worthington,  Liam Neeson,  Ralph Fiennes,  Rosamund Pike,  Edgar RamÃ­rez"
1020,140470746,Step Up Revolution,"Kathryn McCormick,  Ryan Guzman,  Stephen Boss,  Megan Boone,  Jessica Guadix"
1021,145000000,Chronicle,"Dane DeHaan,  Alex Russell,  Michael B. Jordan,  Michael Kelly,  Anna Wood"
1022,81272766,Act of Valor,"Roselyn SÃ¡nchez,  Emilio Rivera,  Nestor Serrano,  Gonzalo Menendez,  Alexander Asefa"
1023,358375603,Hotel Transylvania,"Adam Sandler,  Steve Buscemi,  David Spade,  Kevin James,  Selena Gomez"
1024,48126384,End of Watch,"Jake Gyllenhaal,  Michael PeÃ±a,  Natalie Martinez,  Anna Kendrick,  David Harbour"
1025,79700000,What to Expect When You're Expecting,"Cameron Diaz,  Jennifer Lopez,  Elizabeth Banks,  Anna Kendrick,  Brooklyn Decker"
1026,179379533,The Dictator,"Sacha Baron Cohen,  Sayed Badreya,  Aasif Mandvi,  Megan Fox,  Anna Faris"
1027,100000000,Project X,"Oliver Cooper,  Jonathan Daniel Brown,  Thomas Mann,  Dax Flame,  Kirby Bliss Blanton"
1028,63100000,Contraband,"Mark Wahlberg,  Kate Beckinsale,  Ben Foster,  Giovanni Ribisi,  J.K. Simmons"
1029,746921274,Madagascar 3: Europe's Most Wanted,"Ben Stiller,  Sacha Baron Cohen,  David Schwimmer,  Frances McDormand,  Chris Rock"
1030,53676580,Lawless,"Shia LaBeouf,  Tom Hardy,  Guy Pearce,  Jessica Chastain,  Mia Wasikowska"
1031,29657751,The Raven,"John Cusack,  Luke Evans,  Alice Eve,  Brendan Gleeson,  Kevin McNally"
1032,59418613,Rock of Ages,"Tom Cruise,  Alec Baldwin,  Diego Boneta,  Julianne Hough,  Bryan Cranston"
1033,2106557,Stolen,"Nicolas Cage,  Malin Ã…kerman,  Josh Lucas,  Sami Gayle,  Danny Huston"
1034,118338361,The Pirates! In an Adventure with Scientists!,"Hugh Grant,  Brendan Gleeson,  Jeremy Piven,  Brian Blessed,  Salma Hayek"
1035,28258060,The Master,"Joaquin Phoenix,  Philip Seymour Hoffman,  Amy Adams,  Laura Dern,  Jesse Plemons"
1036,53909751,The Five-Year Engagement,"Emily Blunt,  Alison Brie,  Jason Segel,  Rhys Ifans,  Chris Pratt"
1037,88058786,This Is 40,"Paul Rudd,  Leslie Mann,  Jason Segel,  Maude Apatow,  Megan Fox"
1038,32204030,Lockout,"Guy Pearce,  Maggie Grace,  Joseph Gilgun,  Lennie James,  Peter Stormare"
1039,24159934,Wanderlust,"Paul Rudd,  Jennifer Aniston,  Justin Theroux,  Malin Ã…kerman,  Lauren Ambrose"
1040,127730736,The Woman in Black,"Daniel Radcliffe,  CiarÃ¡n Hinds,  Sidney Johnston,  Alisa Khazanova,  Mary Stockley"
1041,81491068,Frankenweenie,"Charlie Tahan,  Winona Ryder,  Catherine O'Hara,  Martin Short,  Martin Landau"
1042,58058367,That's My Boy,"Adam Sandler,  Susan Sarandon,  Eva Amurri Martino,  Leighton Meester,  Andy Samberg"
1043,208076205,Safe House,"Denzel Washington,  Ryan Reynolds,  Vera Farmiga,  Joel Kinnaman,  Brendan Gleeson"
1044,47000000,Savages,"Blake Lively,  Taylor Kitsch,  Aaron Taylor-Johnson,  Benicio del Toro,  Salma Hayek"
1045,46221189,Man on a Ledge,"Sam Worthington,  Elizabeth Banks,  Jamie Bell,  Ed Harris,  Edward Burns"
1046,19422261,Seven Psychopaths,"Colin Farrell,  Sam Rockwell,  Christopher Walken,  Woody Harrelson,  Abbie Cornish"
1047,24719215,Big Miracle,"Drew Barrymore,  John Krasinski,  Kristen Bell,  Vinessa Shaw,  Dermot Mulroney"
1048,3428048,Disconnect,"Jason Bateman,  Hope Davis,  Frank Grillo,  Paula Patton,  Michael Nyqvist"
1049,12434778,People Like Us,"Chris Pine,  Elizabeth Banks,  Olivia Wilde,  Michelle Pfeiffer,  Mark Duplass"
1050,8493728,Piranha 3DD,"Danielle Panabaker,  Matt Bush,  Katrina Bowden,  Jean-Luc Bilodeau,  David Koechner"
1051,85446075,The Possession,"Jeffrey Dean Morgan,  Natasha Calis,  Madison Davenport,  Kyra Sedgwick,  Rob LaBelle"
1052,52302796,Silent Hill: Revelation 3D,"Adelaide Clemens,  Kit Harington,  Sean Bean,  Carrie-Anne Moss,  Radha Mitchell"
1053,37930465,Killing Them Softly,"Brad Pitt,  Scoot McNairy,  Ben Mendelsohn,  James Gandolfini,  Ray Liotta"
1054,16863583,The Cold Light of Day,"Henry Cavill,  VerÃ³nica Echegui,  Sigourney Weaver,  Bruce Willis,  Caroline Goodall"
1055,35485056,Arbitrage,"Richard Gere,  Susan Sarandon,  Tim Roth,  Brit Marling,  Monica Raymund"
