Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
Capital University,,,,,
University of Portland,,,,,
University of Notre Dame,,,,,
Vanderbilt University,,,,,
Eastern University,,,,,
Northeastern University,,,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,,
"Devry University, Indianapolis Center",,,,,
Northwestern Polytechnic University,,,,,
"University of Phoenix, North Florida Learning Center, Jacksonville",,,,,
Mills College,,,,,
"University of Phoenix, Harrisburg Campus, Harrisburg",,,,,
College of William and Mary (The),,,,,
"University of Phoenix, Stonecrest Learning Center, San Diego",,,,,
"Devry University, Ft. Lauderdale Center",,,,,
Fordham University,,,,,
"University of Colorado, Boulder",,,,,
Colorado Heights University,,,,,
Columbia University,,,,,
"Devry University, Stockbridge (Henry County) Center",,,,,
Chapman University,,,,,
University of Scranton,,,,,
"Texas A&M University, Commerce",,,,,
"University of Phoenix, Philadelphia Financial District Learning Center",,,,,
Georgetown University,,,,,
"Devry University, Waukesha Center",,,,,
"University of Phoenix, Monroeville Learning Center, Pittsburgh",,,,,
"University of Phoenix, Timonium Learning Center, Timonium",,,,,
"University of Phoenix, Modesto Learning Center - Salida, Modesto",,,,,
"University of Phoenix, Bay Area - San Francisco Campus, San Jose",,,,,
Massachusetts Institute of Technology,,,,,
University of Portland,,,,,
"University of Phoenix, Tri Cities Student Resource Center, Kennewick",,,,,
Marywood University,,,,,
Palo Alto University,,,,,
"University of Phoenix, Hillsboro Learning Center, Hillsboro",,,,,
"University of Colorado, Boulder",,,,,
"Baruch College, City University of New York (CUNY)",,,,,
"University of Colorado, Boulder",,,,,
,Journalism (Master's),5.0,,114,24
Doane College,,,,,
"University of Phoenix, East Orlando Learning Center, Orlando",,,,,
University of Scranton,,,,,
"University of Phoenix, Oregon Campus, Tigard",,,,,
Northeastern Illinois University,,,,,
University of Iowa,,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Phoenix, Chandler Learning Center, Chandler",,,,,
Massachusetts Institute of Technology,,,,,
Mississippi State University,,,,,
"University of Hawaii, Manoa",,,,,
Wesleyan University,,,,,
Georgia State University,,,,,
"University of Phoenix, Windsor Park Learning Center, Windcrest",,,,,
Minot State University,,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Phoenix, East Jacksonville Learning Center, Jacksonville",,,,,
Massachusetts Institute of Technology,,,,,
University of San Francisco,,,,,
"University of Phoenix, Owasso Learning Center, Owasso",,,,,
Arkansas Tech University,,,,,
Pace University,,,,,
"Devry University, Greenwood Village (Denver South) Center",,,,,
Northeastern University,,,,,
Syracuse University,,,,,
Boise State University,,,,,
"Devry University, Edina Campus",,,,,
Duke University,,,,,
"Devry University, Westminster Campus",,,,,
"Rutgers, The State University of New Jersey, Newark",,,,,
Illinois Institute of Technology,,,,,
"Devry University, Colton (Inland-Empire) Center",,,,,
"Devry University, Cincinnati Campus",,,,,
"University of Phoenix, Nogales Learning Center, Nogales",,,,,
"University of Phoenix, Westlake Learning Center, Westlake",,,,,
New York University,,,,,
Williams College,,,,,
"Carnegie Mellon University, Portugal",,,,,
Northeastern University,,,,,
"Devry University, North Brunswick Campus",,,,,
"University of Colorado, Boulder",,,,,
"Devry University, Austin Campus",,,,,
San Jose State University,,,,,
