Color Code,B672
Color,BLACK
M.S.R.P. (EUR),1290
Department,MEN
Collection Type,SEASON
Season,23R
Wholesale (EUR),487
Color Code,B673
Color,WHITE
M.S.R.P. (EUR),1300
Department,MEN
Collection Type,SEASON
Season,24R
Wholesale (EUR),500
Color Code,B674
Color,BLACK
M.S.R.P. (EUR),2000
Department,MEN
Collection Type,SEASON
Season,25R
Wholesale (EUR),600
Color Code,B675
Color,YELLOW
M.S.R.P. (EUR),2200
Department,MEN
Collection Type,SEASON
Season,26R
Wholesale (EUR),700
Color Code,B679
Color,WHITE
M.S.R.P. (EUR),3000
Department,MEN
Collection Type,SEASON
Season,27R
Wholesale (EUR),1000
