Player Name,Points,Year
Matt Kleppe,30,1999-00
0,30,1993-94
Duane Anderson ,30,0
1,31,1958-59
Jason Larson,32,2018-19
Jordan Schultz,32,2004-05
0,34,1994-95
Todd May,32,1983-84
Todd May,31,1983-84
Milt Bakken,34,1955-56
Jason Schuepbach    ,34,1995-96
1,35,1958-59
1,35,1957-58
0,38,1994-95
Max Meylor,30,2015-16
Mark Emerson,46,1971-72
0,33,1994-95
1,36,1957-58
Duane Anderson,38,0
0,38,1993-94
Milt Bakken,32,1955-56
Max Meylor,31,2015-16
Gary Greve,30,1956-57
Pete Schmitt,32,2002-03
Duane Anderson ,34,0
0,31,1993-94
Milt Bakken,39,1955-56
