ranking,rating,reviews_number,cuisine_style
1.0,4.5,165.0,"European,  Swedish,  Scandinavian,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
1.0,4.5,578.0,"Contemporary,  European,  Scandinavian,  Norwegian,  Vegetarian Friendly,  Vegan Options"
1.0,5.0,103.0,"Italian,  Mediterranean,  Vegetarian Friendly,  Gluten Free Options"
1.0,5.0,108.0,"Thai,  Asian,  Vegetarian Friendly,  Gluten Free Options,  Vegan Options"
1.0,5.0,136.0,"French,  Dutch,  European"
1.0,5.0,146.0,"Cafe,  Middle Eastern,  Persian,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
1.0,5.0,171.0,"Polish,  Cafe,  European,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
1.0,5.0,241.0,"Austrian,  European,  Central European,  International,  Vegetarian Friendly,  Vegan Options"
1.0,5.0,263.0,"European,  British,  Scottish"
1.0,5.0,327.0,"Bar,  Pub,  Healthy,  Brazilian,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
1.0,5.0,347.0,"French,  European,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
1.0,5.0,352.0,"Mediterranean,  European,  Spanish,  Contemporary,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
1.0,5.0,373.0,"Lebanese,  Mediterranean,  Middle Eastern,  Vegetarian Friendly,  Vegan Options,  Halal,  Gluten Free Options"
1.0,5.0,409.0,Italian
1.0,5.0,4437.0,"Italian,  Mediterranean,  European,  Hungarian,  Vegetarian Friendly,  Gluten Free Options"
2.0,4.5,282.0,"Italian,  Mediterranean,  European,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
2.0,4.5,412.0,"European,  Scandinavian,  Norwegian,  Vegetarian Friendly,  Gluten Free Options"
2.0,4.5,418.0,"Indian,  Asian,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
2.0,4.5,543.0,"French,  European,  Vegetarian Friendly"
2.0,4.5,549.0,"European,  Swedish,  Scandinavian,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
2.0,4.5,785.0,"Austrian,  European,  Central European,  Vegetarian Friendly,  Gluten Free Options"
2.0,4.5,1724.0,"International,  European,  Spanish,  Contemporary,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
2.0,5.0,377.0,"Indian,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
2.0,5.0,772.0,"European,  British,  Scottish,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
3.0,4.5,357.0,"Polish,  European,  Central European,  International,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
3.0,4.5,359.0,"European,  Swedish,  Scandinavian,  International,  Vegetarian Friendly,  Gluten Free Options,  Vegan Options"
3.0,4.5,384.0,"Contemporary,  Slovenian,  Vegan Options,  Gluten Free Options"
3.0,4.5,428.0,"Brazilian,  Seafood,  European,  Portuguese,  Vegetarian Friendly,  Gluten Free Options"
3.0,4.5,555.0,"Diner,  Fast Food,  Healthy,  Vegetarian Friendly,  Vegan Options"
3.0,4.5,557.0,"Italian,  Pizza,  Mediterranean,  European,  Vegetarian Friendly,  Vegan Options"
3.0,4.5,705.0,"Seafood,  Mediterranean,  Greek,  Grill,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
3.0,4.5,789.0,"Pizza,  Vegan Options"
3.0,4.5,3795.0,"International,  Mediterranean,  European,  Spanish,  Vegan Options,  Gluten Free Options"
3.0,5.0,427.0,"French,  European,  Contemporary"
3.0,5.0,550.0,"Cafe,  Fast Food,  European,  Soups,  Danish,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
3.0,5.0,642.0,"European,  British,  Scottish,  International,  Vegetarian Friendly,  Gluten Free Options"
3.0,5.0,797.0,"International,  Bar,  Vegetarian Friendly,  Gluten Free Options"
3.0,5.0,1186.0,"Fast Food,  Italian,  Cafe,  Vegetarian Friendly"
4.0,4.5,194.0,"Japanese,  Fast Food,  Mediterranean,  Barbecue,  European,  Middle Eastern,  Slovenian,  Central European,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
4.0,4.5,329.0,"Japanese,  Sushi,  Asian,  Fusion,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
4.0,4.5,621.0,"German,  Central European,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
4.0,4.5,907.0,"Mediterranean,  European,  Delicatessen,  Portuguese,  Vegan Options"
