ID,Size,Price,Colors
S4162,0,32.66,Yellow
S4162,0,32.66, Green
S4162,0,32.66, Blue
F4478,0,86.32,Green
F4478,0,86.32, Black
F4478,0,86.32, Red
N9551,1,56.75,0
G4058,2,16.85,Green
G4058,2,16.85, Black
G4058,2,16.85, Blue
G4058,2,16.85, Yellow
M4124,3,35.4,Blue
M4124,3,35.4, Red
M4124,3,35.4, Green
D6429,3,38.34,Green
D6429,3,38.34, Black
D6219,0,92.6,Black
D6219,0,92.6, Blue
N6858,3,24.81,Blue
N6858,3,24.81, Red
D3028,2,13.62,1
P5336,2,94.3,Black
P5336,2,94.3, Yellow
P5336,2,94.3, Green
P5336,2,94.3, Red
H5408,0,46.42,2
K1919,1,65.67,Blue
K1919,1,65.67, Red
K1919,1,65.67, Green
K1919,1,65.67, Black
S3840,2,25.32,Yellow
S3840,2,25.32, Black
S3840,2,25.32, Green
N5050,0,18.57,Blue
N5050,0,18.57, Yellow
N5050,0,18.57, Red
D5368,0,89.03,Blue
D5368,0,89.03, Red
D5368,0,89.03, Yellow
P8966,2,29.97,0
H1756,2,30.42,Red
H1756,2,30.42, Yellow
H1756,2,30.42, Black
F3006,1,10.15,Red
F3006,1,10.15, Green
F3006,1,10.15, Black
F3006,1,10.15, Blue
M2228,2,22.27,Yellow
M2228,2,22.27, Blue
B2448,1,47.69,1
F2709,1,53.46,Yellow
F2709,1,53.46, Black
N5044,2,32.05,Black
H4912,0,13.88,Red
H4912,0,13.88, Green
J2948,2,55.84,Yellow
J2948,2,55.84, Red
J2948,2,55.84, Blue
N3316,1,84.06,2
F7804,2,39.13,Black
F7804,2,39.13, Yellow
F7804,2,39.13, Green
N9050,2,82.26,Blue
N9050,2,82.26, Black
N9050,2,82.26, Red
K4149,2,79.77,Red
K4149,2,79.77, Black
T4758,2,33.37,Blue
T4758,2,33.37, Green
J7355,0,98.53,0
