0.33,0.22,0.4,0.07,0.09,0.0
33.3,24.4,40.0,21.7,21.7,0.0
50.0,48.8,50.0,65.0,56.5,0.0
6.3,2.4,10.0,1.7,0.0,0.0
52.1,63.4,50.0,65.0,56.5,0.0
0.48,0.71,0.8,0.85,0.96,0.0
27.1,17.1,30.0,5.0,4.3,0.0
7.8,5.3,3.0,3.3,1.0,0.1
39.6,51.2,50.0,53.3,69.6,0.0
20.8,12.2,30.0,5.0,4.3,0.0
56.1,51.6,52.8,49.5,52.7,0.0
14.6,29.3,10.0,38.3,47.8,0.0
72.9,75.6,80.0,86.7,91.3,0.0
"10 -
< 20","20 -
< 30","2 -
< 10","30 -
< 50","50 -
< 100",>= 100
48,41,10,60,23,2
47.9,53.7,50.0,46.7,26.1,0.0
0.25,0.12,0.3,0.05,0.04,0.0
1.33,1.17,1.2,1.6,1.48,0.0
3.31,3.32,3.3,3.9,3.83,0.0
58.3,73.2,50.0,76.7,78.3,0.0
