Column1,"Hardy
Through
Zone",Heat,Drought,Shade,Flood,"Low
Fert","Growth
Habit",Median,+/-,Aliases
Annual ryegrass,6,1,1,3,3,1,0,6.5,0.5,Italian ryegrass
Barley,0,0,3,2,1,3,0,7.25,1.25,NaN
Berseem clover,7,3,2,3,2,2,1,6.6,0.4,"Bigbee,  multicut"
Buckwheat,1,1,0,1,1,1,1,6.0,1.0,NaN
Cowpeas,1,2,3,2,1,4,2,6.0,0.5, southern peas
Crimson clover,0,1,1,3,1,2,0,6.75,1.25,NaN
Field peas,0,3,2,1,1,1,2,6.5,0.5," black peas, winter peas"
Hairy vetch,2,1,2,2,1,1,2,6.5,1.0,winter vetch
Medics,2,2,3,3,1,2,3,6.5,0.5,NaN
Mustards,0,1,3,2,1,1,0,6.5,1.0," white, brown,  yellow"
Oats,8,1,1,1,2,2,0,6.0,1.5,spring oats
Radish,6,2,1,2,1,2,0,6.75,0.75,"oilseed,  forage,  Daikon"
Rapeseed,0,3,2,2,1,1,0,6.75,1.25," canola, rape"
Red clover,2,1,1,3,2,1,0,6.6,0.4,NaN
Sorghum–sudangrass,1,2,4,2,2,2,0,6.5,0.5,Sudax
Sweetclovers,2,0,4,1,1,4,0,7.0,0.25,NaN
Wheat,4,2,2,2,0,2,0,6.75,0.75,NaN
