mission_title,Target
1,"204, 136, 205"
10,"183, 314"
11,"204, 268, 404"
12,"208, 277, 391"
13,"363, 232, 333"
14,"454, 337"
15,"241, 426, 455, 210"
16,"311, 474, 311"
17,"482, 320, 204"
18,"424, 435, 405, 328, 122, 99, 343"
19,"208, 493, 384"
2,"100, 123, 85, 209, 288"
20,"333, 498, 505, 332"
21,"396, 268"
22,"171, 511, 317, 215, 438"
23,"271, 356, 514, 320, 513"
24,"363, 306, 208"
25,"268, 312, 329, 393"
26,"336, 277, 467, 384"
27,"521, 388"
29,"525, 524, 398"
3,"328, 210, 211, 409, 118, 236"
30,476
31,"526, 491, 384"
32,"454, 481"
33,530
34,498
35,"500, 531"
36,"479, 532"
37,"455, 536"
38,343
39,513
4,"302, 183, 345, 303"
40,"539, 506, 538"
42,"541, 512"
43,384
44,"542, 543"
46,502
47,"396, 519, 547"
48,"548, 525, 549"
49,489
5,"423, 422"
50,"552, 529"
51,"553, 426"
52,"535, 509"
53,"531, 491"
54,"556, 524, 555"
55,492
56,"539, 557"
57,"547, 560, 561"
59,"547, 559"
6,"229, 429, 208, 329"
60,"513, 564"
7,"99, 311, 232"
8,"241, 268"
9,"384, 251"
ASTP,"76, 77, 23"
Apollo 11,"29, 24"
Apollo 12,"44, 20, 28"
Apollo 14,"49, 50"
Apollo 15,55
Apollo 16,"56, 57, 17"
Apollo 17,26
Apollo 7,"7, 30, 31"
Apollo 8,"22, 33"
Astro-1,239
Atlas-1,130
EP-19,565
Gemini 10,27
Gemini 12,22
Gemini 3,"16, 17"
Gemini 5,8
Gemini 6A,7
Gemini 7,21
Gemini 8,24
Gemini 9A,"26, 23"
MA-6,3
Mercury-Atlas 7,4
Mercury-Atlas 8,7
Mercury-Atlas 9,8
Mir Aragatz,108
Mir EO-15,308
Mir EO-21,308
STS 101,308
STS 51-C,157
STS 51-L,157
STS-1,"102, 17"
STS-100,"404, 340, 348, 335"
STS-101,"346, 396, 262"
STS-102,402
STS-103,"282, 271, 322"
STS-104,383
STS-105,"344, 346"
STS-106,"397, 318, 362, 398"
STS-107,"431, 430, 432"
STS-109,"350, 414, 326, 377, 296"
STS-110,"415, 291, 416, 417"
STS-111,420
STS-112,"392, 424, 400, 306"
STS-113,"337, 428, 420, 226"
STS-114,"324, 438, 439, 327, 349, 402"
STS-115,"341, 448, 321, 447"
STS-116,"453, 451, 364, 452"
STS-117,"457, 387, 408"
STS-118,"393, 397, 463, 461"
STS-119,"492, 458, 491"
STS-120,"465, 446, 400"
STS-121,"445, 368, 411, 446"
STS-122,"416, 295, 415, 470, 469"
STS-123,"471, 472, 382, 473"
STS-124,"480, 481"
STS-125,"494, 497, 414"
STS-126,"487, 429, 489, 488, 447"
STS-127,"306, 401, 501, 499"
STS-128,"408, 387, 459"
STS-129,"407, 510, 469"
STS-130,"512, 465"
STS-131,"446, 517"
STS-132,"490, 488, 495, 474, 425, 478"
STS-133,"462, 487, 368, 493"
STS-134,"471, 435, 418, 497, 411, 482"
STS-135,"416, 447"
STS-151-C,56
STS-2,"104, 105"
STS-26,"119, 179"
STS-27,"192, 145, 132"
STS-28,"220, 221"
STS-29,"144, 158, 216, 217"
STS-30,"218, 154, 184, 122"
STS-31,"156, 196, 135"
STS-32,"187, 124, 226, 228, 227"
STS-33,"117, 224"
STS-34,"223, 197, 222, 160"
STS-35,"180, 213"
STS-36,"145, 231"
STS-37,"245, 192, 244"
STS-38,"179, 216, 237"
STS-39,"249, 246, 144, 125"
STS-40,"217, 253, 255, 254, 161"
STS-41,"234, 214, 219, 235, 233"
STS-41 B,134
STS-41-B,"132, 135"
STS-41-C,"139, 140, 102"
STS-41-D,"109, 146"
STS-41-G,"102, 152, 121, 149, 151"
STS-41C,142
STS-42,"267, 131, 266, 122, 185, 265"
STS-43,"220, 171, 228, 215"
STS-44,"117, 261, 263"
STS-45,"150, 151"
STS-46,"279, 280, 163, 156, 227"
STS-47,"245, 218, 283"
STS-48,"258, 169"
STS-49,"124, 225"
STS-50,"275, 219, 276, 237"
STS-51,"302, 303, 236, 266"
STS-51 J,134
STS-51-A,"155, 119"
STS-51-B,"127, 112, 165"
STS-51-C,158
STS-51-D,"115, 161"
STS-51-F,176
STS-51-G,"120, 171, 124"
STS-51-I,"104, 180"
STS-51-J,"186, 184, 185"
STS-51-L,147
STS-51A,126
STS-51B,122
STS-51D,164
STS-51G,172
STS-51I,141
STS-51L,"200, 201"
STS-52,"226, 257"
