mission_title,Target
STS-2,104
13,363
Soyuz TM­32/31,312
STS-49,124
STS-126,487
STS-129,407
STS-32,187
Soyuz 24,82
STS-58,304
7,99
Soyuz TMA-16/14,507
STS-41-C,139
STS-151-C,56
STS-38,179
4,302
STS-114,324
STS-64,219
STS-89,374
Gemini 9A,26
Salyut 6,74
STS-81,257
STS-86,327
23,271
Soyuz 22,9
STS-109,350
STS-114,438
36,479
Soyuz 19,15
STS-78,353
STS-44,117
STS-55,261
STS-89,372
18,424
STS-98,401
18,435
3,328
STS-115,341
STS-41-D,109
STS-110,415
STS-95,368
Soyuz 12,65
40,539
Shenzhou 11,550
STS-126,429
STS-54,288
STS-97,321
STS-65,250
STS-79,266
STS-51B,122
8,241
35,500
STS-97,153
STS-134,471
32,454
STS-92,305
STS-93,278
STS-107,431
49,489
54,556
STS-134,435
sts-46,281
STS-126,489
Apollo 17,26
Soyuz 6,39
STS-128,408
STS-132,490
STS-89,318
15,241
STS-114,439
Soyuz 22,79
STS-51-G,120
Mir EO-15,308
STS-95,3
44,542
STS-54,248
STS-127,306
STS-32,124
20,333
2,100
STS-124,480
Soyuz 28,87
STS-132,488
STS-55,192
STS-51-A,155
STS-56,290
57,547
Soyuz 38,97
STS-29,144
25,268
5,423
Soyuz TM­4/3,207
Soyuz TMA­5,437
STS-41,234
STS-38,216
STS-26,119
STS-65,303
STS-41-C,140
16,311
spacelab-3,168
Shenzhou 9,485
STS-120,465
STS-68,319
STS-55,293
STS-61A,188
37,455
STS-62,238
STS-7,119
Apollo 16,56
STS-88,192
STS-132,495
STS-60,196
STS-59,244
STS-98,290
Salyut 6,84
Soyuz TMA-1/TM-34,427
Soyuz 14,71
STS-43,220
17,482
STS-79,318
31,526
STS-52,226
Apollo 12,44
STS-51-J,186
STS-51 J,134
14,454
STS-111,420
18,405
STS-117,457
STS-70,315
STS-40,217
STS­106,399
26,336
ASTP,76
STS-44,261
STS-26,179
43,384
Soyuz TMA-11/10,464
STS-61-C,146
STS-116,453
Soyuz 21,78
Gemini 12,22
Apollo 8,22
STS-113,337
STS-122,416
STS-41,214
Soyuz TMA-4/TMA-3,436
STS-41,219
STS-73,225
STS-85,366
Skylab 3,62
STS-75,348
Salyut 7,99
60,513
Soyuz T­8,110
Apollo 16,57
STS-42,267
STS-51-J,184
Soyuz 10,51
STS-28,220
STS-122,295
STS-51-I,104
STS-61A,189
STS-102,402
STS-99,394
STS-65,314
Salyut 7,98
STS-30,218
Apollo 11,29
Soyuz 18,47
Shenzhou 6,442
STS-127,401
1,204
STS-41-B,132
4,183
STS-125,494
STS-41-G,102
Atlas-1,130
STS-106,397
STS-41-G,152
Soyuz TMA-13,486
STS-51-L,147
STS-9,128
52,535
18,328
STS-61A,170
STS-61-B,193
34,498
STS-122,415
STS-70,261
57,560
STS-134,418
Soyuz 25,84
56,539
Gemini 5,8
STS-109,414
STS-96,389
STS-127,501
Soyuz 7,43
38,343
STS-57,228
STS-70,330
48,548
STS-90,381
STS-34,223
18,122
STS-91,292
STS-95,323
STS-80,117
Soyuz TMA-9,449
STS-51,302
STS-118,393
Shenzhou 7,483
Mir EO-21,308
STS-51-B,127
STS-29,158
Skylab 3,44
3,210
Soyuz 11,52
STS-46,279
19,208
STS-116,451
STS-134,497
Skylab 4,68
STS-32,226
STS­60,212
STS-43,171
19,493
STS-41,235
STS-93,336
STS-91,382
STS-124,481
STS-37,245
STS-128,387
STS-89,187
Soyuz 15,72
Vostok 1,1
STS-75,346
Soyuz TM-27/26,376
STS-61-B,128
Mir Aragatz,108
19,384
STS-53,287
STS-40,253
6,229
Gemini 7,21
STS-92,297
STS-43,228
Skylab 2,61
12,208
57,561
STS-75,279
STS-36,145
STS-113,428
Soyuz  3,332
44,543
53,531
25,312
STS-67,325
31,491
46,502
STS-46,280
24,363
Voskhod 1,13
STS-38,237
Apollo 15,55
Salyut 7,108
STS-48,258
20,498
50,552
STS-62,227
STS-83,359
STS-77,230
36,532
STS-103,282
STS-51-A,119
STS-6,116
12,277
STS-72,341
Soyuz TMA-6/TMA-5,418
Gemini 6A,7
STS-117,387
STS-41-G,121
39,513
STS-43,215
27,521
STS­63,118
STS-48,169
STS-126,488
26,277
Soyuz TM-25/24,357
3,211
Salyut 7,107
STS-64,288
Soyuz 31,90
STS-61-C,196
STS-87,342
STS-101,346
STS-99,383
STS-135,416
7,311
Soyuz 26/27,85
1,136
10,183
Apollo 14,49
STS­106,311
STS-120,446
STS-131,446
STS-30,154
STS-117,408
STS-80,335
Soyuz 5,35
4,345
60,564
STS-94,359
STS-41C,142
35,531
42,541
STS-45,150
STS-41-B,135
STS87,371
Spacelab-2,177
2,123
STS-68,297
STS-133,462
STS-50,275
STS-119,492
25,329
STS-92,270
MA-6,3
STS-51-I,180
STS-90,377
STS-27,192
STS-1,102
STS-29,216
STS-33,117
STS-28,221
STS-135,447
STS-56,291
Gemini 3,16
STS-59,310
Soyuz 11,42
Soyuz 14,6
STS-41-C,102
STS-76,304
STS-83,358
STS-71,132
Soyuz 4,34
STS-131,517
STS-61,274
Salyut 7,86
STS-55,170
11,204
Salyut 7,86
Soyuz 8,34
STS-9,17
40,506
STS-115,448
2,85
Shenzhou 7,485
42,512
STS-84,322
STS-82,346
STS-51A,126
24,306
59,547
Soyuz TMA-8,443
STS-64,317
STS-114,327
STS-80,254
17,320
STS-86,367
3,409
STS-9,129
STS-61-A,109
9,384
STS-86,226
STS-31,156
59,559
STS-51-C,158
STS-85,282
Mercury-Atlas 7,4
STS-27,145
STS-34,197
Salyut 7,111
47,396
STS-8,105
STS-61-A,280
6,429
STS-95,282
Apollo 8,33
STS-98,310
STS-51,303
STS-100,404
23,356
STS-42,131
STS-116,364
29,525
Salyut 6,75
STS-94,298
STS-59,245
STS-51L,200
ASTP,77
STS-51-F,176
Salyut 6,100
STS-107,430
STS-37,192
STS-51,236
Salyut 6,93
22,171
20,505
STS-129,510
STS-94,315
Soyuz TMA-12 / Soyuz TMA-11,477
STS-78,351
STS-121,445
STS-121,368
STS-7,120
15,426
STS-41-D,146
8,268
2,209
STS-41 B,134
STS-96,335
Vostok 2,2
STS-134,411
47,519
STS-70,331
STS-57,184
STS-63,324
STS-89,373
6,208
STS-75,197
STS-50,219
56,557
STS-105,344
54,524
7,232
STS-100,340
48,525
Soyuz 38,85
Apollo 16,17
STS-61-A,125
STS-54,230
Soyuz 9,47
STS-91,197
Apollo 7,7
STS­88,212
Soyuz TMA-7,440
Salyut 7,93
STS-46,163
STS-82,321
STS-99,382
STS-61-C,197
STS-29,217
STS-51,266
EP-19,565
53,491
Salyut 7,88
STS-123,471
STS-51D,164
STS-132,474
STS-132,425
STS-100,348
Soyuz TMA-14,456
STS-122,470
STS-45,151
1,205
STS-83,313
STS-53,262
6,329
STS-133,487
25,393
Vostok 3,5
STS-116,452
22,511
STS-100,335
16,474
Salyut 7,95
STS-82,274
18,99
STS­112,426
Soyuz 9,5
STS-112,392
Soyuz 23,81
STS-65,313
Apollo 7,30
Soyuz 8,36
STS-109,326
STS-122,469
14,337
Mercury-Atlas 8,7
Soyuz 3,32
10,314
STS-57,296
51,553
STS-32,228
STS-40,255
STS-83,315
STS-101,396
STS-95,365
STS-33,224
13,232
22,317
STS-95,316
STS-109,377
47,547
STS-69,154
STS-109,296
Apollo 7,31
STS-27,132
STS-81,297
STS-92,400
STS-118,397
STS-112,424
STS-51-G,171
Gemini 8,24
STS 51-L,157
STS-51-D,115
STS-47,245
STS-35,180
2,288
STS-31,196
9,251
STS-112,400
STS-106,318
Salyut 6,84
21,396
STS-129,469
55,492
STS-106,362
21,268
STS-51-B,112
STS-41,233
STS-61B,148
STS-114,349
37,536
51,426
Vostok 6,10
Soyuz 11,53
27,388
STS-47,218
STS-40,254
STS-110,291
STS-39,249
STS-113,420
STS 101,308
STS-58,161
Soyuz 39,86
Soyuz TM-24/23,355
STS-42,266
STS-36,231
STS-8,124
STS-2,105
Soyuz 5/4,36
STS-37,244
26,467
STS-76,309
STS-52,257
STS-133,368
STS-71,292
STS-82,319
STS-114,402
50,529
STS-81,227
STS-56,243
STS-130,512
STS-110,416
STS-96,390
STS-39,246
STS-66,291
STS-105,346
Soyuz 27/26,65
STS-61,179
