Name,First Game,Venue (Permanent Seating),Most Recent Per Team Payout (+ Revenue Pool),Title Sponsor,Previous Name(s)
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","$6,000,000 (as semifinal)",Goodyear, SBC Cotton Bowl Classic
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","$4,000,000",Northwestern Mutual, Sony PlayStation 2^
Sugar Bowl,1935,"Mercedes-Benz Superdome (73,208)","$4,000,000",Allstate,Sugar Bowl
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","$6,000,000 (as semifinal)",Goodyear, Southwestern Bell Cotton Bowl Classic
Sugar Bowl,1935,"Mercedes-Benz Superdome (73,208)","$4,000,000",Allstate, Nokia Sugar Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","$4,000,000",PlayStation, IBM OS/2 Fiesta Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","$4,000,000",Northwestern Mutual, Citi^
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","$4,000,000",PlayStation, BattleFrog Fiesta Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","$4,000,000",Northwestern Mutual,Tournament East-West football game; Rose Bowl
Orange Bowl,1935,"Hard Rock Stadium (75,540)","$6,000,000 (as semifinal)",Capital One, FedEx Orange Bowl
Sugar Bowl,1935,"Mercedes-Benz Superdome (73,208)","$4,000,000",Allstate, USF&G Sugar Bowl
Rose Bowl Game,1902 (annual since 1916),"Rose Bowl (92,542)","$4,000,000",Northwestern Mutual, Vizio^
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","$6,000,000 (as semifinal)",Goodyear, Mobil Cotton Bowl
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","$6,000,000 (as semifinal)",Goodyear, Cotton Bowl
Cotton Bowl Classic,1937,"AT&T Stadium (80,000)","$6,000,000 (as semifinal)",Goodyear,Cotton Bowl
Orange Bowl,1935,"Hard Rock Stadium (75,540)","$6,000,000 (as semifinal)",Capital One, Discover Orange Bowl
Peach Bowl,1968,"Mercedes-Benz Stadium (71,000)","$4,000,000",Chick-fil-A, Chick-fil-A Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","$4,000,000",PlayStation, Tostitos Fiesta Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","$4,000,000",PlayStation, Sunkist Fiesta Bowl
Peach Bowl,1968,"Mercedes-Benz Stadium (71,000)","$4,000,000",Chick-fil-A, Chick-fil-A Peach Bowl
Fiesta Bowl,1971,"University of Phoenix Stadium (63,400)","$4,000,000",PlayStation, Fiesta Bowl
