Column1,Dollars,M/F,Contract,Prime,Districts
-4142.0,9750.0,0,6,5,5
-4142.0,9750.0,0,6,5,7
-4142.0,9750.0,0,6,5,9
-4142.0,9750.0,0,6,5,10
33.0,732108.28,1,1,1,6
-4142.0,140000.0,0,1,1,11
33.0,1888728.8,1,3,2,5
33.0,1888728.8,1,3,2,6
33.0,1888728.8,1,3,2,10
-4142.0,13311224.29,0,2,2,6
-4142.0,385930.0,1,3,2,9
-4142.0,385930.0,1,3,2,10
43.0,6120.0,0,1,1,7
-4142.0,881575.17,1,5,3,1
-4142.0,881575.17,1,5,3,4
-4142.0,4475589.5,1,22,10,3
-4142.0,4475589.5,1,22,10,4
-4142.0,4475589.5,1,22,10,5
-4142.0,4475589.5,1,22,10,6
-4142.0,4475589.5,1,22,10,7
-4142.0,4475589.5,1,22,10,8
-4142.0,4475589.5,1,22,10,9
33.0,221018.91,1,4,3,3
33.0,221018.91,1,4,3,5
33.0,221018.91,1,4,3,10
-4142.0,2167900.0,1,6,5,1
-4142.0,2167900.0,1,6,5,2
43.0,83205.0,1,1,1,1
NaN,15981.38,0,3,2,4
NaN,15981.38,0,3,2,5
NaN,25200.0,1,1,1,2
