Common Name (click for description),Moisture Requirement,Deer Resistant?
WILDFLOWERS - Meadows - Sun to Partial Shade,,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
TREES - Small (< 25'),,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
SHRUBS - Large (> 6'),,
SHRUBS - Small (< 3'),,
SHRUBS - Medium (3 - 6'),,
FERNS,,
Maidenhair Fern,0.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,,
SHRUBS - Medium (3 - 6'),,
WILDFLOWERS - Meadows - Sun to Partial Shade,,
White Turtlehead,1.0,0.0
TREES - Large (25 - 50+'),,
VINES,,
TREES - Large (25 - 50+'),,
TREES - Small (< 25'),,
FERNS,,
SHRUBS - Large (> 6'),,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
WILDFLOWERS - Meadows - Sun to Partial Shade,,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
TREES - Large (25 - 50+'),,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
GRASSES,,
SHRUBS - Medium (3 - 6'),,
TREES - Small (< 25'),,
WILDFLOWERS - Meadows - Sun to Partial Shade,,
TREES - Large (25 - 50+'),,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
GRASSES,,
TREES - Small (< 25'),,
AQUATIC PLANTS - Sun to Partial Shade,,
TREES - Small (< 25'),,
SHRUBS - Medium (3 - 6'),,
AQUATIC PLANTS - Sun to Partial Shade,,
WILDFLOWERS - Meadows - Sun to Partial Shade,,
Paleleaf Woodland Sunflower,4.0,1.0
TREES - Large (25 - 50+'),,
SHRUBS - Small (< 3'),,
TREES - Small (< 25'),,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
SHRUBS - Large (> 6'),,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
White Wood Aster,0.0,1.0
WILDFLOWERS - Meadows - Sun to Partial Shade,,
SHRUBS - Medium (3 - 6'),,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
GRASSES,,
WILDFLOWERS - Meadows - Sun to Partial Shade,,
TREES - Large (25 - 50+'),,
FERNS,,
WILDFLOWERS - Meadows - Sun to Partial Shade,,
GRASSES,,
TREES - Large (25 - 50+'),,
SHRUBS - Medium (3 - 6'),,
TREES - Large (25 - 50+'),,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
SHRUBS - Large (> 6'),,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
Black Cohosh,0.0,0.0
Great Blue Lobelia,2.0,0.0
WILDFLOWERS - Meadows - Sun to Partial Shade,,
Spotted Joe-Pye,2.0,0.0
Boneset,1.0,1.0
SHRUBS - Small (< 3'),,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
SHRUBS - Small (< 3'),,
SHRUBS - Medium (3 - 6'),,
WILDFLOWERS - Meadows - Sun to Partial Shade,,
Prickly Pear Cactus,7.0,0.0
SHRUBS - Large (> 6'),,
Bayberry,2.0,0.0
TREES - Small (< 25'),,
GRASSES,,
WILDFLOWERS - Partial Shade to Shade - Forest and Forest Edges,,
SHRUBS - Large (> 6'),,
GRASSES,,
FERNS,,
AQUATIC PLANTS - Sun to Partial Shade,,
