correction,misspell
Presbyterian,presbyterian
RSX,rsx
Stephen,Steffen
ability,abilitey
about,abouy
absorption,absorbtion
accidentally,accidently
accommodate,accomodate
adultery,adultry
aggressive,aggresive
alcohol,alchohol
alcoholic,alchoholic
all_right,alright
amateur,amature
ambivalent,ambivilant
amorphous,amourfous
amplification,amification
anatomy,"anonomy,  anotomy"
announce,annuncio
announcement,annonsment
anoint,annoint
anonymous,anynomous
appreciate,appresteate
appreciated,appreceiated
architecture, aricticure
arctic,artic
asymmetric,asymetric
asymptote,asentote
at,ast
attentively,atentively
automatically,autoamlly
bankrupt,bankrot
basically,basicly
battalion,batallion
beginning,"beggining,  beging,  bigginging"
behavior,behaviour
behaviour,behavior
believe," belive, beleive"
benefits,benidifs
better,metter
boycott,boygot
broccoli,brocolli
browse,bbrose
buoyant,bouyant
bureau,beauro
bureaucracy," buracracy, beaurocracy,  burracracy"
bush,buch
butter,buder
button,buton
by_by,byby
caller,cauler
came,gamne
caveats,cravets
cemetery,cemetary
changing,changeing
cheat,cheet
circle,cicle
circumstances,circumstaces
cockamamie,cocamena
colleague,colleaque
colloquialism,colloquilism
colon,coaln
column,columne
combo,cumba
commercials,commerciasl
commitment," comittmend,  comittmen"
committed,commited
committee," commitee, comitte"
companies,companys
compiler,comiler
complicated,compicated
computer,comupter
congratulations,congradulations
consensus,concensus
consistent,consident
consonant,consident
constant," contastant, contast"
continue,contunie
contribution,conibation
coolly,cooly
coping,copping
cosmopolitan,cosmoplyton
court,courst
crazy,crasy
critique," ctitique, criqitue"
croak,croke
crucified,crusifed
crucifixion,crucifiction
customization,custamisation
daily,daly
dangerous,danguages
dangle,dongle
decision,disition
defence,defense
defense,defence
defiantly,defenly
definite,definate
deities,dieties
dependable,dependeble
description,"descrption,  descrptn"
desiccate,dessicate
despair,dispair
desperate,desparate
destroy,distroy
development," develpond, developement"
developments,develepment
dictionary,ductioneery
dinosaur, dinasour
directly,direcyly
disagree,diagree
discuss,discuess
discussion,disssicion
dissect,disect
dissipate,disippate
distant,destint
distort,distart
distract,distarct
divulge,devulge
documentation,documtations
dog,"dag,  doog"
download,doenload
draft,deaft
during,duren
dynamic," dynaic, dymatic"
ecstasy,ecstacy
efficacy,efficity
efficient,efficat
efforts,effots
elegant," elligit, elagent"
embarrass,"embarass,  embaress"
embarrassment,embarassment
embed,imbed
encapsulation,encapsualtion
encyclopedia,"encyclapidia,  encyclopia"
engine,engins
enhance,enhence
enlightenment,enligtment
