Index,imdb_id,revenue,cast
970,tt0848228,1519557910," Mark Ruffalo, Robert Downey Jr.,  Chris Evans,  Scarlett Johansson"
971,tt1496025,132400000," Stephen Rea,  Theo James,  Michael Ealy,  India Eisley, Kate Beckinsale"
972,tt1345836,1081041287,"Christian Bale,  Tom Hardy,  Anne Hathaway"
973,tt1853728,425368238," Christoph Waltz,  Leonardo DiCaprio,  Samuel L. Jackson,  Kerry Washington"
974,tt1074638,1108561013," Naomie Harris,  Javier Bardem,  Ralph Fiennes,  Judi Dench, Daniel Craig"
975,tt1194173,276572938," Stacy Keach,  Scott Glenn,  Edward Norton, Jeremy Renner"
976,tt0903624,1017003568,"Ian McKellen,  Andy Serkis"
977,tt1446714,403170142," Charlize Theron,  Michael Fassbender, Noomi Rapace,  Idris Elba,  Guy Pearce"
978,tt1045658,205738714," Jacki Weaver,  Robert De Niro,  Jennifer Lawrence,  Chris Tucker"
979,tt0948470,752215857," Martin Sheen,  Emma Stone,  Denis Leary,  Rhys Ifans"
980,tt1217209,538983207," Kevin McKidd,  Emma Thompson,  Julie Walters, Kelly Macdonald,  Billy Connolly"
981,tt1735898,396600000," Chris Hemsworth,  Sam Claflin, Kristen Stewart"
982,tt1232829,201585328," Jonah Hill,  Dave Franco,  Brie Larson, Channing Tatum,  Ellie Kemper"
983,tt0454876,609016565," Adil Hussain,  Irrfan Khan,  Ayush Tandon,  Gautam Belur"
984,tt1667889,877244782," Seann William Scott,  Denis Leary,  Chris Wedge,  Ray Romano"
985,tt1637725,549368315,"Mark Wahlberg,  Joel McHale,  Seth MacFarlane,  Mila Kunis"
986,tt0790724,218340595," David Oyelowo, Tom Cruise,  Rosamund Pike,  Werner Herzog"
987,tt1649419,180274123," Samuel Joslin, Naomi Watts"
988,tt1772341,471222889," Sarah Silverman, John C. Reilly,  Jack McBrayer,  Jamie Elman"
989,tt1981677,115350426," Brittany Snow, Anna Kendrick,  Rebel Wilson"
990,tt1409024,624026776," Tommy Lee Jones,  Michael Stuhlbarg"
991,tt1392170,691210692," Woody Harrelson, Jennifer Lawrence"
992,tt1386703,198802074,"Colin Farrell,  Bill Nighy,  Bryan Cranston,  Jessica Biel,  Kate Beckinsale"
993,tt1371111,130482868," Jim Broadbent, Tom Hanks,  Halle Berry,  Jim Sturgess,  Hugo Weaving"
994,tt1764651,312573423," Jason Statham, Sylvester Stallone,  Dolph Lundgren,  Arnold Schwarzenegger,  Bruce Willis"
995,tt1397280,376141306," Maggie Grace, Liam Neeson,  Famke Janssen,  Rade Serbedzija"
996,tt1077368,245527149," Jonny Lee Miller,  Michelle Pfeiffer,  Jackie Earle Haley, Johnny Depp,  Helena Bonham Carter"
997,tt1659337,33400000,"Logan Lerman,  Ezra Miller,  Paul Rudd,  Emma Watson"
998,tt1024648,232324128," Bryan Cranston, Ben Affleck,  John Goodman,  Alan Arkin"
999,tt1605630,234989584," Chris Klein,  Alyson Hannigan,  Thomas Ian Nicholas,  Seann William Scott, Jason Biggs"
1000,tt1915581,167221571," Olivia Munn,  Matthew McConaughey,  Cody Horn, Channing Tatum,  Alex Pettyfer"
1001,tt1259521,66486080," Jesse Williams,  Anna Hutchison,  Chris Hemsworth,  Fran Kranz, Kristen Connolly"
1002,tt1446192,306941670," Isla Fisher,  Hugh Jackman,  Jude Law"
1003,tt1606389,196114570," Scott Speedman, Rachel McAdams,  Jessica Lange,  Sam Neill"
1004,tt1397514,355692760," Kristin Davis,  Vanessa Hudgens,  Josh Hutcherson,  Luis GuzmÃ¡n, Dwayne Johnson"
1005,tt1656190,40346186," Catherine Chan, Jason Statham"
1006,tt1611224,112265139," Mary Elizabeth Winstead,  Dominic Cooper"
1007,tt1374992,8106475,"Kirsten Dunst,  Timothy Spall,  Jim Sturgess,  James Kidnie"
1008,tt1482459,348840316," Ed Helms,  Taylor Swift,  Rob Riggle,  Danny DeVito"
1009,tt1748122,68263166," Kara Hayward, Bruce Willis,  Jared Gilman"
1010,tt1343727,41037742,"Karl Urban,  Lena Headey,  Jason Cope,  Olivia Thirlby"
1011,tt1440129,303025485,"Taylor Kitsch,  Brooklyn Decker,  Rihanna,  Tadanobu Asano,  Alexander SkarsgÃ¥rd"
1012,tt1707386,441809770," Sacha Baron Cohen,  Russell Crowe,  Amanda Seyfried, Hugh Jackman"
1013,tt1667353,183018522," Nathan Lane,  Lily Collins, Julia Roberts,  Martin Klebba,  Armie Hammer"
1014,tt0401729,284139100,"Taylor Kitsch,  CiarÃ¡n Hinds,  Mark Strong"
1015,tt1276104,47042000," Emily Blunt,  Noah Segan"
1016,tt1673434,829000000,"Kristen Stewart,  Peter Facinelli,  Robert Pattinson"
1017,tt1790885,132820716," Joel Edgerton,  Jason Clarke, Jessica Chastain"
1018,tt1506999,33372606," Channing Tatum,  Bill Paxton"
1019,tt1646987,301000000,"Sam Worthington,  Ralph Fiennes,  Edgar RamÃ­rez"
1020,tt1800741,140470746," Megan Boone,  Ryan Guzman,  Stephen Boss, Kathryn McCormick"
1021,tt1706593,145000000," Michael B. Jordan,  Anna Wood,  Michael Kelly, Dane DeHaan"
1022,tt1591479,81272766," Nestor Serrano,  Gonzalo Menendez,  Alexander Asefa, Roselyn SÃ¡nchez"
1023,tt0837562,358375603," Steve Buscemi,  Selena Gomez,  Kevin James,  David Spade, Adam Sandler"
1024,tt1855199,48126384,"Jake Gyllenhaal,  David Harbour,  Anna Kendrick"
1025,tt1586265,79700000," Anna Kendrick,  Brooklyn Decker,  Elizabeth Banks,  Jennifer Lopez, Cameron Diaz"
1026,tt1645170,179379533," Megan Fox,  Aasif Mandvi,  Sayed Badreya, Sacha Baron Cohen"
1027,tt1636826,100000000," Dax Flame,  Kirby Bliss Blanton, Oliver Cooper,  Jonathan Daniel Brown,  Thomas Mann"
1028,tt1524137,63100000," J.K. Simmons,  Kate Beckinsale, Mark Wahlberg,  Giovanni Ribisi,  Ben Foster"
1029,tt1277953,746921274," Sacha Baron Cohen,  Chris Rock, Ben Stiller,  David Schwimmer"
1030,tt1212450,53676580,"Shia LaBeouf,  Tom Hardy,  Mia Wasikowska,  Jessica Chastain,  Guy Pearce"
1031,tt1486192,29657751," Kevin McNally,  Brendan Gleeson,  Luke Evans, John Cusack"
1032,tt1336608,59418613," Alec Baldwin,  Diego Boneta, Tom Cruise,  Julianne Hough,  Bryan Cranston"
1033,tt1656186,2106557," Josh Lucas,  Malin Ã…kerman,  Sami Gayle"
1034,tt1430626,118338361," Jeremy Piven,  Salma Hayek,  Brendan Gleeson,  Brian Blessed"
1035,tt1560747,28258060," Laura Dern,  Philip Seymour Hoffman"
1036,tt1195478,53909751," Alison Brie,  Rhys Ifans,  Chris Pratt,  Jason Segel"
1037,tt1758830,88058786," Maude Apatow,  Megan Fox"
1038,tt1592525,32204030," Joseph Gilgun, Guy Pearce,  Peter Stormare"
1039,tt1655460,24159934,"Paul Rudd,  Justin Theroux,  Jennifer Aniston,  Lauren Ambrose"
1040,tt1596365,127730736," Alisa Khazanova, Daniel Radcliffe,  CiarÃ¡n Hinds"
1041,tt1142977,81491068," Martin Short,  Martin Landau, Charlie Tahan"
