Latitude,Country,Index,City,Longitude
39.21,AM,128,kapan,46.41
-14.27,PE,18,sicuani,-71.23
34.77,CY,332,pafos,32.42
45.44,RU,224,kropotkin,40.58
-24.97,PY,585,benjamin aceval,-57.57
55.72,RU,546,imeni vorovskogo,38.34
-8.12,ID,411,boyolangu,111.89
-1.52,BR,409,almeirim,-52.58
51.02,RU,39,krasnoarmeysk,45.7
64.47,RU,511,uyemskiy,40.85
55.1,CA,403,la ronge,-105.28
69.65,NO,323,tromso,18.96
-0.88,ID,286,sorong,131.25
44.38,CA,160,lunenburg,-64.32
32.0,US,369,midland,-102.08
41.87,KG,290,toktogul,72.94
15.12,VN,355,quang ngai,108.8
8.88,NG,446,jalingo,11.37
25.29,EG,253,esna,32.55
14.72,TH,450,pak thong chai,102.03
64.18,GL,499,nuuk,-51.72
-31.63,CL,42,illapel,-71.17
-14.66,AO,373,menongue,17.69
2.33,KE,526,marsabit,37.99
-18.59,BR,276,conceicao da barra,-39.73
69.42,RU,549,zapolyarnyy,30.81
22.29,HK,109,victoria,114.16
-31.25,AR,83,rafaela,-61.49
48.92,FR,152,saint-denis,2.33
-9.88,BR,565,alta floresta,-56.09
1.74,ID,303,sibolga,98.78
5.38,GF,149,sinnamary,-52.95
73.51,RU,61,dikson,80.55
35.73,JP,426,hasaki,140.83
58.3,US,48,juneau,-134.42
-34.58,AU,545,flinders,150.86
-15.2,AO,27,namibe,12.15
-45.42,NZ,472,te anau,167.72
68.75,RU,111,cherskiy,161.3
-15.82,BR,31,itapirapua,-50.61
34.64,US,227,lompoc,-120.46
-25.17,MG,454,beloha,45.05
4.14,ID,231,meulaboh,96.13
71.97,RU,63,khatanga,102.5
-46.6,NZ,71,bluff,168.33
-54.8,AR,37,ushuaia,-68.3
71.69,RU,188,tiksi,128.87
-12.74,BR,104,vilhena,-60.15
55.74,CA,94,thompson,-97.86
65.61,RU,240,staryy nadym,72.68
-33.01,ZA,307,saldanha,17.94
-5.55,AO,244,cabinda,12.2
9.45,TD,258,kyabe,18.94
38.44,TM,214,baherden,57.43
-0.13,BR,293,sao gabriel da cachoeira,-67.09
30.48,MX,53,san quintin,-115.95
70.37,NO,217,vardo,31.11
8.08,CF,337,ouadda,22.4
-5.18,BR,310,jutai,-68.9
46.54,RU,327,svetlaya,138.33
38.42,CN,148,shache,77.24
40.8,US,554,eureka,-124.16
65.42,GL,425,maniitsoq,-52.9
-25.24,AU,241,yulara,130.99
34.95,US,427,fort oglethorpe,-85.26
-33.87,AU,204,esperance,121.9
69.3,RU,484,deputatskiy,139.9
52.83,KZ,267,stepnyak,70.78
4.09,SS,295,yei,30.68
20.87,MX,226,celestun,-90.4
29.03,LY,527,jalu,21.55
-38.0,AR,60,mar del plata,-57.56
53.43,RU,183,kurkino,38.66
60.05,RU,390,gornopravdinsk,69.9
52.33,CA,151,macklin,-109.93
50.7,RU,245,bayangol,103.47
3.52,CM,387,yokadouma,15.05
32.67,PT,153,ponta do sol,-17.1
68.82,GL,255,qasigiannguit,-51.19
36.62,CN,464,xining,101.77
41.17,US,140,rockland,-74.05
62.46,CA,14,yellowknife,-114.35
-8.42,AO,166,lucapa,20.74
37.73,PT,347,ponta delgada,-25.67
-7.61,AO,47,uige,15.06
29.37,US,506,galveston,-94.97
18.22,AI,300,the valley,-63.06
2.82,BR,416,boa vista,-60.67
18.65,IN,552,koregaon,74.08
-21.2,TO,45,vaini,-175.2
42.0,FR,346,ajaccio,8.92
14.9,CV,441,sao filipe,-24.5
-40.81,AR,547,viedma,-63.0
-6.22,BR,317,jacareacanga,-57.75
20.93,MR,424,nouadhibou,-17.03
18.3,IN,544,indapur,73.25
52.52,RU,567,chernyshevsk,117.02
25.29,IR,562,chabahar,60.64
-3.55,PG,87,wewak,143.63
1.57,CD,461,bunia,30.25
66.15,CA,123,pangnirtung,-65.71
77.48,GL,110,qaanaaq,-69.36
25.12,PK,535,gwadar,62.33
38.42,JP,298,ishinomaki,141.3
-33.59,ZA,34,port alfred,26.89
71.29,US,108,barrow,-156.79
-0.91,ID,536,biak,122.88
-16.52,PF,268,vaitape,-151.75
3.08,BR,482,bonfim,-59.95
