name,pop
 TriBeCa,42742
Laurelton,24453
 Op City,43752
Arden Heights,24996
 Marine Park,42940
West Brighton,17750
 Midtown South,28630
DUMBO,30847
Kensington,36891
 Rosebank,26453
 Melrose,37865
 Fordham North,54415
 Bloomfield,39309
East Village,41746
park,93
Douglas Manor,24356
Gramercy,26184
 South Beach,23017
Soundview,53686
Crown Heights South,39670
 Fordham North,55329
Middle Village,37629
Springfield Gardens North,25409
North Riverdale,28013
 Brookville,18950
DUMBO,34495
Murray Hill,51739
 Woodrow,20763
Bedford,70713
East Williamsburg,31878
Bellerose,25287
 Bloomfield,39597
Hollis,20747
 Ravenswood,21104
Elmhurst,24338
Chinatown,52375
 Kingsbridge,29872
 cemetery,1906
 Marine Park,45231
 Bay Terrace,21751
 Richmond Valley,18332
Hamilton Heights,50555
Central Harlem North,70016
 Maspeth,24338
 Farragut,56033
South Jamaica,35181
 Westchester Square,29250
 Carnegie Hill,63664
Washington Heights South,84438
Oakwood,22266
park,418
Hudson Yards,70150
Claremont,31078
 cemetery,1785
Madison,39076
 cemetery,418
 Fox Hills,22460
Glen Oaks,22571
Woodhaven,54149
Van Cortlandt Village,50100
Battery Park City,39699
Kingsbridge Heights,32496
 Mott Haven North,39214
Cambria Heights,18677
Rossville,18894
Steinway,53604
 Farragut,50355
Rossville,20763
Arden Heights,25238
Parkchester,29821
Airport,0
East Village,44136
park,540
Elmhurst,87972
Ocean Parkway South,20299
 Heartland Villg,30714
 Midland Beach,20242
Hunters Point,63271
 etc,1785
Norwood,40817
Cypress Hills,49223
SoHo,36757
East Harlem North,58019
Pomonok,31734
 Eltingville,27770
 Richmond Valley,23313
Ocean Parkway South,20556
Fort Greene,28335
Charleston,23313
Bay Ridge,80539
East Williamsburg,34158
 Fox Hills,19834
South Ozone Park,78906
 New Brighton,32154
Turtle Bay,51231
Bayside,43808
Springfield Gardens North,25441
 Carnegie Hill,61207
East Harlem North,57148
 Little Neck,24356
Windsor Terrace,20988
Midwood,55440
 Chelsea,55839
South Ozone Park,75878
Rego Park,28260
 Concourse Village,58961
Lower East Side,72258
New Brighton,17525
Williamsburg,32926
Elmhurst,25521
 Hillcrest,31734
Clinton Hill,34791
Oakland Gardens,27873
 Eltingville,26376
Auburndale,20201
 Port Ivory,31474
Morningside Heights,54208
North Corona,52037
Fort Greene,26079
Washington Heights North,73457
Ft. Totten,22731
 Long Island City,20030
 Unionport,25768
 Brookville,20132
Windsor Terrace,20779
 Bronx,540
Stuyvesant Heights,61827
Mariner's Harbor,31474
Great Kills,40720
Gravesend,29436
Marble Hill,46746
College Point,24275
Ridgewood,69317
Williamsbridge,57420
 Castle Hill,50753
Steinway,47534
Midtown,28630
Washington Heights North,67136
West Concourse,39282
Queensboro Hill,19309
 cemetery,0
Richmond Hill,62985
Corona,57658
Bedford Park,54415
Briarwood,38675
Mariner's Harbor,27957
 Ft. Wadsworth,16079
 cemetery,93
Todt Hill,30714
North Side,40130
Bedford,59227
Ridgewood,69455
 Lighthse Hill,30714
 South Side,45774
West Concourse,39557
West Village,68483
Van Nest,27135
 New Hyde Park,22571
Brownsville,59099
Soundview,50753
 Bayswater,50058
 Remsen Village,57934
Brighton Beach,35244
Morrisania,37865
 Unionport,27248
 Emersn Hill,30762
Oakwood,22049
Queensboro Hill,20800
Rikers Island,12780
 Inwood,46746
Port Richmond,18042
Old Astoria,28847
 City Line,48961
Jackson Heights,113327
 Bergen Beach,42940
 Baychester,34517
Upper East Side,61207
park,1906
Woodhaven,56674
Ozone Park,21376
Bay Ridge,79371
Lincoln Square,55239
 Vinegar Hill,34495
Crotona Park East,20277
Greenpoint,37821
Richmond Hill,62982
 Edgewater Park,43712
Melrose South,33195
Parkchester,29353
Van Nest,29250
SoHo,42742
Starrett City,14621
Starrett City,13354
 Bergen Beach,45231
University Heights,54335
Canarsie,85058
 cemetery,7
North Riverdale,27860
 TriBeCa,36757
 Staten Island,0
Spuyten Duyvil,29872
East Harlem South,56899
Maspeth,30516
 Arverne,36885
park,7
 Ft. Wadsworth,15238
Charleston,18332
Mott Haven,52413
East Tremont,39280
Manhattanville,22950
 Howard Beach,28121
Erasmus,31392
Flatlands,66726
 Union Square,55839
Annadale,26376
Allerton,28903
Longwood,23082
 Huguenot,27770
Glen Oaks,22426
 Cooper Village,19101
