pop,name
0,"Airport,  cemetery,  Staten Island, park"
7," cemetery, park,  Staten Island"
93,"park,  cemetery,  Brooklyn"
418,"park,  cemetery,  Brooklyn,  etc"
436," Queens, park"
540,"park,  Bronx"
1785," cemetery,  etc"
1849," Manhattan,  cemetery"
1906," cemetery, park,  etc"
11091,Rikers Island
12780,Rikers Island
13354,Starrett City
14621,Starrett City
15238," Ft. Wadsworth, Grasmere"
16079, Ft. Wadsworth
17373, Utopia
17525,New Brighton
17750,West Brighton
18042,Port Richmond
18332," Richmond Valley, Charleston,  Tottenville"
18677,Cambria Heights
18894,Rossville
18950," Brookville, Springfield Gardens South"
19101, Cooper Village
19309,Queensboro Hill
19834, Fox Hills
20030, Long Island City
20132," Brookville, Springfield Gardens South"
20201,Auburndale
20242, Midland Beach
20277,Crotona Park East
20299,Ocean Parkway South
20556,Ocean Parkway South
20747,Hollis
20763," Woodrow, Rossville"
20779,Windsor Terrace
20800,Queensboro Hill
20988,Windsor Terrace
21049,Stuyvesant Town
21104," Ravenswood, Queensbridge"
21376,Ozone Park
21751, Bay Terrace
21896," Midland Beach, New Dorp"
22049,"Oakwood,  Oakwood Beach"
22266,Oakwood
22426,Glen Oaks
22460," Fox Hills,  Clifton, Grymes Hill"
22548,Brooklyn Heights
22571,"Glen Oaks,  New Hyde Park"
22731,"Ft. Totten,  Clearview"
22950,Manhattanville
23017," South Beach,  Dongan Hills"
23082,Longwood
23278,Kew Gardens
23313," Richmond Valley, Charleston"
23790,Westerleigh
24048,Stapleton
24102,Westerleigh
24275,College Point
24338,"Elmhurst,  Maspeth"
24356,"Douglas Manor,  Little Neck"
24453,Laurelton
24739," Douglaston, Douglas Manor,  Little Neck"
24835," Dongan Hills, Old Town"
24996,Arden Heights
25238,Arden Heights
25287,Bellerose
25409,Springfield Gardens North
25441,Springfield Gardens North
25521,Elmhurst
25768, Unionport
26079,Fort Greene
26148,Lindenwood
26184,Gramercy
26376," Eltingville, Annadale"
26453," Rosebank, Stapleton"
26583, City Island
26711,Breezy Point
26982,East Flushing
27135,"Van Nest,  Westchester Square"
27248, Unionport
27770," Eltingville,  Huguenot, Annadale"
27860,"North Riverdale,  Riverdale"
27873,Oakland Gardens
27957,"Mariner's Harbor,  Graniteville,  Port Ivory"
28013,"North Riverdale,  Riverdale"
28018,"Breezy Point,  Broad Chnl"
28121, Howard Beach
28149,Claremont
28260,Rego Park
28335,Fort Greene
28510,Allerton
28630," Midtown South, Midtown"
28847,Old Astoria
28903,Allerton
29250," Westchester Square, Van Nest"
29353,Parkchester
29404,Rego Park
29436,Gravesend
29797, Melrose
29821,Parkchester
29872," Kingsbridge, Spuyten Duyvil"
30073,Pelham Parkway
30516,Maspeth
30714," Heartland Villg, Todt Hill,  Lighthse Hill"
30762," Emersn Hill,  Lighthse Hill"
30773,Whitestone
30847,"DUMBO,  Downtown Brklyn"
31071,Glendale
31078,Claremont
31392,Erasmus
31474," Port Ivory, Mariner's Harbor,  Graniteville,  Arlington"
31734,"Pomonok,  Hillcrest"
31878,East Williamsburg
31965, Coney Island
32154, New Brighton
32269,Williamsburg
32496,Kingsbridge Heights
32926,Williamsburg
33195,"Melrose South,  Mott Haven North"
34158,East Williamsburg
34267,Seagate
34495,"DUMBO,  Vinegar Hill"
34517," Baychester,  Edenwald"
34542, Bronx River
34791,Clinton Hill
35011,West Farms
35181,South Jamaica
35244,Brighton Beach
35422, Baychester
35538,Bronxdale
36757,"SoHo,  TriBeCa"
36885," Arverne, Hammels,  Edgemere"
36891,Kensington
36937,Kensington
37629,Middle Village
37821,Greenpoint
37865," Melrose, Morrisania"
37929,Middle Village
38327, Red Hook
38353," Red Hook, Carroll Gardens"
38675,"Briarwood,  Jamaica Hills"
39076,Madison
39138, Jamaica Hills
39214, Mott Haven North
39280,East Tremont
39282,West Concourse
39309, Bloomfield
39332,Dyker Heights
39557,West Concourse
39597," Bloomfield, New Springville"
39670,Crown Heights South
39699,Battery Park City
40130,North Side
40720,Great Kills
40817,Norwood
41746,East Village
42742," TriBeCa, SoHo,  Civic Center"
42940," Marine Park,  Bergen Beach"
43383,Central Harlem South
43583, Wakefield
43712, Edgewater Park
43752, Op City
43808,Bayside
44136,East Village
44167, Throgs Neck
44371, Bayside Hills
45231," Marine Park,  Bergen Beach,  Mill Basin"
45774," South Side, North Side"
46746,"Marble Hill,  Inwood"
47156,North Corona
47534,Steinway
48961, City Line
49030,Mott Haven
49223,Cypress Hills
49737,Turtle Bay
50058, Bayswater
50100,Van Cortlandt Village
50355, Farragut
50555,Hamilton Heights
50607,Van Cortlandt Village
50742, Kips Bay
50753," Castle Hill, Soundview,  Harding Park"
51231,Turtle Bay
51739,Murray Hill
52037,North Corona
52375,Chinatown
52413,Mott Haven
53604,Steinway
53686,"Soundview,  Clason Point,  Harding Park"
54041,Sunset Park West
54149,Woodhaven
54208,Morningside Heights
54335,University Heights
54415," Fordham North, Bedford Park"
55239,Lincoln Square
55329," Fordham North, Bedford Park"
55440,Midwood
55839," Chelsea,  Union Square"
56033, Farragut
56093,Bushwick North
56674,Woodhaven
56899,East Harlem South
57148,East Harlem North
57420,Williamsbridge
57658,Corona
57704,Queens Village
57934, Remsen Village
58019,East Harlem North
58961, Concourse Village
59099,Brownsville
59227,Bedford
61207," Carnegie Hill, Upper East Side"
61827,Stuyvesant Heights
61947," Sunnyside, Hunters Point"
62982,Richmond Hill
62985,Richmond Hill
63271,"Hunters Point,  West Maspeth"
63664, Carnegie Hill
64596, Gerritsen Beach
66150,Sunset Park East
66726,Flatlands
66880,West Village
67136,Washington Heights North
67459, Wingate
67649, Gowanus
68483,West Village
69317,Ridgewood
69455,Ridgewood
70016,Central Harlem North
70150,"Hudson Yards,  Union Square"
70300," Wingate, Prospect Lefferts Gardens"
70713,Bedford
72101,Bushwick South
72258,Lower East Side
72957,Lower East Side
73457,Washington Heights North
75282,"Central Harlem North,  Polo Grounds"
75878,South Ozone Park
78906,South Ozone Park
79371,Bay Ridge
80539,Bay Ridge
84438,Washington Heights South
85058,Canarsie
87972,Elmhurst
93671,Washington Heights South
101055,Borough Park
113327,Jackson Heights
136954,Upper West Side
