Region,Democrats,Republicans,Total,States Included
Pacific,51,20,71,AK
Great Lakes,25,40,65, IN
South Central,17,60,77, TX
Great Lakes,25,40,65,MI
Mountain,12,19,31,AZ
South Central,17,60,77, TN
Midwest,8,21,29,IA
South Atlantic,23,52,75,FL
Mountain,12,19,31, UT
South Atlantic,23,52,75, NC
Great Lakes,25,40,65, IL
Mountain,12,19,31, CO
New England,20,1,21, NH
Mid-Atlantic,38,28,66, NY
Midwest,8,21,29, MO
South Atlantic,23,52,75, GA
Midwest,8,21,29, SD
New England,20,1,21, RI
New England,20,1,21, MA
New England,20,1,21, ME
Pacific,51,20,71, OR
South Atlantic,23,52,75, VA
Mountain,12,19,31, NV
South Central,17,60,77, AR
Mid-Atlantic,38,28,66,DE
South Atlantic,23,52,75, SC
Pacific,51,20,71, CA
Midwest,8,21,29, ND
Mountain,12,19,31, WY
Midwest,8,21,29, KS
South Central,17,60,77, MS
Mountain,12,19,31, ID
Mid-Atlantic,38,28,66, NJ
Great Lakes,25,40,65, WI
Pacific,51,20,71, WA
Mountain,12,19,31, MT
South Central,17,60,77, KY
New England,20,1,21, VT
South Central,17,60,77, OK
Mid-Atlantic,38,28,66, PA
Midwest,8,21,29, NE
Pacific,51,20,71, HI
Mountain,12,19,31, NM
Midwest,8,21,29, MN
South Atlantic,23,52,75, WV
South Central,17,60,77,AL
New England,20,1,21,CT
South Central,17,60,77, LA
Mid-Atlantic,38,28,66, MD
Great Lakes,25,40,65, OH
