Desc,ID,Size,Price,Colors
Bov,H4912,0,13.88, Green
Dar,P5336,2,94.3," Green,  Red,  Yellow"
Deh,F7804,2,39.13, Yellow
Dut,F2709,1,53.46, Black
Fes,J2948,2,55.84," Red, Yellow"
Fik,K4149,2,79.77," Black, Red"
Goh,N6858,3,24.81,"Blue,  Red"
Hic,S4162,0,32.66," Green, Yellow"
Juc,N9050,2,82.26,"Blue,  Black"
Keg,K1919,1,65.67," Green,  Red, Blue"
Kid,M4124,3,35.4,"Blue,  Red"
Leg,F3006,1,10.15," Green,  Black,  Blue"
Len,N3316,1,84.06,2
Luh,N5050,0,18.57," Yellow, Blue,  Red"
Moc,D6429,3,38.34, Black
Nef,G4058,2,16.85," Blue,  Black"
Nif,M2228,2,22.27,Yellow
Pav,H1756,2,30.42, Black
Pec,B2448,1,47.69,1
Sav,J7355,0,98.53,0
Teb,D6219,0,92.6, Blue
Vof,D5368,0,89.03, Yellow
Wum,N9551,1,56.75,0
