A,B
Date11,Territory58
Date3,Territory13
Date10,Territory52
Date12,Territory70
Date2,Territory8
Date15,Territory80
Date10,Territory55
Date7,Territory30
Date4,Territory16
Date6,Territory24
Date11,Territory60
Date5,Territory19
Date14,Territory78
Date15,Territory84
Date18,Territory105
Date20,Territory110
Date4,Territory17
Date15,Territory85
Date11,Territory59
Date16,Territory92
Date15,Territory83
Date1,Territory1
Date6,Territory27
Date18,Territory100
Date19,Territory108
Date8,Territory37
Date13,Territory73
Date2,Territory2
Date7,Territory36
Date15,Territory86
Date16,Territory93
Date6,Territory23
Date18,Territory99
Date2,Territory10
Date18,Territory106
Date17,Territory98
Date16,Territory87
Date16,Territory91
Date12,Territory66
Date2,Territory6
Date2,Territory3
Date7,Territory33
Date11,Territory57
Date3,Territory11
Date17,Territory95
Date10,Territory51
Date14,Territory74
Date12,Territory68
Date9,Territory48
Date8,Territory39
Date16,Territory94
Date2,Territory5
Date8,Territory38
Date14,Territory76
Date3,Territory12
Date2,Territory4
Date18,Territory103
Date12,Territory67
Date8,Territory41
Date16,Territory89
Date9,Territory46
Date14,Territory75
Date9,Territory42
Date4,Territory15
Date17,Territory96
Date14,Territory79
Date15,Territory81
Date6,Territory20
Date7,Territory29
Date18,Territory102
Date18,Territory104
Date2,Territory7
Date4,Territory14
Date16,Territory88
Date9,Territory44
Date11,Territory61
Date6,Territory21
Date19,Territory107
Date10,Territory53
Date9,Territory49
Date7,Territory28
Date14,Territory77
Date7,Territory35
Date12,Territory69
Date9,Territory45
Date6,Territory26
Date11,Territory62
Date10,Territory56
Date19,Territory109
Date16,Territory90
Date13,Territory71
Date5,Territory18
Date11,Territory64
Date7,Territory34
Date13,Territory72
Date15,Territory82
Date10,Territory54
Date6,Territory22
Date6,Territory25
Date18,Territory101
Date7,Territory31
Date11,Territory63
Date9,Territory50
Date12,Territory65
Date8,Territory40
Date9,Territory47
Date17,Territory97
Date7,Territory32
Date9,Territory43
Date2,Territory9
