A,B
Date1,Territory1
Date10,"Territory52, Territory55, Territory51, Territory53, Territory56, Territory54"
Date11,"Territory58, Territory60, Territory59, Territory57, Territory61, Territory62, Territory64, Territory63"
Date12,"Territory70, Territory66, Territory68, Territory67, Territory69, Territory65"
Date13,"Territory73, Territory71, Territory72"
Date14,"Territory78, Territory74, Territory76, Territory75, Territory79, Territory77"
Date15,"Territory80, Territory84, Territory85, Territory83, Territory86, Territory81, Territory82"
Date16,"Territory92, Territory93, Territory87, Territory91, Territory94, Territory89, Territory88, Territory90"
Date17,"Territory98, Territory95, Territory96, Territory97"
Date18,"Territory105, Territory100, Territory99, Territory106, Territory103, Territory102, Territory104, Territory101"
Date19,"Territory108, Territory107, Territory109"
Date2,"Territory8, Territory2, Territory10, Territory6, Territory3, Territory5, Territory4, Territory7, Territory9"
Date20,Territory110
Date3,"Territory13, Territory11, Territory12"
Date4,"Territory16, Territory17, Territory15, Territory14"
Date5,"Territory19, Territory18"
Date6,"Territory24, Territory27, Territory23, Territory20, Territory21, Territory26, Territory22, Territory25"
Date7,"Territory30, Territory36, Territory33, Territory29, Territory28, Territory35, Territory34, Territory31, Territory32"
Date8,"Territory37, Territory39, Territory38, Territory41, Territory40"
Date9,"Territory48, Territory46, Territory42, Territory44, Territory49, Territory45, Territory50, Territory47, Territory43"
