# OF Trades,Index,DATE,0,AWAY,Market,EXP.,EXP Y/N,Score,Open BACK ODDS,SUCCESS,WON B/L,Goals (minutes)
0,4,41733,0,FERENCVAROS,0,3.43,0,1,1.9,0,0,"87, 23, 4"
0,5,41733,0,LAVAL,0,3.14,0,Apr-00,2.06,0,0,"3, 5, 34"
0,6,41733,0,0,0,3.02,0,3,1.56,0,0,"34, 3, 90, 68"
0,8,41733,0,WESTERLO,0,3.47,0,5,1.78,0,0,"89, 13, 79"
0,11,41734,0,1,0,3.13,1,4,1.7,3,1,31
0,12,41734,0,2,0,3.15,1,7,1.6,2,1,"15, 33"
0,13,41734,0,FREIBURG,0,3.21,1,8,1.74,3,1,69
0,14,41734,0,MK DONS,0,3.57,0,1,1.95,2,0,"57, 66, 39"
0,15,41734,0,ROTHERHAM,0,3.29,0,4-Mar,1.8,2,0,"2, 57, 93, 30, 86, 84, 69"
0,16,41734,0,MOTHERWELL,0,3.01,0,9,1.72,2,0,"87, 17, 27, 86, 42"
0,17,41734,0,COWDENBEATH,0,3.17,0,10,1.68,2,0,"54, 40, 48, 16, 28"
0,18,41734,0,REIMS,0,3.41,0,11,1.69,2,0,"43, 89, 48"
0,19,41734,0,BENFICA B,0,4.3,0,1,1.77,2,0,"26, 52, 34"
0,20,41734,0,ADMIRA,0,3.41,1,7,1.76,2,1,"43, 65"
0,21,41734,0,DINAMO ZAGREB,0,3.11,0,1,1.79,2,0,"70, 4, 38"
0,22,41734,0,GYOR,0,3.07,0,0,1.73,2,0,"11, 25, 22, 60"
0,23,41734,0,JAGIELLONIA,0,3.08,0,1-Jun,1.89,2,0,"7, 13, 89, 78, 78, 53"
0,24,41734,0,SPORTING,0,3.19,0,12,2.06,2,0,"33, 54, 14"
0,25,41735,0,3,0,3.03,1,13,1.69,3,1,0
0,26,41735,0,MLADA BOLESLAV,0,3.1,0,6,2.01,2,0,"61, 33, 64"
0,27,41735,0,LIVERPOOL,0,3.42,0,1,1.7,2,0,"44, 47, 71"
0,28,41735,0,LEVADIAKOS,0,3.33,0,3,1.49,2,0,"39, 41, 63, 77"
0,46,41741,0,8,0,3.37,0,2-Apr,1.67,0,0,"13, 25, 27, 48, 34"
0,66,41744,0,QUILMES,0,3.21,0,12,2.4,0,0,"28, 17, 5, 8"
0,82,41748,0,WOKING,0,3.42,0,0,1.74,0,0,"33, 90, 68"
0,83,41748,0,MACCLESFIELD,0,3.34,0,6,1.74,0,0,"18, 22, 45"
0,84,41748,0,QUEEN OF SOUTH,0,3.25,0,5,1.7,1,0,"17, 66 (NOT IN PLAY), 52"
0,91,41749,0,RAPID VIENNA,0,3.12,0,0,1.73,0,0,"25, 51, 12, 43"
0,92,41749,0,RANDERS,0,3.13,0,1,1.77,0,0,"37, 11, 15"
1,1,41733,0,MELBOURNE,0,3.24,0,0,1.8,0,0,"93, 42, 1, 33"
1,2,41733,0,DUSSELDORF,0,3.26,0,1,1.97,0,0,"76, 42"
1,3,41733,0,URAL,0,3.57,1,2,1.9,1,1,20
1,7,41733,0,PRIBRAM,0,3.71,1,4,1.84,1,1,84
1,9,41733,0,AJACCIO,0,3.04,0,3,1.71,2,0,"60, 76, 61, 4"
1,10,41733,0,LEVERKUSEN,0,3.3,0,6,1.67,2,0,"82, 58"
1,30,41736,0,4,0,3.99,1,8,1.7,2,1,35
1,31,41736,0,EINDHOVEN,0,4.01,0,1,1.7,2,0,"56, 42, 37"
1,32,41736,0,DEN BOSCH,0,3.27,0,4-Jan,1.7,2,0,"14, 72, 85, 62, 35"
1,33,41736,0,OTELUL,0,3.06,0,3,2.14,2,0,"52, 44, 65, 60"
1,34,41736,0,5,0,3.23,0,6,2.18,2,0,"39, 53"
1,35,41737,0,LEEDS,0,3.19,0,11,1.85,2,0,"32, 9, 67"
1,36,41737,0,GILLINGHAM,0,3.3,1,8,1.8,2,1,"42, 58"
1,37,41740,0,6,0,3.19,0,6,1.75,0,0,"81, 79, 69"
1,38,41740,0,SEVASTOPOL,0,3.96,0,11,1.97,0,0,"36, 16, 18"
1,39,41740,0,CAEN,0,3.38,0,14,2.05,0,0,"25, 63, 22, 17, 87"
1,40,41740,0,7,0,4.18,0,1,1.75,0,0,"86, 15, 92"
1,41,41740,0,EIN. FRANKFURT,0,3.13,1,8,1.57,1,1,"91, 59"
1,43,41741,0,HAMBURG,0,3.47,0,6,1.97,0,0,"48, 26, 9"
1,44,41741,0,STUTTGART,0,3.43,1,7,1.69,1,1,"12, 89"
1,47,41741,0,COVENTRY,0,3.72,1,4,1.82,1,1,6
1,48,41741,0,MARITIMO,0,3.13,1,8,2.12,1,1,"7, 89"
1,49,41741,0,9,0,3.42,0,1-Apr,1.76,0,0,"64, 94, 81, 52, 21"
1,50,41741,0,LECH POZNAN,0,3.17,0,5,1.99,0,0,"34, 51, 31"
1,51,41741,0,GRODIG,0,3.79,0,1,1.64,0,0,"19, 93, 89"
1,52,41741,0,GIJON,0,3.29,1,8,1.83,1,1,"89, 85"
1,53,41742,0,ANZHI,0,3.02,1,13,2.14,1,1,0
1,54,41742,0,SEVILLA,0,3.25,1,15,1.86,1,1,"82, 30"
1,55,41742,0,HVIDORE,0,3.05,0,9,1.92,0,0,"34, 24, 59, 76, 85"
1,57,41742,0,JIHLAVA,0,3.94,1,7,1.76,1,1,"82, 46"
1,58,41742,0,OLIVEIRENSE,0,3.29,0,1,1.98,0,0,"29, 68, 64"
1,64,41743,0,FERREIRA,0,3.26,1,4,2.44,1,1,41
1,65,41744,0,ZADAR,0,3.23,0,11,1.67,0,0,"25, 16, 70"
1,67,41745,0,SHAKHTAR,0,3.5,1,15,1.86,0,1,"34, 10"
1,70,41746,0,FREDERICA,0,3.1,0,6,2.06,0,0,"9, 37"
1,71,41746,0,LYNGBY,0,3.59,0,5,1.6,0,0,"82, 88"
1,72,41746,0,DRESDEN,0,2.74,1,8,2.14,0,1,"6, 19"
1,73,41746,0,HANNOVER,0,2.8,0,14,1.74,0,0,"13, 68, 20, 29, 2"
1,74,41747,0,NOTTS COUNTRY,0,3.64,0,6,1.8,0,0,"30, 86, 13"
1,75,41747,0,TRANMERE,0,3.31,1,8,1.82,1,1,"93, 78"
1,76,41747,0,5,0,3.53,1,4,1.98,1,1,67
1,77,41747,0,7,0,3.48,0,5,1.68,0,0,"30, 20, 70"
1,78,41748,0,FULHAM,0,3.4,0,3,1.7,0,0," 62, 37, 34, 48"
1,79,41748,0,4,0,3.39,0,11,1.65,0,0,"43, 84, 51"
1,80,41748,0,1,0,3.13,1,15,1.47,1,1,"75, 86"
1,81,41748,0,BIRMINGHAM,0,3.22,1,4,1.76,1,1,2
1,85,41748,0,SUNDERLAND,0,3.1,0,1,1.7,0,0,"80, 18, 11"
1,86,41748,0,WOLFSBERG,0,3.69,0,12,1.7,0,0,"2, 49, 58, 42"
1,87,41748,0,BOLOGNA,0,3.16,1,2,1.7,1,1,63
1,88,41749,0,GREUTHER FURTH,0,3.69,0,0,2.12,0,0,"74, 59, 35, 92"
1,89,41749,0,9,0,3.42,0,1,2.06,0,0,"73, 27, 81"
1,90,41749,0,AB,0,3.79,1,13,1.75,1,1,0
1,93,41749,0,2,0,3.38,0,3,1.76,0,0,"54, 59, 23, 69"
1,95,41750,0,BLACKBURN,0,2.9,0,4-Feb,1.82,0,0,"84, 10, 48, 63, 20, 24"
1,96,41750,0,8,0,3.68,1,4,1.75,1,1,79
1,97,41750,0,6,0,3.09,0,0,1.79,0,0,"52, 56, 31, 66"
1,98,41750,0,DUNDALK,0,5.32,1,2,1.6,1,1,94
1,99,41750,0,SILVASSPOR,0,3.07,0,1,1.9,0,0,"84, 67"
2,42,41741,0,AUE,0,3.39,0,6,1.79,0,0,"38, 58, 17"
2,45,41741,0,DINAMO KIEV,0,3.02,0,0,2.02,0,0,"48, 58, 32"
2,56,41742,0,MAN CITY,1,4.16,0,9,2.48,0,0,"78, 57, 26, 6, 62"
2,59,41742,0,APOLLON SMIRNIS,0,4.55,1,4,1.63,1,1,88
2,60,41743,0,SIGMA OLOMOUC,0,3.17,1,8,2.18,1,1,"70, 94"
2,61,41743,0,DINAMO MOSCOW,0,3.34,0,16,2.0,0,0,"53, 75, 84, 74, 91"
2,62,41743,0,GAZIANTEPSPOR,0,3.65,0,6,2.04,0,0,"83, 34"
2,69,41745,0,AALBORG,0,3.69,1,15,1.74,0,1,"49, 59"
2,94,41750,0,0,1,3.6,1,7,2.16,1,1,70
3,68,41745,0,3,0,3.1,0,16,1.86,0,0,"27, 45, 6, 60, 15"
3,100,41751,0,HRVATSKI DRAGOVOLJAC,0,3.35,0,10,1.47,0,0,"50, 28, 90, 62, 64"
