Subtitle,Account Name,Contract Start Date,Membership Category,Membership Level,Website
Producer Organisation,Pakistan Rural Workers Social Welfare Organisation (PRWSWO),41913.0,2,0.0,www.prwswo.org
Suppliers and Manufacturers,"Hebei Spring Textiles  Co., Ltd",41913.0,7,2.0,
Suppliers and Manufacturers,"Shandong Ruyi Technology Group Co., Ltd",41974.0,4,2.0,
Suppliers and Manufacturers,Matesa Tekstil Sanayi ve Ticaret A.S.,41913.0,4,2.0,
Suppliers and Manufacturers,"Taicang Longxin Textile Co.,Ltd",42339.0,7,2.0,
Suppliers and Manufacturers,"Bengbu Huawan Textile Co., Ltd",41944.0,4,2.0,
Suppliers and Manufacturers,"Kashion Industry Co., Ltd",42522.0,9,2.0,
Suppliers and Manufacturers,Artistic Denim Mills Ltd.,41000.0,4,2.0,
Retailers and Brands,Esprit Europe Services GmbH,42401.0,3,0.0,www.esprit.com
Suppliers and Manufacturers,J.K Spinning Mills Ltd,42278.0,7,2.0,
Suppliers and Manufacturers,Al Karam Group,41306.0,4,2.0,
Suppliers and Manufacturers,Uspar Tekstil San. ve Tic. A.S.,41640.0,4,2.0,
Retailers and Brands,DECATHLON SA,40909.0,3,0.0,www.natimeo.com
Suppliers and Manufacturers,Skywin Spinning Pvt Ltd,42644.0,7,2.0,www.skywinspinning.com
Suppliers and Manufacturers,Mohan Spintex India Ltd,42705.0,4,2.0,www.mohanspintex.com
Retailers and Brands,Target Corporation,42767.0,3,0.0,corporate.target.com/press/corporate
Suppliers and Manufacturers,Nafeesa Textiles Ltd.,42036.0,7,2.0,
Suppliers and Manufacturers,Zibo Yinshilai Textile Co. Ltd.,41671.0,9,2.0,
Suppliers and Manufacturers,Haian Lianfa Cotton Spinning Co. Ltd. (Aksu Lianfa Textile Co. Ltd.),41640.0,7,2.0,
Suppliers and Manufacturers,"Changzhou JiuRong Import&Export Co.,Ltd",42491.0,10,2.0,
Suppliers and Manufacturers,S. A. Aanandan Spinning Mills Pvt. Ltd.,41000.0,7,2.0,
Suppliers and Manufacturers,"Tiong Liong Industrial Co., Ltd.",42430.0,6,2.0,
Civil Society,Udyansh Gramin Samaj Sewa Samiti (UGSSS),42491.0,1,0.0,www.udyansh.org.in
Suppliers and Manufacturers,Satia Synthetics Ltd,42522.0,7,2.0,
Suppliers and Manufacturers,Atesa Tekstil Insaat Tarim Gida San. Tic. A.S.,42125.0,7,2.0,
Suppliers and Manufacturers,Finteks Tekstil ve Hali San Ltd Sti,42430.0,9,3.0,
Suppliers and Manufacturers,"HuBei SenYu Textile Technological Co.,Ltd",42186.0,7,2.0,
Suppliers and Manufacturers,Israq Spinning Mills Ltd.,42125.0,7,2.0,
Suppliers and Manufacturers,Fiasul Industria de Fios LTDA,,7,2.0,www.fiasul.com.br
Suppliers and Manufacturers,Yancheng Risheng Textile Logistics Co.Ltd,42614.0,7,2.0,
Suppliers and Manufacturers,Polo Composite Knit Industry Ltd,42522.0,9,3.0,
Suppliers and Manufacturers,Alkas Spinning Mills Pvt Ltd,42736.0,7,2.0,
Suppliers and Manufacturers,Bhuvneswari Cotspin India Pvt Ltd,42736.0,4,2.0,
Suppliers and Manufacturers,Omax Cotspin,41091.0,7,2.0,
Suppliers and Manufacturers,Kaynak Iplik San Ve TIC A.S.,41883.0,4,2.0,
Suppliers and Manufacturers,"Jiangyin Qiangli Textile Co.,Ltd",42675.0,7,2.0,
Retailers and Brands,Beddinghouse BV,42430.0,3,0.0,www.beddinghouse.com
Suppliers and Manufacturers,Nishat Chunian Ltd.,40940.0,4,2.0,
Suppliers and Manufacturers,Manjeet Oil Products,42339.0,12,2.0,
Suppliers and Manufacturers,Ruchi Infrastructure Ltd.,42339.0,12,2.0,
Suppliers and Manufacturers,Aman Spinning Mills,41395.0,7,2.0,
Suppliers and Manufacturers,Riaz Textile Mills Pvt. Ltd,42248.0,7,2.0,
