original_title,production_companies
(500) Days of Summer," Watermark, Fox Searchlight Pictures,  Dune Entertainment III"
"10,000 BC"," Moonlighting Films,  Legendary Pictures,  The Department of Trade and Industry of South Africa, Centropolis Entertainment,  Warner Bros."
102 Dalmatians," Cruella Productions, Walt Disney Pictures"
12 Rounds," WWE Studios, The Mark Gordon Company,  Fox Atomic,  Midnight Sun Pictures,  20th Century Fox Home Entertainment"
12 Years a Slave," Regency Enterprises,  River Road Entertainment,  New Regency Pictures, Plan B Entertainment,  Film4"
127 Hours,"Fox Searchlight Pictures,  Dune Entertainment,  Warner Bros.,  Darlow Smithson Productions,  Cloud Eight Films"
13 Going On 30,"Columbia Pictures,  Revolution Studios,  Thirteen Productions"
1408,Dimension Films
15 Minutes," Tribeca Productions, New Line Cinema,  Industry Entertainment,  New Redemption Pictures"
16 Blocks," Nu Image Entertainment GmbH, Donners' Company,  Cheyenne Enterprises,  Alcon Entertainment,  Millennium Films"
17 Again,"New Line Cinema,  Offspring Entertainment"
2 Fast 2 Furious," Ardustry Entertainment,  Universal Pictures,  Original Film, Mikona Productions GmbH & Co. KG"
2 Guns," Marc Platt Productions,  Emmett/Furla Films, Universal Studios,  Envision Entertainment Corporation"
2012,"Columbia Pictures,  Farewell Productions,  The Mark Gordon Company,  Centropolis Entertainment"
21," Relativity Media, Columbia Pictures"
21 & Over," SkyLand Entertainment,  Mandeville Films, Relativity Media,  Virgin Produced"
21 Grams," Y Productions,  Mediana Productions Filmgesellschaft, This Is That Productions"
21 Jump Street,"Columbia Pictures,  Stephen J. Cannell Productions,  Relativity Media,  Original Film,  Metro-Goldwyn-Mayer (MGM)"
22 Jump Street," Cannell Studios,  Original Film, Columbia Pictures,  Media Rights Capital,  Metro-Goldwyn-Mayer (MGM)"
27 Dresses," Dune Entertainment III,  Fox 2000 Pictures, Spyglass Entertainment"
28 Days Later...," British Film Council, DNA Films"
28 Weeks Later,"DNA Films,  Figment Films,  Fox Atomic,  Sociedad General de Cine S.A.,  UK Film Council"
3 Idiots,Vidhu Vinod Chopra Productions
30 Days of Night," Dark Horse Entertainment, Columbia Pictures,  Ghost House Pictures,  HorrorFlix"
30 Minutes or Less,Columbia Pictures
300," Warner Bros.,  Hollywood Gang Productions,  Legendary Pictures, Virtual Studios,  Atmosphere Entertainment MM"
3000 Miles to Graceland,"Franchise Pictures,  Warner Bros.,  Morgan Creek Productions"
300: Rise of an Empire," Hollywood Gang Productions,  Atmosphere Entertainment MM,  Warner Bros.,  Nimar Studios, Legendary Pictures"
3:10 to Yuma," Yuma,  Lionsgate,  Relativity Media, Tree Line Films"
42,Warner Bros.
47 Ronin," H2F Entertainment, Mid Atlantic Films,  Stuber Productions,  Moving Picture Company (MPC),  Universal"
4: Rise of the Silver Surfer," Constantin Film Produktion, Ingenious Film Partners,  1492 Pictures,  Twentieth Century Fox Film Corporation,  Dune Entertainment"
50 First Dates," Happy Madison Productions, Columbia Pictures Corporation,  Flower Films (II),  Anonymous Content"
50/50,"Summit Entertainment,  Mandate Pictures"
8 Mile," Mikona Productions GmbH & Co. KG, Imagine Entertainment"
88 Minutes," Nu Image Entertainment, TriStar Pictures,  Brightlight Pictures"
9,"Focus Films,  Arc Productions,  Tim Burton Productions,  Relativity Media,  Starz Animation"
A Beautiful Mind,"Imagine Entertainment,  DreamWorks SKG,  Universal Pictures"
A Christmas Carol," ImageMovers, Walt Disney"
A Cinderella Story," Clifford Werber Productions,  Dylan Sellers Productions,  Warner Bros., Gaylord Films"
A Dangerous Method," Lago Film, Recorded Pictures Company,  Millbrook Pictures,  Prospero Pictures,  The Movie Network"
A Good Day to Die Hard," Big Screen Productions,  Twentieth Century Fox Film Corporation, Ingenious Media,  Mid Atlantic Films,  Dune Entertainment"
A Good Year," Scott Free Productions, Fox 2000 Pictures"
A Guy Thing,"Metro-Goldwyn-Mayer (MGM),  David Ladd Films"
A History of Violence,"New Line Cinema,  BenderSpink,  DC Comics"
A Knight's Tale," Finestkind,  Escape Artists, Columbia Pictures Corporation,  Black and Blu Entertainment"
A Lot Like Love,"Mile High Productions,  Kevin Messick Productions,  Touchstone Pictures,  Beacon Pictures"
A Man Apart,"New Line Cinema,  ""DIA"" Productions GmbH & Co. KG,  Newman/Tooley Films,  Joseph Nittolo Entertainment"
A Mighty Heart," Revolution Films, Plan B Entertainment,  Paramount Vantage"
A Mighty Wind,Castle Rock Entertainment
A Most Violent Year," FilmNation Entertainment,  Washington Square Films,  Before the Door Pictures,  Imagenation Abu Dhabi FZ, Participant Media"
A Nightmare on Elm Street," Platinum Dunes, New Line Cinema"
A Perfect Getaway,"Davis Entertainment,  Tooley Productions,  Relativity Media,  Rogue,  QED International"
A Scanner Darkly," Section Eight Productions,  Warner Independent Pictures (WIP), Thousand Words,  Detour Filmproduction"
A Serious Man," Working Title Films, Mike Zoss Productions,  Studio Canal,  Relativity Media,  Focus Features"
A Sound of Thunder," Baldwin Entertainment Group,  Dante Entertainment, Epsilon Motion Pictures,  Franchise Pictures,  Crusader Entertainment"
A Thousand Words,"Paramount Pictures,  Varsity Pictures,  DreamWorks SKG,  Saturn Films"
A Very Harold & Kumar Christmas,"New Line Cinema,  Mandate Pictures"
A Walk Among the Tombstones,"Double Feature Films,  Exclusive Media Group,  Cross Creek Pictures,  Jersey Films,  1984 Private Defense Contractors"
A Walk in the Woods," Route One Films, Wildwood Enterprises"
A Walk to Remember," Warner Bros., Pandora Pictures"
A.I. Artificial Intelligence," Stanley Kubrick Productions,  Amblin Entertainment, DreamWorks SKG,  Warner Bros."
AVP: Alien vs. Predator," Davis Entertainment,  Studio Babelsberg,  Twentieth Century Fox Film Corporation,  Stillking Films, Impact Pictures"
Abandon," Spyglass Entertainment,  Touchstone Pictures, Paramount Pictures"
Abduction," Vertigo Entertainment,  Gotham Group,  Mango Farms, Lions Gate Films,  Tailor Made"
About Last Night," Olive Bridge Entertainment, Screen Gems,  Rainforest Films,  Inc."
About Schmidt,"New Line Cinema,  Avery Pix"
About a Boy,Universal Pictures
Abraham Lincoln: Vampire Hunter," Location Gourmet,  Abraham Productions, Bazelevs Production,  Tim Burton Productions"
Accepted," Shady Acres Entertainment, Universal Pictures"
Act of Valor,"Relativity Media,  Bandito Brothers"
Action Replayy," Blockbuster Movie Entertainers, PVR Cinemas,  Hari Om Entertainment Co."
Adaptation.," Intermedia,  Propaganda Films,  Clinica Estetico, Columbia Pictures,  Beverly Detroit"
Admission,Focus Features
Adventureland," This Is That Productions,  Sidney Kimmel Entertainment, Miramax Films"
After Earth," Overbrook Entertainment,  Blinding Edge Pictures, Columbia Pictures"
Agent Cody Banks," Maverick Films,  Dylan Sellers Productions,  Metro-Goldwyn-Mayer (MGM), Splendid Pictures,  Madacy Entertainment"
Agent Cody Banks 2: Destination London," Madacy Entertainment,  Maverick Films,  Metro-Goldwyn-Mayer (MGM), Splendid Pictures,  Dylan Sellers Productions"
Agora," Nimar Studios,  Telecinco Cinema, HimenÃ³ptero,  Mod Producciones,  Canal+ EspaÃ±a"
Akeelah and the Bee," 2929 Productions,  Starbucks Entertainment,  Out of the Blue... Entertainment,  Cinema Gypsy Productions, Lions Gate Films"
Albert Nobbs,Chrysalis Films
Alex & Emma,"Epsilon Motion Pictures,  Reiner-Greisman,  Franchise Pictures,  Escape Artists"
Alex Cross,Summit Entertainment
Alexander," Egmond Film & Television,  Warner Bros., France 3 CinÃ©ma,  PathÃ© Renn Productions,  Intermedia Films"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day"," 21 Laps Entertainment,  The, Walt Disney Pictures,  Jim Henson Company"
Alfie," Patalex Productions, Paramount Pictures"
Ali,Columbia Pictures Corporation
Alice in Wonderland,"Walt Disney Pictures,  Zanuck Company,  Team Todd,  The,  Tim Burton Productions,  Roth Films"
Aliens in the Attic," Upstairs Canada Productions,  New Upstairs Productions, Twentieth Century Fox Film Corporation,  Josephson Entertainment,  Regency Enterprises"
All About Steve," Dune Entertainment III, Dune Entertainment,  Fortis Films,  Radar Pictures,  Fox 2000 Pictures"
All About the Benjamins,New Line Cinema
All Is Lost," Treehouse Pictures, Sudden Storm Productions,  Before the Door Pictures,  Washington Square Films,  FilmNation Entertainment"
All the King's Men,"Columbia Pictures Corporation,  Phoenix Pictures,  Rising Star,  VIP 4 Medienfonds,  Relativity Media"
Almost Famous," DreamWorks Pictures, Columbia Pictures,  Vinyl Films"
Aloha," RatPac Entertainment,  Vinyl Films,  Sony Pictures Entertainment (SPE),  Regency Enterprises, Columbia Pictures"
Alone in the Dark," Lionsgate,  Infogrames Entertainment, Boll Kino Beteiligungs GmbH & Co. KG,  Brightlight Pictures,  Herold Productions"
Along Came Polly,"Universal Pictures,  Jersey Films,  Loofah Productions"
Along Came a Spider," AZL Productions KG,  Phase 1 Productions, Paramount Pictures,  MFP Munich Film Partners,  David Brown Productions"
Alpha and Omega," Relativity Media, Lions Gate Family Entertainment,  Crest Animation Productions"
Alvin and the Chipmunks," Regency Enterprises, Dune Entertainment,  Fox 2000 Pictures,  Bagdasarian Productions"
Alvin and the Chipmunks: Chipwrecked,Fox 2000 Pictures
Alvin and the Chipmunks: The Squeakquel," Bagdasarian Productions,  Fox 2000 Pictures, Regency Enterprises"
American Dreamz," Depth of Field, Universal Pictures"
American Gangster," Film Rites,  Scott Free Productions,  Universal Pictures, Imagine Entertainment,  Relativity Media"
American Hustle,"Columbia Pictures,  Atlas Entertainment,  Annapurna Pictures"
American Outlaws,"Warner Bros. Pictures,  Morgan Creek Productions"
American Pie 2," Liveplanet,  Zide-Perry Productions, Universal Pictures"
American Psycho," Edward R. Pressman Film, Lions Gate Films,  Muse Productions"
American Reunion,Universal Pictures
American Sniper," Mad Chance Productions,  RatPac-Dune Entertainment,  Warner Bros., Village Roadshow Pictures,  Malpaso Productions"
American Wedding," Zide-Perry Productions, Universal Pictures,  LivePlanet,  Loumolo & Co."
An Education,BBC Films
An Unfinished Life,"Miramax Films,  Initial Entertainment Group (IEG),  Persistent Entertainment,  Revolution Studios,  The Ladd Company"
Anchorman 2: The Legend Continues," Gary Sanchez Productions, Paramount Pictures,  Apatow Productions"
Anchorman: The Legend of Ron Burgundy,Apatow Productions
Angel Eyes,"Warner Bros. Pictures,  Franchise Pictures,  Morgan Creek Productions"
Angels & Demons," Skylark Productions,  Imagine Entertainment,  Panorama Films, Columbia Pictures"
Anger Management," Happy Madison Productions, Columbia Pictures,  Revolution Studios"
Annabelle," The Safran Company,  RatPac-Dune Entertainment,  Evergreen Media Group, New Line Cinema"
Annapolis,Touchstone Pictures
Annie," Overbrook Entertainment,  Sony Pictures Entertainment (SPE), Columbia Pictures"
Ant-Man,Marvel Studios
AntiTrust,"Industry Entertainment,  Epsilon Motion Pictures,  Hyde Park Films,  Metro-Goldwyn-Mayer (MGM)"
Antwone Fisher,Fox Searchlight
Apocalypto,"Icon Productions,  Touchstone Pictures,  Icon Entertainment International"
Apollo 18," Bekmambetov Projects Ltd., Bazelevs Production,  Dimension Films"
Aquamarine,"Fox 2000 Pictures,  Storefront Pictures"
Arbitrage,"Lionsgate,  Treehouse Pictures,  Lucky Monkey Pictures,  Green Room Films,  Artina Films"
Are We There Yet?,"Columbia Pictures,  Revolution Studios,  Cube Vision"
Argo," Warner Bros., GK Films,  Smokehouse Pictures"
Armored,"Screen Gems,  Stars Road Entertainment,  Buckaroo Entertainment,  Farah Films & Management"
Around the World in 80 Days," Walden Media,  Babelsberg Film, Studio Babelsberg,  80 Days Productions,  Mostow/Lieberman Productions"
Arthur,Warner Bros.
"As Above, So Below",Legendary Pictures
Assault on Precinct 13," Biscayne Pictures,  Why Not Productions,  Liaison Films, Rogue Pictures"
Astro Boy,"The Weinstein Company,  Summit Entertainment,  Tezuka Production Company Ltd.,  Imagi Animation Studios"
Atlantis: The Lost Empire," Walt Disney Feature Animation, Walt Disney Pictures"
Atlas Shrugged Part I,Atlas Productions
Atonement," Working Title Films,  Relativity Media, Universal Pictures,  Studio Canal"
Attack the Block," Studio Canal, UK Film Council,  Film4"
August Rush,"Warner Bros.,  Southpaw Entertainment,  CJ Entertainment"
August: Osage County,"Jean Doumanian Productions,  Smokehouse Pictures"
Austin Powers in Goldmember," Gratitude International,  Team Todd,  Eric's Boy,  Moving Pictures, New Line Cinema"
Australia," Ingenious Film Partners,  Twentieth Century Fox Film Corporation,  ScreenWest,  Dune Entertainment III, Bazmark Films"
Auto Focus," Propaganda Films, Sony Pictures Classics,  Good Machine"
Avatar," Lightstorm Entertainment,  Dune Entertainment,  Twentieth Century Fox Film Corporation, Ingenious Film Partners"
Avengers: Age of Ultron,"Marvel Studios,  Prime Focus,  Revolution Sun Studios"
Awake,"The Weinstein Company,  GreeneStreet Films,  Open City Films"
Babel," Anonymous Content,  Central Films,  Media Rights Capital, Paramount Vantage"
Baby Boy,Columbia Pictures
Baby Mama," Michaels-Goldwyn, Relativity Media"
Babylon A.D.,"StudioCanal,  M6 Films,  Babylon,  Canal+,  CinÃ©CinÃ©ma"
Bad Boys II," Don Simpson/Jerry Bruckheimer Films, Columbia Pictures Corporation"
Bad Company," Stillking Films, Jerry Bruckheimer Films,  Touchstone Pictures"
Bad News Bears,Paramount Pictures
Bad Santa,"Columbia Pictures,  Dimension Films (US version)"
Bad Teacher," Mosaic Media Group, Columbia Pictures"
Baggage Claim,Sneak Preview Productions
Bandits," Epsilon Motion Pictures,  Metro-Goldwyn-Mayer (MGM),  Empire Pictures,  Hyde Park Entertainment, Cheyenne Enterprises"
Bandslam," Walden Media,  Goldsmith-Thomas Productions, Summit Entertainment"
Bangkok Dangerous,"Virtual Studios,  Blue Star Pictures,  Saturn Films,  Initial Entertainment Group,  International Production Company"
Banlieue 13," TF1 Films Production,  EuropaCorp, Canal Plus"
Barbershop,Metro-Goldwyn-Mayer (MGM)
Barbershop 2:  Back in Business,Metro-Goldwyn-Mayer (MGM)
Barney's Version,Serendipity Point Films
Barnyard," Nickelodeon Movies, Paramount Pictures,  Paramount Animation"
Basic," Krane Entertainment, Intermedia Films"
Basic Instinct 2," C-2 Pictures,  IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,  Kanzaman, Intermedia Films"
Batman Begins," Syncopy,  DC Entertainment,  Warner Bros., DC Comics,  Legendary Pictures"
Battle of the Year,Screen Gems
Battle: Los Angeles,"Columbia Pictures,  Original Film,  Relativity Media"
Battleship," Film 44, Universal Pictures,  Bluegrass Films,  Hasbro"
Be Cool,"Double Feature Films,  Nina Saxon Film Design,  Metro-Goldwyn-Mayer (MGM),  Jersey Films"
Beastly," Mel's Cite du Cinema,  Storefront Films, CBS Films"
Beauty Shop,Metro-Goldwyn-Mayer (MGM)
Because of Winn-Dixie,Twentieth Century Fox Film Corporation
Becoming Jane," 2 Entertain,  Bueprint Pictures, Ecosse Films"
Bedazzled," Regency Enterprises,  KirchMedia, Twentieth Century Fox Film Corporation"
Bedtime Stories," Happy Madison Productions,  Gunn Films, Walt Disney Pictures"
Bee Movie," DreamWorks Animation,  Columbus 81 Productions, Pacific Data Images (PDI)"
Before the Devil Knows You're Dead,"Capitol Films,  Michael Cerenzie Productions,  Linsefilm,  Funky Buddha Productions,  Unity Productions"
Begin Again," Sycamore Pictures,  Exclusive Media Group,  Apatow Productions, Likely Story"
Behind Enemy Lines,"Twentieth Century Fox Film Corporation,  Davis Entertainment"
Behind the Candelabra,HBO Films
Belle,"Isle of Man Film,  British Film Institute (BFI),  DJ Films,  Metrol Technology,  Pinewood Studios"
Beowulf,"Paramount Pictures,  Shangri-La Entertainment,  Paramount Animation,  ImageMovers"
Beverly Hills Chihuahua,Walt Disney Pictures
Bewitched," Bewitched,  Red Wagon Entertainment, Columbia Pictures Corporation"
Big Eyes,"The Weinstein Company,  Tim Burton Productions,  Silverwood Films,  Electric City Entertainment"
Big Fat Liar,Universal Pictures
Big Fish," Columbia Pictures Corporation,  Jinks/Cohen Company, The Zanuck Company,  Tim Burton Productions"
Big Hero 6," Walt Disney Animation Studios, Walt Disney Pictures"
Big Miracle,"Universal Pictures,  Working Title Films,  Anonymous Content"
Big Momma's House,"Twentieth Century Fox Film Corporation,  Regency Enterprises"
Big Momma's House 2," Epsilon Motion Pictures,  Regency Enterprises,  Deep River Productions,  Firm Films, Twentieth Century Fox Film Corporation"
"Big Mommas: Like Father, Like Son"," Regency Enterprises,  Runteldat Entertainment,  New Regency Pictures, Twentieth Century Fox Film Corporation,  The Collective Studios"
Big Trouble,Touchstone Pictures
Billy Elliot,"BBC Films,  Tiger Aspect Productions,  Working Title Films,  Arts Council of England,  StudioCanal"
Birdman," M Productions, Worldview Entertainment,  New Regency Pictures,  Le Grisbi Productions,  TSG Entertainment"
Black Christmas,Dimension Films
Black Hawk Down,"Jerry Bruckheimer Films,  Scott Free Productions,  Revolution Studios"
Black Mass,"Infinitum Nihil,  RatPac-Dune Entertainment,  Head Gear Films,  Cross Creek Pictures,  Free State Pictures"
Black Nativity,"Fox Searchlight Pictures,  Fox Searchlight"
Black Snake Moan,Paramount Classics
Black Swan," Cross Creek Pictures,  Dune Entertainment, Fox Searchlight Pictures,  Protozoa Pictures"
Black or White,Treehouse Pictures
Blackhat," Forward Pass, Universal Pictures,  Legendary Pictures"
Blade II," LLC,  Imaginary Forces,  Amen Ra Films, New Line Cinema,  Milk & Honey,  Marvel Entertainment"
Blade: Trinity," Marvel Enterprises, New Line Cinema,  Shawn Danielle Productions Ltd.,  Imaginary Forces,  Amen Ra Films"
Blended," Gulfstream Pictures, Happy Madison Productions,  Karz Entertainment,  Warner Bros."
Blood Diamond," Virtual Studios, Bedford Falls Productions,  Lonely Film Productions GmbH & Co. KG.,  Warner Bros.,  Spring Creek Productions"
Blood Ties," Mars Distribution,  Canal+, Wild Bunch,  Les Productions du TrÃ©sor,  LGM Productions"
Blood Work,"Malpaso Productions,  Warner Bros. Pictures"
BloodRayne,Boll KG
Blow,New Line Cinema
Blue Crush," Shutt/Jones Productions, Imagine Entertainment,  Mikona Productions GmbH & Co. KG,  Universal Pictures"
Blue Jasmine,Perdido Productions
Boat Trip,"Motion Picture Corporation of America,  Artisan Entertainment"
Body of Lies," De Line Pictures, Scott Free Productions,  Warner Bros."
Boiler Room,New Line Cinema
Bolt," Walt Disney Animation Studios, Walt Disney Pictures"
Bones,New Line Cinema
Boogeyman," Senator International,  Pacific Renaissance Pictures Ltd., Ghost House Pictures,  Screen Gems"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Twentieth Century Fox Film Corporation,  Four By Two Productions"
Boys and Girls,Dimension Films
Brave,"Walt Disney Pictures,  Pixar Animation Studios"
Brick Mansions,"Canal+,  CinÃ©+,  EuropaCorp,  D8"
Bride Wars,"Dune Entertainment,  Fox 2000 Pictures,  New Regency Pictures,  Regency Enterprises,  Dune Entertainment III"
Brideshead Revisited," 2 Entertain,  HanWay Films, BBC Films,  Ecosse Films,  UK Film Council"
Bridesmaids," Relativity Media,  Apatow Productions, Universal Pictures"
Bridge of Spies," Studio Babelsberg,  Marc Platt Productions,  Fox 2000 Pictures,  Amblin Entertainment, DreamWorks SKG"
Bridge to Terabithia," Lauren Levine Productions Inc., Walden Media,  Hal Lieberman Company"
Bridget Jones's Diary," Working Title Films,  Studio Canal,  Little Bird, Miramax Films,  Universal Pictures"
Bridget Jones: The Edge of Reason," Atlantic Television,  Universal Pictures,  Studio Canal, Miramax Films,  Working Title Films"
Bright Star," UK Film Council,  Australian Film Finance Corporation (AFFC), BBC Films,  PathÃ© Renn Productions,  Screen Australia"
Bring It On,Beacon Communications
Bringing Down The House," Touchstone Pictures, Hyde Park Films"
Brokeback Mountain," Good Machine,  Focus Features,  Alberta Film Entertainment, River Road Entertainment"
Broken City," 1984 Private Defense Contractors, Regency Enterprises,  Closest to the Hole Productions,  Inferno International,  New Regency Pictures"
Broken Flowers," Focus Features, Bac Films,  Five Roses"
