ALL,EMAIL,OCCUPATION
7982,2268,"Musician, Music, Dance"
8009,2334,Photography
8059,2195,"Plant Manager, Manager"
8211,2056,Interior Designer
8591,2262,Researcher
8633,2312,Baker
8920,2459,Editor
9084,2625,"Engineer, Electronic, Electrical"
9418,2313,Geologist
9510,2866,Chemist
9686,2683,Auto Mechanic
10357,2526,Optometrist
11059,3313,Legal Secretary
11134,2797,"Archivist, Librarian"
13462,3713,Bartender
14630,4151,"Detective, Investigator"
15261,4303,Press Operator
15769,4810,Auditor
15845,3931,"Gardener, Landscaper"
17335,4940,"Legal, Paralegal, Assistant"
17946,4956,Designer
18373,5112,Medical Secretary
18926,5590,Medical Technician
19140,5936,Banker
19469,5429,Optician
20277,5909,"Medical, Paramedic"
20412,5729,Scientist
21043,6142,"Driver, Bus Driver"
22811,5607,Surveyor
23787,6568,"Custom, Export, Shipping, Import"
24768,6184,Professor
25097,7141,"Technician, X-ray"
25571,8043,Computer Programmer
26537,7934,Firefighter
30459,8111,Medical Assistant
31859,8686,"Trooper, Police"
32839,7454,"Maid, Housekeeper"
34120,8306,Dietician
39659,9589,Chiropractor
41444,10211,Welder
42126,12519,"Manager, Sales Manager"
43859,12065,"Teller, Bank Teller"
44258,13282,"Lab, Technician"
47372,10301,Veterinarian
56651,15235,Machinist
58078,16021,Pastor
58578,16169,Bookkeeper
67465,17832,Dental Assistant
68536,18165,Counselor
68945,19134,Therapist
70247,19606,Nurse
75359,22157,Cashier
88626,25336,Appraiser
90047,22641,"Driver, Truck Driver"
98805,25647,Architect
107519,26110,Plumber
109197,27502,Dental Hygienist
111699,30208,Psychologist
115610,34553,Technician
150399,49473,Army Credit Union Trades
168562,43142,Dentist
187077,54752,Navy Credit Union Trades
189399,50056,Electrician
193890,58247,Security
240457,65002,Mechanic
269477,65344,Pilot
271048,69684,"Social Worker, Case Worker"
278878,70644,"Physical, Therapists"
297600,74119,Construction
323188,89315,"Pharmacy, Pharmacist"
358047,99511,Teacher
362136,91464,"Lawyer, Legal, Attorney"
442504,132211,"Orderly, Nurses Aide"
492778,145568,"Nurse, LPN"
518782,135264,Engineer
602945,206784,"Manager, Marketing Manager"
627895,155423,"Medical Doctor, Physician"
631103,112994,"Farmer, Dairyman"
933489,308384,Clerk
1069332,276644,Cosmetologist
1119009,325327,"Insurance, Agent"
1448054,407162,"Real Estate, Realtor"
1461924,536957,"Trader, Broker, Stock"
2409498,716736,Laborer
3139173,997629,Nurse (Registered)
