Item #,Description,On Hand,Reg.,Special,Disc. %
Centrefire Rifles,,,,,
SAV22420,SAVAGE AXIS XP 243 WIN,1.0,500.0,425.0,15.0
34006118,BROWNING BLR 308 WIN,1.0,1195.0,1015.75,15.00000095
Restricted Firearms,,,,,
Centrefire Rifles,,,,,
JRS1Q20,SAKO 85 FINNLIGHT 30-06,1.0,2300.0,1950.0,15.22000027
SAVAXIS06,SAVAGE AXIS SS 30-06,2.0,500.0,375.0,25.0
TS3202900,TIKKA T3 SYN 30-06,1.0,840.0,675.0,19.63999939
Restricted Firearms,,,,,
Centrefire Rifles,,,,,
Restricted Firearms,,,,,
Rimfire Rifles,,,,,
Shotguns,,,,,
Centrefire Rifles,,,,,
SAV22224,SAVAGE AXIS-II XP 7MM-08 REM,1.0,600.0,500.0,16.67000008
R27107,REM 700 CDL LH 30-06,1.0,1150.0,695.0,39.56999969
Rimfire Rifles,,,,,
21001102,BROWNING AUTO 22 GRADE 1 22LR,1.0,830.0,725.0,12.64999962
Shotguns,,,,,
12271204,"BROWNING BPS 12GA 3.5"" MAG MOSG",1.0,1095.0,930.75,15.00000095
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
Shotguns,,,,,
Centrefire Rifles,,,,,
35202231,BROWNING X-BLT SS 338 WIN MAG,2.0,1375.0,1168.75,15.00000095
R84078,REM 700 CDL DM 7mm REM MAG,1.0,1150.0,695.0,39.56999969
Shotguns,,,,,
Restricted Firearms,,,,,
Shotguns,,,,,
Rimfire Rifles,,,,,
Restricted Firearms,,,,,
Centrefire Rifles,,,,,
35330226,BROWNING X-BLT MED MAPLE 30-06 SPRG,1.0,1265.0,1075.25,15.00000095
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
R27269,REM 700 SPS SS 30-06 SPRG,2.0,960.0,785.0,18.22999954
SAV22228,SAVAGE AXIS-II XP 30-06 SPFD,1.0,600.0,500.0,16.67000008
R27273,REM 700 SPS SS 300 WIN,1.0,960.0,785.0,18.22999954
NOS32948,NOSLER 48 LIBERTY 26 NOSLER,1.0,2295.0,1900.0,17.20999908
Rimfire Rifles,,,,,
Shotguns,,,,,
MOS50460,MOSSBERG 500 CHAINSAW 12GA,1.0,675.0,525.0,22.21999931
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
Restricted Firearms,,,,,
Shotguns,,,,,
Centrefire Rifles,,,,,
TTT71RL103,TIKKA T3 SS FLUTED 300 WSM,1.0,1050.0,845.0,19.52000046
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
Rimfire Rifles,,,,,
SAV96705,SAVAGE 93R17 BVSS 17 HMR,1.0,599.0,479.2,20.0
Centrefire Rifles,,,,,
JRS1B34,SAKO 85 SS/SYN 338 WIN MAG,1.0,2300.0,1950.0,15.22000027
Rimfire Rifles,,,,,
Restricted Firearms,,,,,
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
Restricted Firearms,,,,,
Shotguns,,,,,
Restricted Firearms,,,,,
Shotguns,,,,,
FR40841,"FRANCHI AFFINITY CMPT 12 GA 26""",1.0,1350.0,1147.5,15.00000095
Centrefire Rifles,,,,,
Restricted Firearms,,,,,
Centrefire Rifles,,,,,
Shotguns,,,,,
ST20000,"BENELLI NOVA 3.5"" 12 GA 28""",1.0,660.0,528.0,20.0
FRA0426200,"FRANCHI INTENSITY 12 GA 3.5"" 28""",1.0,1495.0,1270.75,15.00000095
Restricted Firearms,,,,,
51802490,BROWNING 1911-22 A1 22LR,1.0,725.0,525.0,27.59000015
Centrefire Rifles,,,,,
Rimfire Rifles,,,,,
Centrefire Rifles,,,,,
Rimfire Rifles,,,,,
Restricted Firearms,,,,,
Rimfire Rifles,,,,,
