"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
ART ,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
44716.0,,5,12,3,6,12,15,5,8,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ART ,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ART ,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44944.0,1,BIO 113-A0E1,25,1,7,20,28,21,27,2.0,43696.0,43814.0
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
44445.0,,ELT 265-A001,57,3,0,15,2,49,42,2.0,43696.0,43814.0
WELDING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
