A,B
Date1,Territory1
Date10,"Territory53, Territory51, Territory54, Territory55, Territory52, Territory56"
Date11,"Territory63, Territory64, Territory62, Territory58, Territory57, Territory59"
Date12,"Territory69, Territory65, Territory67, Territory68"
Date13,"Territory72, Territory73, Territory71"
Date14,"Territory78, Territory75, Territory77"
Date15,"Territory83, Territory86, Territory82, Territory84, Territory81"
Date16,"Territory94, Territory90, Territory93, Territory88, Territory87"
Date17,"Territory96, Territory95"
Date18,"Territory103, Territory101, Territory106, Territory104, Territory105, Territory100"
Date19,"Territory108, Territory109"
Date2,"Territory9, Territory10, Territory6, Territory5, Territory4, Territory7, Territory3"
Date20,Territory110
Date3,"Territory11, Territory12"
Date4,"Territory15, Territory17, Territory14, Territory16"
Date6,"Territory26, Territory24, Territory25, Territory21"
Date7,"Territory34, Territory36, Territory35, Territory31, Territory29, Territory30, Territory33"
Date8,"Territory38, Territory39, Territory37, Territory40"
Date9,"Territory47, Territory49, Territory50, Territory48, Territory46, Territory45, Territory44"
