Item ,Qty,Unit Price,Total Price
Welcome Stadium,,,
Thurgood Marshall,,,
River's Edge,,,
Transportation,,,
Jackson Center,,,
Ludlow I NOC,,,
Longfellow Academy,,,
Edwin Joel Brown,,,
Ludlow I NOC,,,
Service Building,,,
Thurgood Marshall,,,
Belle Haven,,,
Gardendale,,,
Stivers School for the Arts,,,
Westwood,,,
Stivers School for the Arts,,,
Cleveland,,,
Thurgood Marshall,,,
Louise Troy PK-8,,,
2,2.0,,
Longfellow Academy,,,
Kemp PK-8,,,
Ludlow I,,,
Longfellow Academy,,,
Stivers School for the Arts,,,
Ludlow I NOC,,,
Dunbar High School,,,
Horace Mann PK-8,,,
Louise Troy PK-8,,,
Dayton Boys Prep Academy,,,
Kemp PK-8,,,
Edison PK-8,,,
Ludlow I NOC,,,
Edwin Joel Brown,,,
Edison PK-8,,,
Kemp PK-8,,,
Gardendale,,,
Westwood,,,
4,10.0,,0.0
Eastmont PK-8,,,
Louise Troy PK-8,,,
Jackson Center,,,
Edwin Joel Brown,,,
World of Wonder,,,
Jackson Center,,,
Gardendale,,,
Westwood,,,
Thurgood Marshall,,,
Belle Haven,,,
Dunbar High School,,,
Meadowdale HS,,,
David H. Ponitz CTC,,,
Ruskin PK-8,,,
Ludlow I NOC,,,
Gardendale,,,
Rosa Parks PK,,,
Ludlow I,,,
Valerie,,,
Transportation,,,
Charity Adams,,,
Wogaman,,,
Dunbar High School,,,
Rosa Parks PK,,,
Cleveland,,,
Wogaman,,,
Ruskin PK-8,,,
Longfellow Academy,,,
Valerie,,,
1,1.0,,
Cleveland,,,
Valerie,,,
Edwin Joel Brown,,,
Service Building,,,
1,1.0,,
David H. Ponitz CTC,,,
Service Building,,,
Ludlow I,,,
Cleveland,,,
River's Edge,,,
Westwood,,,
Edwin Joel Brown,,,
Rosa Parks PK,,,
0,1.0,,
Wright Brothers,,,
Horace Mann PK-8,,,
Ruskin PK-8,,,
4,12.0,,0.0
Louise Troy PK-8,,,
Kiser,,,
David H. Ponitz CTC,,,
4,8.0,,0.0
Eastmont PK-8,,,
Dunbar High School,,,
Kiser,,,
Wogaman,,,
Horace Mann PK-8,,,
Service Building,,,
River's Edge,,,
Jackson Center,,,
Ludlow I,,,
Service Building,,,
Wogaman,,,
Wright Brothers,,,
Westwood,,,
,,,
Horace Mann PK-8,,,
Welcome Stadium,,,
Cleveland,,,
Edwin Joel Brown,,,
Jackson Center,,,
Wogaman,,,
Rosa Parks PK,,,
Meadowdale HS,,,
Edwin Joel Brown,,,
Kiser,,,
Dunbar High School,,,
Meadowdale PK-8,,,
Dayton Boys Prep Academy,,,
World of Wonder,,,
Edison PK-8,,,
Valerie,,,
Belle Haven,,,
Welcome Stadium,,,
Horace Mann PK-8,,,
Meadowdale PK-8,,,
Welcome Stadium,,,
Jackson Center,,,
Charity Adams,,,
Fairview ,,,
Gardendale,,,
Service Building,,,
Stivers School for the Arts,,,
Kemp PK-8,,,
Thurgood Marshall,,,
Wogaman,,,
Fairview ,,,
Meadowdale PK-8,,,
Ludlow I,,,
Dunbar High School,,,
Cleveland,,,
Edison PK-8,,,
Jackson Center,,,
Horace Mann PK-8,,,
Longfellow Academy,,,
Thurgood Marshall,,,
Stivers School for the Arts,,,
Eastmont PK-8,,,
