OCCUPATION,ALL,PHONE,EMAIL
Driver,90047,58143,22641
Computer Programmer,25571,18518,8043
Professor,24768,19548,6184
Custom,23787,14861,6568
Medical Assistant,30459,18751,8111
Appraiser,88626,61034,25336
Marketing Manager,602945,419233,206784
Dietician,34120,24042,8306
Music,7982,5542,2268
Physical,278878,187396,70644
Technician,25097,16565,7141
Nurse (Registered),3139173,2032183,997629
Chemist,9510,7209,2866
Lawyer,362136,266498,91464
Dental Assistant,67465,40366,17832
Attorney,362136,266498,91464
Optometrist,10357,7257,2526
Press Operator,15261,10327,4303
Auditor,15769,11233,4810
Manager,8059,5916,2195
Editor,8920,6392,2459
Technician,44258,30328,13282
Pharmacy,323188,221279,89315
Plant Manager,8059,5916,2195
X-ray,25097,16565,7141
Dance,7982,5542,2268
Lab,44258,30328,13282
Housekeeper,32839,19800,7454
Paramedic,20277,13228,5909
Auto Mechanic,9686,6471,2683
Farmer,631103,502191,112994
Librarian,11134,8352,2797
Legal,362136,266498,91464
Banker,19140,12301,5936
Engineer,518782,381961,135264
Mechanic,240457,157024,65002
Export,23787,14861,6568
Baker,8633,5419,2312
Researcher,8591,5924,2262
Assistant,17335,11441,4940
Army Credit Union Trades,150399,95307,49473
Trader,1461924,885050,536957
Electrician,189399,130533,50056
Engineer,9084,6430,2625
Archivist,11134,8352,2797
Physician,627895,423018,155423
Teacher,358047,270323,99511
Import,23787,14861,6568
Legal,17335,11441,4940
Bartender,13462,7804,3713
Real Estate,1448054,921666,407162
Legal Secretary,11059,7836,3313
Truck Driver,90047,58143,22641
Stock,1461924,885050,536957
Nurse,70247,40371,19606
Interior Designer,8211,6082,2056
Veterinarian,47372,30070,10301
Paralegal,17335,11441,4940
Teller,43859,29058,12065
Cosmetologist,1069332,635772,276644
Electronic,9084,6430,2625
Agent,1119009,729472,325327
Manager,602945,419233,206784
Social Worker,271048,179330,69684
Manager,42126,30048,12519
Nurses Aide,442504,233724,132211
Dentist,168562,116581,43142
Medical Technician,18926,13286,5590
Musician,7982,5542,2268
Surveyor,22811,16295,5607
Realtor,1448054,921666,407162
Electrical,9084,6430,2625
Police,31859,20925,8686
Gardener,15845,10532,3931
Broker,1461924,885050,536957
Designer,17946,12555,4956
Insurance,1119009,729472,325327
Pastor,58078,44084,16021
Sales Manager,42126,30048,12519
Navy Credit Union Trades,187077,136257,54752
Clerk,933489,655004,308384
Medical Secretary,18373,10954,5112
Construction,297600,196855,74119
Technician,115610,77503,34553
Orderly,442504,233724,132211
Laborer,2409498,1423065,716736
Cashier,75359,44031,22157
Dental Hygienist,109197,75587,27502
Bus Driver,21043,13480,6142
Welder,41444,26616,10211
Scientist,20412,14738,5729
Machinist,56651,38777,15235
Therapist,68945,46799,19134
Landscaper,15845,10532,3931
Medical,20277,13228,5909
Geologist,9418,7050,2313
Bookkeeper,58578,40627,16169
Firefighter,26537,19398,7934
Bank Teller,43859,29058,12065
Pilot,269477,175711,65344
Investigator,14630,9320,4151
Shipping,23787,14861,6568
LPN,492778,310678,145568
Detective,14630,9320,4151
Photography,8009,5345,2334
Driver,21043,13480,6142
Maid,32839,19800,7454
Nurse,492778,310678,145568
Chiropractor,39659,24155,9589
Architect,98805,70981,25647
Plumber,107519,70946,26110
Security,193890,95904,58247
Dairyman,631103,502191,112994
Optician,19469,13285,5429
Case Worker,271048,179330,69684
Medical Doctor,627895,423018,155423
Therapists,278878,187396,70644
Trooper,31859,20925,8686
Counselor,68536,44331,18165
Psychologist,111699,70445,30208
Pharmacist,323188,221279,89315
