Lamp Type,ENERGY,CLER,PLC,TFI,SAPN
LED-P,,,,,
LED-V,,,,,
LED-P,,,,,
LED-V,,,,,
LED150_R,3.0621988578067763,17.500784566101586,59.18276997108438,90.93420171128471,123.76501936077094
LED198,3.0621988578067763,21.466698309726976,62.91820723549561,119.35117600779392,185.5186435872461
LED175,3.0621988578067763,18.490508172917835,60.1149764388401,96.27758145643415,136.38211220212827
LED-P,,,,,
LED46,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED29,3.0621988578067763,16.30048146847337,58.0522217016785,75.86568778031516,94.73186044625963
LED-V,,,,,
LED90,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED80,3.0621988578067763,17.507803882461985,59.18938136447272,88.65894174607953,120.15818922234101
LED178,3.0621988578067763,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED158,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED-P,,,,,
LED39,3.0621988578067763,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,,,,,
LED-P,,,,,
LED-V,,,,,
LED-P,,,,,
LED17,3.0621988578067763,16.167114457625786,57.92660522730008,74.83172953390991,92.53225682048256
LED17_R,3.0621988578067763,16.195191723067385,57.95305080085343,77.37908377448487,96.71736735225277
PT LED34,3.0621988578067763,21.31929266615861,62.779367974340495,114.77516915819777,177.58631652521674
LED-V,,,,,
LED79,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED117,3.0621988578067763,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED150,3.0621988578067763,17.507803882461985,59.18938136447272,88.65894174607953,120.15818922234101
LED-P,,,,,
,,,,,
PT LED17,3.0621988578067763,21.31929266615861,62.779367974340495,114.77516915819777,177.58631652521674
