Account Name,Contract Start Date,Membership Category,Membership Level,Website
Suppliers and Manufacturers,,,,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Gimatex Industries Pvt. Ltd.,42036.0,7,2.0,
Faisal Fabrics Ltd.,42248.0,6,3.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Kardem Tekstil San. ve Tic. AS,41791.0,9,2.0,
RKS Cotton Pvt Ltd,42644.0,12,2.0,
Chin Hung Fibres Ltd,42430.0,7,2.0,
Ruchi Infrastructure Ltd.,42339.0,12,2.0,
Gillanders Arbuthnot & Co. Ltd,42248.0,7,2.0,
Mafatlal Industries Ltd,40756.0,7,2.0,
"Sichuan Tian Yi Textiles Co.,Ltd",42156.0,7,2.0,
"Fujian Changle Changyuan Textile Co.,Ltd",42522.0,7,2.0,
Techno Spinning Mills Ltd.,42036.0,7,2.0,
S. A. Aanandan Spinning Mills Pvt. Ltd.,41000.0,7,2.0,
Ilsan Tekstil San. Ve Tic A.S.,41640.0,4,2.0,
Vardhman Textiles,40787.0,4,2.0,
C.A. Textile Mills (Pvt) Ltd,41944.0,7,2.0,
"Alroubaia Textile Co. ""FOURTEX""",42736.0,7,2.0,www.sharabati-denim.com
Qilu Hongye Textile Group Co. Ltd.,41579.0,4,2.0,
"Atlantic Mills (Thailand) Co., Ltd and AMC Spinning Co., Ltd",42217.0,4,2.0,
Espintex S.A. de C.V.,42339.0,7,2.0,
Ramatex Pvt. Ltd.,41091.0,4,2.0,
"Jiangyin Kangni Textiles Co.,Ltd.",42491.0,7,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Zibo Luqun Textile Co. Ltd.,41760.0,7,2.0,
"Fugou Chang Mao Textile Co., Ltd.",42370.0,4,2.0,
Santuk Tekstil San ve Tic A.S,42339.0,9,3.0,
Shanghai Lianfeng Textile & Garment Co. Ltd.,42064.0,4,2.0,
Besler Tekstil San. Tic. A.S,42370.0,7,2.0,
Prabhu Spinning Mills Pvt. Ltd. - OE Division,41699.0,7,2.0,
"Shangqiu Huifeng Cotton Industry Co., Ltd.",42736.0,7,2.0,www.hfmianye.com
Abishek Industries Ltd./ Trident,40544.0,4,2.0,
Textiles Camones S. A.,42736.0,5,3.0,www.textilescamones.com
Nan Yang Haiyong Textile Enterprises Limited,42614.0,7,2.0,
KAM International,41699.0,9,2.0,
Blue Line Project S.R.L.,41334.0,9,3.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Hussain Textile Corporation,42309.0,10,3.0,
Thermax Group,41821.0,4,2.0,
Berto Industria Tessile SRL,41091.0,6,3.0,
Tamishna Synthetics Ltd,42522.0,7,2.0,
Top Star Textiles,40756.0,6,2.0,
Idupulapadu Cotton Mills Pvt. Ltd.,41640.0,7,2.0,
Menderes,41000.0,7,2.0,
HuNan LouXing Textile Ltd.,42522.0,7,2.0,
S T Cottex Exports Pvt Ltd,42278.0,7,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Liberty Knitwear Ltd,42522.0,9,3.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
GTN Industries/GTN Engineering (India) Ltd.,40940.0,4,2.0,
Foshan Deyingjia Textile Company CT,41487.0,6,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Dong Guan Texwinca Textile& Garment  Ltd,42552.0,4,2.0,
Maibom Textilvertriebs GmbH,42552.0,6,3.0,
Theni Guru Krishna Textile Mills Pvt Ltd,42705.0,4,2.0,www.atktextiles.com
Civil Society,,,,
Suppliers and Manufacturers,,,,
"Jess Smith & Sons Cotton, LLC",42156.0,12,2.0,
"Shaoxing Dafa Cloth Trade Co., Ltd",41913.0,6,3.0,
Ginni Filaments Ltd.,41671.0,7,2.0,
"Dezhou Yuanji Textile Co., Ltd",42064.0,6,2.0,
Mega Yarn Dyeing Mills Ltd,42614.0,6,3.0,www.megayarn.com
Aman Cotton Fibrous Limited,42095.0,7,2.0,
Civil Society,,,,
Retailers and Brands,,,,
Waitrose Ltd.,41913.0,3,0.0,www.waitrose.com
Suppliers and Manufacturers,,,,
Bezsan Tekstil San. Ve Tic. A.S,42795.0,4,2.0,www.bezsan.com
"Nangtong Doublegreat Textile Co.,Ltd",42705.0,4,2.0,www.ntshtex.com
"Nantong Huaqiang Cloth Co.,Ltd",41913.0,4,2.0,
PT Kurabo Manunggal Textile Industries (Kumatex),41883.0,4,2.0,www.kumatex.com
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Huafu Top Dyed Melange Yarn Co. Ltd.,40664.0,7,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
US Denim Mills Pvt. Ltd.,40725.0,6,2.0,
"Yarns&Colors Co.,Ltd",42644.0,7,2.0,www.yarnscolors.com
Alok Industries Ltd.,40878.0,4,2.0,
Pak Kuwait Textiles Limited,42614.0,7,2.0,
Sigma Spinning NV,42217.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Sandhya Spinning Mill Ltd,42461.0,7,2.0,
"Anhui Hanlian Textile co.,Ltd",42491.0,7,2.0,
WestPoint Home LLC,42552.0,4,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Marfani Denim Mills,41852.0,4,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
"Textil Santanderina, S.A.",41974.0,4,2.0,
Jytx Textile Co. Ltd.,41730.0,4,2.0,
PT. Embee Plumbon Tekstil,42675.0,7,2.0,www.embeetex.com
Anadolu Iplik ve Tekstil FabrikalarÂ› Sanayi Anonim Sirketi,42430.0,7,2.0,
Thien Nam Investment and Development Joint Stock Company,42583.0,7,2.0,
PT Bitratex Industries,42491.0,7,2.0,
Nafeesa Textiles Ltd.,42036.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Bimeco Garnhandel,40575.0,10,3.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Dhancot Fibres Pvt. Ltd.,42522.0,12,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Roytex S.A.,42705.0,4,2.0,www.liztex.com
Civil Society,,,,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
UTAH Spinning Mills Limited,41913.0,7,2.0,
Suam Overseas Pvt Ltd,42491.0,7,2.0,
Viswateja Spinning Mills Pvt Ltd,42552.0,7,2.0,
Associate Members,,,,
Suppliers and Manufacturers,,,,
RMP Fab Sourcing Pvt Ltd,42309.0,6,3.0,
Nantong Tangsheng Textile Co. LTD,42614.0,4,2.0,
"Ningbo Huadong Xufeng Textile Co.,Ltd",42064.0,7,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
PT Kahatex,41640.0,4,2.0,
Jiangsu Yulun Textile Group Ltd.,41579.0,4,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Nishat Chunian Ltd.,40940.0,4,2.0,
Tamijuddin Textile Mills Ltd,42491.0,7,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Associate Members,,,,
Suppliers and Manufacturers,,,,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
"Zhengzhou Chenglin Textile Co.,Ltd",42370.0,4,2.0,
Sri Jayajothi & Co Ltd,42491.0,7,2.0,
Rameswar Udyog Pvt Ltd,42491.0,4,2.0,
Nisshinbo Textile Group,42614.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Rajasthan Textile Mills,42491.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Eastman Exports Global Clothing,40878.0,4,2.0,
"Shaanxi Qinyuan Textile Co.,Ltd",42614.0,4,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
"Loeb & Company, Inc.",42614.0,12,2.0,
Saiham Cotton Mills Ltd.,41821.0,7,2.0,
Societe de Developpement et des Fibres Textiles (SODEFITEX),41730.0,11,2.0,
Aggressive Textrade Pvt Ltd,42705.0,12,2.0,www.atplcotton.com
Eurotessile Spa,41974.0,4,2.0,
Outpace Spinning Mills,41456.0,7,2.0,
"Ningbo Yu Tai  Thread Industrial Co.,Ltd",42491.0,7,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Loyal Textile Mills Ltd.,41579.0,4,2.0,
N M Exports,42125.0,9,3.0,
Soktas Tekstil Sanayi ve Ticaret A.S.,42186.0,4,2.0,
Vaibhav Laxmi Export Pvt. Ltd.,40848.0,12,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Crescent Fibres Limited,41821.0,7,2.0,
Mittapalli Spinners Ltd,42705.0,7,2.0,www.mittapallispinners.com
Dongguang Yiming Textile Co.Ltd,42036.0,4,2.0,
Shandong Dashing Cashmere Products Co.ltd,42644.0,,2.0,
"Dengzhou Yongtai Textile Co.,Ltd.",42370.0,4,2.0,
Yuyue Home Textile Co. Ltd.,41334.0,4,2.0,
GTN Group of Companies,40360.0,4,2.0,
TCE Vina Denim Joint Stock Company,42401.0,6,3.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Shiva Texyarn Ltd,42156.0,7,2.0,
Ghazi Fabrics International Ltd.,41091.0,4,2.0,
Balavigna Weaving Mills Pvt Ltd,42705.0,6,3.0,www.balavignaorganic.com
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Jiangsu Jin Xia Textile Co. Ltd,42522.0,7,2.0,
Technocraft Industries Limited,41974.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
"Akesu Youngor Textile Co.,Ltd",42156.0,7,2.0,
Akij Textile Mills Ltd,42278.0,4,2.0,
Aman Spinning Mills,41395.0,7,2.0,
Yunus Tekstil,42217.0,4,2.0,
"Hebei  Like  Textile  Co.,Ltd",42430.0,7,2.0,
PT. Spinmill Indah Industry,42736.0,7,2.0,
Matrix Sourcing,41030.0,9,3.0,
Kautilya Industries Pvt Ltd,42614.0,4,2.0,
"Changzhou JiuRong Import&Export Co.,Ltd",42491.0,10,2.0,
Maharaja Shree Umaid Mills Ltd,42370.0,7,2.0,
Sri Vaarri Spinning Mills,41974.0,7,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
"Wuxi YGM Textile Co.,Ltd",41579.0,4,2.0,
Thapar Group / JCT Ltd.,41153.0,7,2.0,
Iris Fabrics Ltd,42491.0,6,3.0,
"Jiangsu Yulan Yarn-Dyed Fabric Co.,Ltd",42095.0,6,3.0,
SEL Manufacturing Co. Ltd.,41030.0,7,2.0,
"Yuen HingTextileï¼ˆShenzhenï¼‰Co.,Ltd",42705.0,,2.0,www.yhccl.com
Azgard Nine Ltd,42095.0,4,2.0,
Bhuvneswari Cotspin India Pvt Ltd,42736.0,4,2.0,
"Ningbo Shenzhou Knitting Co.,Ltd",42064.0,5,2.0,
Ecom Agroindustrial Corp. Ltd.,40179.0,12,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
NSL Textile Ltd.,40360.0,4,2.0,
Mercury Fabrics Pvt. Ltd.,42217.0,6,3.0,
Adwaith Textiles Ltd,42552.0,7,2.0,
FM Denim Co Ltd,42217.0,4,2.0,
Reliance Weaving Mills Ltd.,41030.0,4,2.0,
Armstrong Spinning Mills Pvt Ltd,42278.0,7,2.0,
Artistic Denim Mills Ltd.,41000.0,4,2.0,
Formosa Industries Corporation,42522.0,7,2.0,
Ahmad Hassan Textile Mills Ltd.,42064.0,7,2.0,
Soorty Enterprises (Pvt.) Ltd.,40878.0,4,2.0,
"Tah Tong Textile Co., Ltd.(Taiwan&Vietnam)",42430.0,7,2.0,
Dabiruddin Spinning Mills Ltd,42736.0,7,2.0,www.salmagroup.com.bd
Tongzhou International Cotton Limited,42156.0,12,2.0,
Retailers and Brands,,,,
RNB,41518.0,3,0.0,www.rnb.se
Ikea Supply AG,40179.0,3,0.0,www.IKEA.com
Suppliers and Manufacturers,,,,
Zaber & Zubair Fabrics Ltd.,41579.0,4,2.0,
"Taicang Litai Textile Mill Co.,Ltd",42156.0,4,2.0,
Ekoten Tekstil,41609.0,6,3.0,
R S Cottmark India Pvt. Ltd.,42125.0,12,2.0,
Umar Spinning Mills Pvt Ltd,42036.0,7,2.0,
Basyazicioglu Tekstil San. ve Tic. A.S. (AKA Bamen),41091.0,7,2.0,
Alkas Spinning Mills Pvt Ltd,42736.0,7,2.0,
Rajvir Industries Ltd.,40360.0,7,2.0,
Nantong Dafuhao Textile Technology Co. Ltd.,41760.0,7,2.0,
Gadoon Textile Mills Ltd.,42036.0,7,2.0,
Sri Vishnu Shankar Mill Ltd.,41821.0,7,2.0,
Zephyr Textiles Ltd.,42767.0,,3.0,
Civil Society,,,,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
KKP Textiles Ltd.,41944.0,7,2.0,
Indigo Textile (Pvt) Ltd,42036.0,7,2.0,
Sri Sivajothi Spinning Mills Pvt Ltd,42736.0,7,2.0,
Pride Manufacturing de R.L.,42705.0,4,2.0,www.grupokarimsyarn.com
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Vicunha Europe SARL,40634.0,4,2.0,
Xingtai H & J Textile Co. Ltd. (BlueDaimond),41579.0,4,2.0,
"Jihua 3509 Textile Co., Ltd",42705.0,,2.0,www.jihua3509.com1
"Tianjin Tianfang Investment Holding Co.,Ltd",41913.0,4,2.0,
"Shandong Huimin Dongtai Textile Co., Ltd",42036.0,7,2.0,
"Saigon Joubo Textile Co., Ltd.",42614.0,4,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Kyungbang Limited,42705.0,4,2.0,www.kyungbang.co.kr
Premier Fine Linens Pvt Ltd,42767.0,Home Textiles,3.0,
Sitaram Spinners Private Limited,41821.0,7,2.0,
K. T. Spinning Mills Pvt Ltd,42705.0,7,2.0,
"Tainan Spinning  Co., Ltd",42430.0,7,2.0,
"Gildan Yarns, LLC",42278.0,7,2.0,
DCM Textiles,42430.0,7,2.0,
Shanghai Textile Raw Materials Corporation,42278.0,12,2.0,
Ambika Cotton Mills Ltd,42309.0,7,2.0,
Associate Members,,,,
Suppliers and Manufacturers,,,,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Sadaqat Ltd.,40179.0,6,3.0,
Yunus Textile Mills Ltd.,41821.0,7,2.0,
"Yixing Lucky Textiles Group Co., Ltd",42491.0,6,2.0,
Gujarat Cotton Corporation,41821.0,12,2.0,
Sree Lalitha Parameswari Spinning Mills Pvt Ltd,42095.0,7,2.0,
Sree Santosh Garments,42370.0,5,3.0,
"Tejidos Royo, S.L.",41456.0,5,2.0,www.royotextile.com
Indo Count Group,41640.0,4,2.0,
Hantex,40787.0,4,2.0,
"Xiangshui Milan Textile Co.,Ltd",42339.0,7,2.0,
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
Selcuk Iplik San. ve Tic. A.S.,42705.0,4,2.0,www.selcukgroup.com
Devcot S.A.,40940.0,12,2.0,
