Month,Time,Specifics
August,6pm,First Day of School/Parent Information session for grades 7-12
September,0,0
September,1,1
September,1,1
September,1,Safe Environment for All (7-12): Circle of Grace
October,0,0
October,1,1
October,1,Pray outside the Abortion Facility in Fargo
October,1,1
November,0.770833333,Liturgy for All; All Saints Day Mass
November,1,1
November,1,1
November,1,No School/CYO: Thanksgiving
November,1,1
December,0,0
December,1,2
December,1,3
December,1,3
December,TBA,Youth Event: Skiing
January,0,0
January,1,1
January,1,Service for All (7-12): Spaghetti Supper
January,1,1
January,1,1
February,0,0
February,0.770833333,Liturgy for All; Ash Wednesday
February,1,1
February,1,1
March,0,0
March,1,2
March,1,1
March,1,Stations of the Cross
April,0,0
April,1,1
April,1,1
April,1,1
May,0,0
May,1,Social for all: Softball
May,1,Baccalaureate
May,,Last Day of School
May,2:30pm,High School Graduation at VCHS
