Index,Country,Latitude,Longitude
415,NZ,-41.41,175.52
343,RU,67.45,153.68
392,GH,6.45,-1.58
63,RU,71.97,102.5
288,ID,-3.33,128.92
1,MY,5.41,100.34
4,PH,11.0,122.67
232,BR,-10.41,-36.43
310,BR,-5.18,-68.9
522,BR,-12.7,-38.32
126,MR,20.5,-10.07
513,DJ,11.5,42.5
266,BR,-0.72,-48.52
318,CA,50.7,-127.42
286,ID,-0.88,131.25
138,ID,-8.47,118.72
507,US,34.06,-117.65
120,AO,-11.21,13.84
87,PG,-3.55,143.63
491,CA,48.85,-54.01
73,IT,45.17,10.78
28,MU,-20.21,57.76
390,RU,60.05,69.9
92,IN,12.63,80.17
279,NZ,-46.13,167.68
515,US,33.02,-80.18
57,MU,-20.52,57.52
99,RU,61.28,108.01
5,CN,31.37,119.87
502,CN,34.06,108.63
264,CN,43.8,87.6
540,SA,17.49,44.13
53,MX,30.48,-115.95
31,BR,-15.82,-50.61
298,JP,38.42,141.3
339,IN,16.08,80.17
584,US,39.01,-104.7
367,UG,0.95,33.12
208,MU,-20.34,57.76
20,CL,-37.62,-73.65
167,BR,-6.98,-34.83
554,US,40.8,-124.16
212,RU,69.38,178.42
496,RU,56.45,138.17
258,TD,9.45,18.94
568,OM,17.02,54.09
348,CM,2.38,11.28
225,TJ,40.52,69.33
9,US,19.73,-155.09
35,RU,59.7,30.79
431,OM,22.57,59.53
481,NZ,-35.1,173.78
394,PK,25.81,66.62
304,BR,-19.76,-44.31
518,US,41.28,-70.1
421,CA,58.52,-117.14
319,IN,10.57,72.64
8,EC,-0.74,-90.35
489,PY,-25.62,-57.5
391,RU,61.36,63.58
146,GR,37.13,26.85
156,RU,59.38,143.3
517,AR,-38.95,-68.06
409,BR,-1.52,-52.58
525,MZ,-19.84,34.84
190,NG,12.45,4.2
581,CN,49.2,119.7
287,SE,58.35,11.94
275,CA,52.14,-122.14
406,ER,13.93,41.69
576,ID,5.89,95.32
401,PH,20.45,121.97
244,AO,-5.55,12.2
107,RU,56.67,124.65
259,ID,-7.95,110.28
301,IN,21.53,84.73
133,BR,-24.79,-50.01
267,KZ,52.83,70.78
494,ID,-8.19,114.97
544,IN,18.3,73.25
338,RO,46.43,26.4
174,RU,61.68,64.48
381,LS,-28.87,28.05
256,RU,65.58,-171.0
83,AR,-31.25,-61.49
229,RU,66.83,70.83
460,RU,53.62,109.62
382,EC,-0.9,-89.6
248,PE,-15.43,-74.62
364,JP,26.12,127.67
480,NP,26.89,88.07
516,PT,38.53,-28.63
482,BR,3.08,-59.95
309,US,60.55,-151.26
580,US,41.71,-70.23
38,NE,14.97,8.89
396,UY,-34.48,-54.33
336,RU,58.69,99.18
270,RU,47.89,134.95
582,SE,64.75,20.95
485,JM,18.03,-77.85
111,RU,68.75,161.3
233,RU,55.96,92.36
206,JP,28.37,129.48
562,IR,25.29,60.64
292,NO,61.6,5.03
255,GL,68.82,-51.19
94,CA,55.74,-97.86
276,BR,-18.59,-39.73
493,RU,54.39,35.73
56,US,38.61,-89.37
289,CN,41.12,80.26
342,PH,14.83,120.78
335,NZ,-39.2,173.88
352,CA,50.69,-121.94
178,UG,1.98,32.54
373,AO,-14.66,17.69
308,GB,51.38,1.39
353,HN,16.45,-85.85
579,AO,-8.84,13.23
456,US,36.43,-99.39
77,PE,-7.33,-75.02
25,MX,18.1,-91.02
374,PG,-6.32,155.48
559,RU,67.47,78.7
509,US,40.59,-122.39
565,BR,-9.88,-56.09
399,MX,23.45,-110.22
170,NZ,-45.87,170.5
209,US,64.84,-147.72
543,RU,56.05,51.97
563,YE,14.3,44.38
68,VN,21.32,103.9
41,IS,66.04,-17.34
220,SO,2.04,45.34
495,IT,40.5,16.42
538,BW,-19.67,22.27
198,NU,-19.06,-169.92
452,ID,-0.95,100.35
412,IE,51.62,-8.87
393,GL,60.14,-45.24
149,GF,5.38,-52.95
202,BR,-20.7,-44.83
514,RU,65.82,87.98
67,KI,3.07,172.79
395,KZ,45.25,77.98
114,CO,3.87,-67.92
526,KE,2.33,37.99
271,NO,71.04,27.85
312,KZ,47.12,51.88
486,MN,49.98,92.07
29,ZA,-33.93,18.42
448,NC,-20.23,164.02
316,,-24.13,19.12
387,CM,3.52,15.05
300,AI,18.22,-63.06
194,ZA,-34.0,24.73
242,PE,-10.07,-78.15
261,CA,60.82,-115.8
108,US,71.29,-156.79
238,CD,-5.38,27.0
90,PH,12.18,125.51
442,RU,57.13,73.83
320,MX,27.98,-114.06
471,GW,11.28,-15.83
499,GL,64.18,-51.72
84,US,34.73,-86.57
375,US,36.29,-76.25
478,MZ,-16.84,36.99
182,US,28.75,-82.5
405,BR,-24.96,-53.46
500,VE,7.77,-72.22
361,MZ,-24.53,32.98
333,AU,-34.73,135.87
520,RU,52.3,86.2
228,GB,53.41,-2.98
247,LV,56.54,21.04
222,IR,32.69,47.27
384,YE,14.4,46.47
414,PT,37.72,-25.43
548,RS,43.78,20.23
89,CD,-4.05,19.53
239,US,39.18,-84.53
327,RU,46.54,138.33
45,TO,-21.2,-175.2
577,AU,-20.1,146.27
432,ID,-0.03,109.33
284,TR,40.84,31.16
253,EG,25.29,32.55
217,NO,70.37,31.11
106,BR,-4.39,-59.59
458,MV,6.62,73.07
428,LR,5.88,-10.05
257,UY,-33.7,-53.46
290,KG,41.87,72.94
527,LY,29.03,21.55
573,US,47.67,-122.12
305,GL,61.99,-49.67
360,NO,67.67,12.69
109,HK,22.29,114.16
30,ML,18.9,-3.53
105,LK,9.82,80.23
82,SJ,78.22,15.64
383,MN,46.68,113.28
552,IN,18.65,74.08
141,MU,-20.41,57.7
282,CA,63.75,-68.51
224,RU,45.44,40.58
273,CL,-41.87,-73.82
183,RU,53.43,38.66
168,CD,-0.22,20.87
243,MG,-19.52,45.47
293,BR,-0.13,-67.09
505,FR,43.28,5.52
366,MG,-21.22,48.33
466,ES,37.67,-1.7
376,RU,43.74,135.29
572,RU,59.12,159.97
504,US,44.25,-85.4
380,MX,16.52,-90.64
0,US,22.08,-159.32
479,CO,3.94,-75.22
420,US,45.02,-93.22
195,ET,9.59,41.87
377,US,40.82,-82.27
411,ID,-8.12,111.89
52,RU,50.3,103.31
521,AU,-34.68,150.87
349,US,57.05,-135.33
121,ID,-5.67,132.75
6,CL,-53.15,-70.92
33,BR,-8.26,-49.26
187,CA,47.67,-52.73
389,RU,50.37,129.11
417,,-18.06,13.84
435,CU,22.4,-79.97
281,PH,14.35,121.02
531,IT,40.92,14.53
469,AU,-23.13,150.73
461,CD,1.57,30.25
533,CA,54.77,-101.86
79,CK,-21.21,-159.78
369,US,32.0,-102.08
331,SA,21.43,39.83
356,RE,-21.36,55.77
172,KZ,48.68,71.64
234,PH,17.08,122.42
180,RU,69.7,170.31
347,PT,37.73,-25.67
571,IT,46.62,10.7
131,CN,40.22,116.22
37,AR,-54.8,-68.3
88,MX,19.22,-104.7
231,ID,4.14,96.13
423,BR,-21.2,-41.89
307,ZA,-33.01,17.94
365,PH,17.42,121.44
227,US,34.64,-120.46
454,MG,-25.17,45.05
459,MY,2.43,103.84
363,PH,18.47,120.58
51,MG,-24.7,44.75
201,VE,8.12,-63.55
70,PF,-9.8,-139.03
2,US,57.79,-152.41
547,AR,-40.81,-63.0
55,AU,-42.78,147.06
145,BR,-17.69,-42.52
429,RU,64.54,40.54
161,CL,-25.4,-70.48
265,AM,39.72,45.65
135,RU,60.38,92.63
426,JP,35.73,140.83
323,NO,69.65,18.96
251,AR,-41.15,-71.31
24,CM,3.98,13.18
58,MV,-0.6,73.08
497,NO,68.12,13.5
472,NZ,-45.42,167.72
311,AL,41.32,19.44
534,AR,-43.3,-65.1
164,IN,25.52,90.22
23,NC,-22.67,167.48
10,EG,27.18,31.18
268,PF,-16.52,-151.75
440,CN,29.96,122.3
462,MN,45.76,106.27
441,CV,14.9,-24.5
398,CG,-4.27,15.28
340,AR,-34.65,-58.62
226,MX,20.87,-90.4
464,CN,36.62,101.77
379,CA,52.11,-101.27
166,AO,-8.42,20.74
7,US,42.6,-73.97
47,AO,-7.61,15.06
570,CL,-23.65,-70.4
578,IS,64.25,-15.21
314,BR,-5.2,-35.46
433,RU,63.05,179.32
470,AR,-33.01,-58.52
341,RU,60.91,61.52
179,BO,-20.46,-66.83
328,BR,-17.71,-39.25
404,FR,48.96,2.53
124,BR,-21.64,-41.05
181,,-22.96,14.51
302,RU,56.82,70.61
215,VE,9.33,-69.12
115,VU,-19.55,169.27
36,AU,-33.65,115.33
86,AU,-42.88,147.33
16,JP,33.28,134.15
154,RU,70.63,147.92
122,NO,62.58,6.13
101,CA,60.72,-135.05
139,PF,-16.48,-151.75
449,AR,-26.82,-65.22
140,US,41.17,-74.05
551,GA,-2.65,10.0
475,AU,-20.02,148.23
443,BO,-18.37,-66.97
136,ID,-8.61,120.47
372,RU,64.57,143.2
299,ID,-0.95,122.79
98,IL,31.61,34.76
34,ZA,-33.59,26.89
524,RE,-21.15,55.28
165,RU,62.67,135.6
503,RU,57.81,42.24
71,NZ,-46.6,168.33
450,TH,14.72,102.03
125,CN,35.91,116.31
50,US,42.1,-79.24
207,IN,27.63,93.83
455,RU,47.15,134.34
532,GY,8.2,-59.78
564,NP,27.37,87.2
439,CD,-9.2,25.85
