Index,imdb_id,genres
168,tt2467046,Thriller
276,tt0448011," Drama, Action,  Science Fiction"
330,tt1095217, Crime
336,tt0375568,"Animation,  Action,  Science Fiction"
392,tt0963966," Adventure, Fantasy"
687,tt0814022," Crime, Action"
727,tt1502404,Fantasy
784,tt0479997," Action,  Fantasy"
825,tt1674784," Thriller, Crime,  Drama"
833,tt1214962," Thriller, Action"
914,tt0268126," Drama, Comedy"
921,tt0245562, History
1033,tt1656186,Action
1224,tt0481499," Fantasy, Adventure,  Comedy"
1280,tt2005374,Thriller
1346,tt0399295," Drama, Crime"
1390,tt0384680,Comedy
1473,tt0429589," Family,  Animation"
1509,tt0469641," History,  Thriller"
1568,tt0368891," Thriller,  Mystery, Adventure"
1675,tt0465234," Mystery,  Adventure,  Thriller, Action"
1683,tt0259324," Horror,  Action"
1722,tt0435705,Action
1818,tt0187078," Crime,  Thriller, Action"
1838,tt0218967, Drama
