Index,imdb_id,genres
392,tt0963966, Adventure
1675,tt0465234, Mystery
687,tt0814022, Crime
1224,tt0481499, Fantasy
921,tt0245562, History
336,tt0375568,Animation
1722,tt0435705,Action
1838,tt0218967, Drama
276,tt0448011, Drama
1675,tt0465234, Adventure
1675,tt0465234, Thriller
825,tt1674784, Thriller
168,tt2467046,Thriller
276,tt0448011,Action
1346,tt0399295, Drama
336,tt0375568, Action
914,tt0268126, Drama
1568,tt0368891, Thriller
833,tt1214962, Thriller
330,tt1095217, Crime
687,tt0814022,Action
1818,tt0187078, Crime
392,tt0963966,Fantasy
1675,tt0465234,Action
784,tt0479997, Action
1390,tt0384680,Comedy
914,tt0268126,Comedy
727,tt1502404,Fantasy
1033,tt1656186,Action
1568,tt0368891, Mystery
1818,tt0187078, Thriller
1509,tt0469641, History
1280,tt2005374,Thriller
784,tt0479997, Fantasy
1509,tt0469641, Thriller
1473,tt0429589, Family
1224,tt0481499,Adventure
825,tt1674784,Crime
1568,tt0368891,Adventure
336,tt0375568, Science Fiction
1683,tt0259324, Horror
1473,tt0429589, Animation
276,tt0448011, Science Fiction
833,tt1214962,Action
1683,tt0259324, Action
1224,tt0481499, Comedy
825,tt1674784, Drama
1818,tt0187078,Action
1346,tt0399295,Crime
