OCCUPATION,ALL,PHONE,EMAIL
Appraiser,88626,61034,25336
Marketing Manager,602945,419233,206784
Computer Programmer,25571,18518,8043
Legal,362136,266498,91464
Psychologist,111699,70445,30208
Dietician,34120,24042,8306
Manager,8059,5916,2195
Truck Driver,90047,58143,22641
Professor,24768,19548,6184
Editor,8920,6392,2459
Nurse,492778,310678,145568
Broker,1461924,885050,536957
Police,31859,20925,8686
Teacher,358047,270323,99511
Auditor,15769,11233,4810
Investigator,14630,9320,4151
Engineer,518782,381961,135264
Plumber,107519,70946,26110
Dentist,168562,116581,43142
Driver,21043,13480,6142
Chiropractor,39659,24155,9589
Photography,8009,5345,2334
Clerk,933489,655004,308384
Laborer,2409498,1423065,716736
Designer,17946,12555,4956
Attorney,362136,266498,91464
Landscaper,15845,10532,3931
Custom,23787,14861,6568
Medical,20277,13228,5909
Lab,44258,30328,13282
Bus Driver,21043,13480,6142
Archivist,11134,8352,2797
Manager,602945,419233,206784
Realtor,1448054,921666,407162
Housekeeper,32839,19800,7454
Medical Assistant,30459,18751,8111
Machinist,56651,38777,15235
Nurse (Registered),3139173,2032183,997629
Sales Manager,42126,30048,12519
Scientist,20412,14738,5729
Construction,297600,196855,74119
Press Operator,15261,10327,4303
Dairyman,631103,502191,112994
Medical Doctor,627895,423018,155423
Trooper,31859,20925,8686
Teller,43859,29058,12065
Medical Secretary,18373,10954,5112
Auto Mechanic,9686,6471,2683
Shipping,23787,14861,6568
Nurse,70247,40371,19606
Dance,7982,5542,2268
Cosmetologist,1069332,635772,276644
Surveyor,22811,16295,5607
Musician,7982,5542,2268
Music,7982,5542,2268
Driver,90047,58143,22641
Farmer,631103,502191,112994
Technician,25097,16565,7141
Insurance,1119009,729472,325327
Army Credit Union Trades,150399,95307,49473
Medical Technician,18926,13286,5590
Optometrist,10357,7257,2526
Security,193890,95904,58247
Pharmacist,323188,221279,89315
Export,23787,14861,6568
Technician,115610,77503,34553
Counselor,68536,44331,18165
Bookkeeper,58578,40627,16169
Geologist,9418,7050,2313
X-ray,25097,16565,7141
Engineer,9084,6430,2625
Pastor,58078,44084,16021
Technician,44258,30328,13282
Banker,19140,12301,5936
Mechanic,240457,157024,65002
LPN,492778,310678,145568
Librarian,11134,8352,2797
Pharmacy,323188,221279,89315
Firefighter,26537,19398,7934
Dental Hygienist,109197,75587,27502
Social Worker,271048,179330,69684
Chemist,9510,7209,2866
Physical,278878,187396,70644
Paramedic,20277,13228,5909
Electrical,9084,6430,2625
Legal Secretary,11059,7836,3313
Import,23787,14861,6568
Architect,98805,70981,25647
Nurses Aide,442504,233724,132211
Stock,1461924,885050,536957
Physician,627895,423018,155423
Therapist,68945,46799,19134
Welder,41444,26616,10211
Veterinarian,47372,30070,10301
Dental Assistant,67465,40366,17832
Interior Designer,8211,6082,2056
Gardener,15845,10532,3931
