Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
"Auburn University, Auburn",,,,,
"Devry University, Ft. Washington Campus",,,,,
"Devry University, Tinley Park Campus",,,,,
University of San Francisco,,,,,
University of Connecticut,,,,,
University of Georgia,,,,,
University of Oklahoma,,,,,
Massachusetts Institute of Technology,,,,,
"University of Houston, Victoria",,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, North Davis Learning Center, Clearfield",,,,,
Dartmouth College,,,,,
University of Texas Medical Branch,,,,,
Doane College,,,,,
"University of Phoenix, Westshore Learning Center, Tampa",,,,,
University of Portland,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Portage Learning Center, Portage",,,,,
University of Pittsburgh,,,,,
University of Pittsburgh-Carnegie Mellon University,,,,,
"Devry University, Sandy Campus",,,,,
"University of Phoenix, Bellevue Learning Center, Bellevue",,,,,
Kent State University,,,,,
Vanderbilt University,,,,,
Lutheran School of Theology at Chicago,,,,,
"Pennsylvania State University, Harrisburg",,,,,
New School (The),,,,,
"Purdue University, Calumet",,,,,
Florida International University,,,,,
Northwestern University,,,,,
"University of Phoenix, Warrenville Learning Center, Warrenville",,,,,
"University of Phoenix, East El Paso Learning Center, El Paso",,,,,
"University of Michigan, Ann Arbor",,,,,
University of Redlands,,,,,
Upper Iowa University,,,,,
"University of Phoenix, Kansas City Campus, Kansas City",,,,,
Johns Hopkins University,,,,,
University of Delaware,,,,,
"University of Phoenix, Philadelphia Financial District Learning Center",,,,,
George Washington University,,,,,
University of Scranton,,,,,
"University of North Carolina, Charlotte",,,,,
"Colorado State University, Pueblo",,,,,
Union Graduate College,,,,,
"University of Colorado, Boulder",,,,,
University of San Francisco,,,,,
Widener University,,,,,
Washburn University,,,,,
"University of Phoenix, Charlotte East Student Resource Center, Charlotte",,,,,
"Devry University, Paramus Center",,,,,
"University of Phoenix, Jackson Campus, Flowood",,,,,
"Devry University, Jacksonville Campus",,,,,
"University of Phoenix, El Centro Learning Center II, Imperial",,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Cincinnati Campus, Westchester",,,,,
"University of Massachusetts, Boston",,,,,
Massachusetts Institute of Technology,,,,,
University of Virginia,,,,,
"Devry University, Pittsburgh Campus",,,,,
Boston College,,,,,
"University of Phoenix, Lancaster Learning Center, Lancaster",,,,,
"University of Colorado, Boulder",,,,,
New York University,,,,,
University of Oregon,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Kirtland AFB Learning Center, Albuquerque",,,,,
Yale University,,,,,
Seton Hall University,,,,,
University of Portland,,,,,
Johns Hopkins University,,,,,
"University of Phoenix, Manassas Learning Center, Manassas",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Columbus-GA Campus, Columbus",,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Phoenix, Fox Valley Learning Center, Grand Chute",,,,,
"University of Phoenix, Northland Learning Center, Kansas City",,,,,
Boise State University,,,,,
University of South Carolina,,,,,
University of Dallas,,,,,
"Baruch College, City University of New York (CUNY)",,,,,
Massachusetts Institute of Technology,,,,,
Florida International University,,,,,
Columbia University,,,,,
Massachusetts Institute of Technology,,,,,
,MIT-Woods Hole Oceanographic,1.0,,85,7
Midland Lutheran College,,,,,
Western Kentucky University,,,,,
"University of Phoenix, Independence Learning Center, Independence",,,,,
"California State University, Fullerton",,,,,
Fairfield University,,,,,
Florida International University,,,,,
"City University of Seattle, Calgary",,,,,
University of Oregon,,,,,
Suffolk University,,,,,
"University of Phoenix, Houston Northwest Learning Center, Houston",,,,,
"University of Phoenix, North Milwaukee Learning Center, Milwaukee",,,,,
"City University of Seattle, Vancouver, Canada",,,,,
"University of Phoenix, Oakland Learning Center, Oakland",,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Snellville Learning Center, Snellville",,,,,
"Devry University, Downers Grove Center",,,,,
West Coast University,,,,,
"University of Phoenix, Visalia Learning Center, Visalia",,,,,
Marywood University,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Central Florida Campus, Maitland",,,,,
"University of Phoenix, Nashville Campus, Nashville",,,,,
Alfred University,,,,,
New York Medical College,,,,,
"University of Phoenix, Downtown Detroit Student Resource Center, Detroit",,,,,
"Devry University, Portland Campus",,,,,
"University of Phoenix, Covington Learning Center, Covington",,,,,
"University of Phoenix, South Austin Student Resource Center, Austin",,,,,
Massachusetts Institute of Technology,,,,,
University of Pennsylvania,,,,,
"University of Maryland, Baltimore",,,,,
"University of Michigan, Ann Arbor",,,,,
Yale University,,,,,
"Devry University, Naperville Center",,,,,
Northeastern University,,,,,
"University of Phoenix, Virginia Beach Learning Center, Virginia Beach",,,,,
Carnegie Mellon University,,,,,
"University of Phoenix, Washington D.C. Campus, Washington",,,,,
Winthrop University,,,,,
"City University of Seattle, IntercollegeIBS - Institute of Business Studies",,,,,
"University of Colorado, Boulder",,,,,
Biola University,,,,,
"University of Phoenix, Woodland Hills Learning Center, Woodland Hills",,,,,
"University of Phoenix, Stonecrest Learning Center, San Diego",,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Phoenix, Ann Arbor Learning Center, Ann Arbor",,,,,
Hofstra University,,,,,
Regent University,,,,,
"Carnegie Mellon University, Australia",,,,,
University of Oregon,,,,,
Duke University,,,,,
"California State University, Fullerton",,,,,
,1,0.0,,14,9
"University of Phoenix, Shreveport-Bossier Campus, Bossier City",,,,,
Georgetown University,,,,,
Massachusetts Institute of Technology,,,,,
University of Houston,,,,,
"University of Phoenix, Fairfield County Campus, Norwalk",,,,,
"University of Phoenix, Dekalb Learning Center, Atlanta",,,,,
"University of Phoenix, Northern Nevada Campus, Reno",,,,,
Monterey Institute of International Studies,,,,,
University of Delaware,,,,,
"Devry University, Midtown Manhattan Campus",,,,,
Capella University (online),,,,,
"Devry University, Seven Hills Campus",,,,,
Washington University in St. Louis,,,,,
"University of Phoenix, Miami Learning Center, Miami",,,,,
Northeastern University,,,,,
Trine University,,,,,
Tufts University,,,,,
American University,,,,,
Seattle University,,,,,
"University of Phoenix, Arlington Learning Center, Arlington",,,,,
Regent University,,,,,
"Devry University, San Antonio Campus",,,,,
"University of Texas, Brownsville",,,,,
Northeastern University,,,,,
"California Baptist University, Beaumont",,,,,
"University of Wisconsin, Stout",,,,,
"University of Phoenix, North Milwaukee Student Resource Center, Glendale",,,,,
Illinois Institute of Technology,,,,,
University of New Haven,,,,,
Loyola University Chicago,,,,,
Columbia University,,,,,
University of North Texas Health Science Center,,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Morrisville Campus",,,,,
"Devry University, Sherman Oaks Campus",,,,,
Illinois State University,,,,,
Johns Hopkins University,,,,,
Virginia Polytechnic Institute and State University,,,,,
Dominican University,,,,,
University of Houston,,,,,
Northern Arizona University,,,,,
"Devry University, Waukesha Center",,,,,
"University of Phoenix, Corona Student Resource Center, Corona",,,,,
"University of Phoenix, Murrietta Learning Center, Murrietta",,,,,
Baldwin-Wallace College,,,,,
American University,,,,,
Northwestern Polytechnic University,,,,,
Carnegie Mellon University,,,,,
"Texas A&M University, Commerce",,,,,
Carnegie Mellon University,,,,,
University of Miami,,,,,
Oral Roberts University,,,,,
University of Baltimore,,,,,
University of Arkansas For Medical Sciences,,,,,
Boston University,,,,,
Harvard Business School,,,,,
"University of Phoenix, Downtown Chicago Learning Center, Chicago",,,,,
University of Pittsburgh,,,,,
Minot State University,,,,,
University of Houston,,,,,
"Devry University, Duluth (Gwinnett) Center",,,,,
University of New Haven,,,,,
University of Louisville,,,,,
Massachusetts Institute of Technology,,,,,
University of Texas Medical Branch,,,,,
Lamar University,,,,,
Tufts University,,,,,
"Devry University, Gurnee Center",,,,,
Northeastern University,,,,,
University of Findlay,,,,,
Ohio State University,,,,,
Pace University,,,,,
"University of Colorado, Boulder",,,,,
University of New Haven,,,,,
Capital University,,,,,
University of Connecticut,,,,,
Duke University,,,,,
"University of Phoenix, Detroit Campus, Troy",,,,,
Upper Iowa University,,,,,
"Auburn University, Auburn",,,,,
Virginia Polytechnic Institute and State University,,,,,
"Devry University, Tampa Bay Campus",,,,,
"University of St. Thomas, Minneapolis",,,,,
University of Denver,,,,,
"University of Phoenix, Colorado Springs Downtown, Colorado Springs",,,,,
University of Pittsburgh,,,,,
"University of Phoenix, Cedar Hill Resource Center, Cedar Hill",,,,,
"University of Phoenix, Memphis Campus, Cordova",,,,,
"Northwood University, Florida",,,,,
"University of Phoenix, Hawaii Campus, Honolulu",,,,,
University of Delaware,,,,,
"University of Phoenix, Oklahoma City Campus, Oklahoma City",,,,,
"California Baptist University, Chino",,,,,
"University of Phoenix, Culver City Learning Center, Culver City",,,,,
"Colorado State University, Pueblo",,,,,
"University of Phoenix, Fairfield Learning Center, Fairfield",,,,,
"Auburn University, Auburn",,,,,
University of Delaware,,,,,
"University of Colorado, Boulder",,,,,
University of Pennsylvania,,,,,
Widener University,,,,,
Loma Linda University,,,,,
"University of Phoenix, Des Moines Campus, West Des Moines",,,,,
"College of Staten Island, City University of New York (CUNY)",,,,,
"Devry University, Memphis Campus",,,,,
University of Findlay,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Chandler Learning Center, Chandler",,,,,
Kent State University,,,,,
Brandeis University,,,,,
"Devry University, Alpharetta Campus",,,,,
"University of Phoenix, El Centro Learning Center III, El Centro",,,,,
Tulane University,,,,,
"Devry University, Westminster Campus",,,,,
"Adelphi University, Garden City",,,,,
Loma Linda University,,,,,
"Indiana University, East",,,,,
"University of Hawaii, Hilo",,,,,
Dominican University,,,,,
"St. John's University, Queens",,,,,
Virginia Polytechnic Institute and State University,,,,,
University of Virginia,,,,,
"University of Massachusetts, Boston",,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Phoenix, Houston Campus, Houston",,,,,
Mississippi State University,,,,,
"City University of Seattle, Business and Hotel Management School",,,,,
"University of Phoenix, Phoenix Hokoman Campus, Phoenix",,,,,
"Devry University, Ft. Lauderdale Center",,,,,
American University,,,,,
George Washington University,,,,,
"Arizona State University, Tempe",,,,,
Massachusetts Institute of Technology,,,,,
"University of Arkansas, Fayetteville",,,,,
"California Baptist University, Hesperia",,,,,
"University of Phoenix, Cypress Creek Learning Center, Ft. Lauderdale",,,,,
"University of Phoenix, Augusta Campus, Augusta",,,,,
Florida International University,,,,,
"Devry University, Mesa Center",,,,,
Mississippi State University,,,,,
"Devry University, Addison Campus",,,,,
"Texas A&M University, College Station",,,,,
"Devry University, Richardson Center",,,,,
"University of Phoenix, Clarkesville Learning Center, Clarkeville",,,,,
University of New Haven,,,,,
Marywood University,,,,,
"Devry University, Houston Galleria",,,,,
"University of Phoenix, Cedar Rapids Student Learning Center, Cedar Rapids",,,,,
"University of Maryland University College, Adelphi (UMUC Headquarters), Adelphi",,,,,
"Devry University, Manassas Center",,,,,
University of Scranton,,,,,
"Baruch College, City University of New York (CUNY)",,,,,
"Devry University, Nashville Campus",,,,,
Boston University,,,,,
"University of Phoenix, San Diego Campus, San Diego",,,,,
Georgia State University,,,,,
"University of Phoenix, Sugar Land Learning Center, Sugar Land",,,,,
Henderson State University,,,,,
"University of Phoenix, Greenville Learning Center, Greenville",,,,,
Oregon Health & Science University,,,,,
Chapman University,,,,,
"University of Texas, Austin",,,,,
Massachusetts Institute of Technology,,,,,
Mills College,,,,,
New York University,,,,,
Carnegie Mellon University,,,,,
"University of Michigan, Ann Arbor",,,,,
Boston University,,,,,
Doane College,,,,,
"University of Phoenix, Utah Campus, Salt Lake City",,,,,
"University of Phoenix, Timonium Learning Center, Timonium",,,,,
"University of Phoenix, Colorado Campus, Lone Tree",,,,,
Johns Hopkins University,,,,,
University of Denver,,,,,
University of Scranton,,,,,
"Devry University, Elgin Center",,,,,
Manhattan School of Music,,,,,
"University of Phoenix, Killeen Learning Center, Killeen",,,,,
University of Arizona,,,,,
College of Charleston,,,,,
"University of Phoenix, Jersey City Campus, Jersey City",,,,,
"University of Phoenix, Springfield Campus, Springfield",,,,,
College of William and Mary (The),,,,,
"University of Phoenix, Dallas Campus, Dallas",,,,,
"University of Phoenix, Pasadena Learning Center, Pasadena",,,,,
University of Georgia,,,,,
"University of Colorado, Boulder",,,,,
Northwestern University,,,,,
"Devry University, Henderson Campus",,,,,
Dartmouth College,,,,,
"University of Phoenix, Palm Desert Learning Center, Palm Desert",,,,,
"University of Phoenix, Southern Arizona Center",,,,,
Chamberlain College of Nursing (online),,,,,
Rice University,,,,,
University of South Carolina,,,,,
New School (The),,,,,
University of Houston,,,,,
"University of Phoenix, Deleware Campus, Wilmington",,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Irving Campus",,,,,
"Devry University, Stockbridge (Henry County) Center",,,,,
"City University of Seattle, Vancouver, Canada",,,,,
"University of Phoenix, Minneapolis/ St. Paul Campus, St. Louis Park",,,,,
New York University,,,,,
"University of Phoenix, North Valley Learning Center - Chico, Chico",,,,,
DePaul University,,,,,
Northeastern University,,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Bellevue (Seattle) Center",,,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,,
San Jose State University,,,,,
"University of Phoenix, South Orlando Learning Center, Orlando",,,,,
"University of Phoenix, Livonia Learning Center, Livonia",,,,,
"Devry University, Merrillville Center",,,,,
Houston Baptist University,,,,,
Columbia University,,,,,
"Devry University, Chicago O'Hare Center",,,,,
Eastern University,,,,,
University of Portland,,,,,
"Texas A&M University, Commerce",,,,,
University of San Diego,,,,,
University of Rhode Island,,,,,
Fordham University,,,,,
"University of Phoenix, Asheville Learning Center, Asheville",,,,,
"University of California, Berkeley",,,,,
Syracuse University,,,,,
University of Pittsburgh,,,,,
Monterey Institute of International Studies,,,,,
University of San Francisco,,,,,
"University of Phoenix, Atlanta Campus, Sandy Springs",,,,,
"Devry University, Manhattan Center",,,,,
Emory University,,,,,
"University of Colorado, Boulder",,,,,
University of Arizona,,,,,
SIT Graduate Institute,,,,,
"University of Phoenix, Beale AFB Learning Center, Beale AFB",,,,,
"Devry University, Columbus Campus",,,,,
"University of Phoenix, Washington Learning Center, Washington",,,,,
University of Portland,,,,,
"University of Phoenix, Fort Collins Learning Center, Fort Collins",,,,,
"University of Phoenix, Idaho Falls Student Center, Idaho Falls",,,,,
University of Pennsylvania,,,,,
Fairleigh Dickinson University,,,,,
"University of Phoenix, San Marcos Learning Center, San Marcos",,,,,
"University of Maryland, Baltimore County",,,,,
"University of Phoenix, Lynnwood Learning Center, Seattle",,,,,
Georgetown University,,,,,
"University of Phoenix, Little Rock Campus, Little Rock",,,,,
"University of Phoenix, West Oklahoma City Learning Center, Oklahoma City",,,,,
University of South Dakota,,,,,
University of Houston,,,,,
"University of Phoenix, West Michigan Campus, Walker",,,,,
University of Baltimore,,,,,
