Desc,Size,Price,Colors
Det,0,86.32, Black
Viv,2,32.05,Black
Keg,1,65.67, Green
Luh,0,18.57,Blue
Dut,1,53.46,Yellow
Teb,0,92.6, Blue
Juc,2,82.26, Black
Fes,2,55.84,Yellow
Keg,1,65.67, Red
Keg,1,65.67,Blue
Fik,2,79.77,Red
Leg,1,10.15, Green
Leg,1,10.15,Red
Huc,2,25.32, Green
Juc,2,82.26, Red
Hag,2,33.37, Green
Dar,2,94.3, Red
Nif,2,22.27, Blue
Pav,2,30.42, Yellow
Hic,0,32.66, Blue
Huc,2,25.32,Yellow
Deh,2,39.13, Yellow
Bov,0,13.88, Green
Fes,2,55.84, Red
Len,1,84.06,2
Fik,2,79.77, Black
Juc,2,82.26,Blue
Dar,2,94.3,Black
Sep,0,46.42,2
Rif,2,29.97,0
Hic,0,32.66,Yellow
Vof,0,89.03, Red
Teb,0,92.6,Black
Luh,0,18.57, Yellow
Pec,1,47.69,1
Nef,2,16.85,Green
Kid,3,35.4, Green
Nup,2,13.62,1
Goh,3,24.81, Red
Det,0,86.32, Red
Kid,3,35.4,Blue
Kid,3,35.4, Red
Wum,1,56.75,0
Hag,2,33.37,Blue
Nif,2,22.27,Yellow
Bov,0,13.88,Red
Deh,2,39.13, Green
Hic,0,32.66, Green
Dar,2,94.3, Yellow
Luh,0,18.57, Red
Vof,0,89.03, Yellow
Huc,2,25.32, Black
Leg,1,10.15, Blue
Moc,3,38.34, Black
Pav,2,30.42, Black
Vof,0,89.03,Blue
Moc,3,38.34,Green
Nef,2,16.85, Yellow
Nef,2,16.85, Blue
Goh,3,24.81,Blue
Leg,1,10.15, Black
Det,0,86.32,Green
Pav,2,30.42,Red
Deh,2,39.13,Black
Fes,2,55.84, Blue
