original_title,title_length,production_companies
World Trade Center,18, Intermedia Films
J. Edgar,8,Imagine Entertainment
Jimmy Neutron: Boy Genius,25, Universal Cartoon Studios
Drive,5, FilmDistrict
Saw III,7, Twisted Pictures
Black Nativity,14,Fox Searchlight Pictures
Milk,4,Focus Features
The Purge: Anarchy,18,Universal Pictures
American Dreamz,15,Universal Pictures
The Jungle Book 2,17, DisneyToon Studios
Avatar,6, Twentieth Century Fox Film Corporation
Conviction,10, Pantheon Entertainment Corporation
The Covenant,12, Inc.
Self/less,9, Ram Bergman Productions
Get Smart,9, Warner Bros.
Hidalgo,7,Casey Silver Productions
Showtime,8,Village Roadshow Pictures
Public Enemies,14, Forward Pass
Eight Below,11, Spyglass Entertainment
Legally Blonde,14,Marc Platt Productions
Taken 3,7, Canal+
Never Let Me Go,15, Film4
"Good Night, and Good Luck.",26, Section Eight Productions
Four Christmases,16, Type A Films
Chappie,7, Genre Films
When the Game Stands Tall,25,Mandalay Pictures
Munich,6, Peninsula Films
The Majestic,12, Darkwoods Productions
Aquamarine,10,Fox 2000 Pictures
Maze Runner: The Scorch Trials,30, TSG Entertainment
Extraordinary Measures,22, CBS Films
Saving Mr. Banks,16,Walt Disney Pictures
Notes on a Scandal,18, Ingenious Film Partners
K-19: The Widowmaker,20, National Geographic Society
The Lone Ranger,15, Jerry Bruckheimer Films
The Lincoln Lawyer,18, Sidney Kimmel Entertainment
I'm Not There.,14, Dreamachine
Man of Steel,12, Warner Bros.
Rules of Engagement,19,Paramount Pictures
Belle,5,Isle of Man Film
The Danish Girl,15, ArtÃ©mis Productions
The Butterfly Effect,20, Katalyst Films
Capitalism: A Love Story,24,The Weinstein Company
Undisputed,10,Miramax Films
Men in Black 3,14, Imagenation Abu Dhabi FZ
Accepted,8, Shady Acres Entertainment
The Maze Runner,15, Temple Hill Entertainment
Hostage,7,Miramax Films
The Informant!,14, Jaffe / Braunstein Enterprise
The Dilemma,11,Imagine Entertainment
Sex Tape,8, Sony Pictures Entertainment (SPE)
Sweeney Todd: The Demon Barber of Fleet Street,46, Tim Burton Productions
"Dude, Whereâ€™s My Car?",23, Alcon Entertainment
Unbroken,8, Jolie Pas
We Bought a Zoo,15,Twentieth Century Fox Film Corporation
Disturbia,9, The
The Switch,10,Mandate Pictures
The Hobbit: The Desolation of Smaug,35, Metro-Goldwyn-Mayer (MGM)
Miami Vice,10, Motion Picture ETA Produktionsgesellschaft
Horrible Bosses,15,New Line Cinema
Take Me Home Tonight,20, Relativity Media
High Crimes,11, Regency Enterprises
Constantine,11, Donners' Company
The Art of War,14, Warner Bros.
Looper,6, Ram Bergman Productions
Igby Goes Down,14,United Artists
Mutant Chronicles,17, Paradox Entertainment
The Whole Ten Yards,19,Cheyenne Enterprises
War Horse,9, The
In Bruges,9, Twins Financing
Wrath of the Titans,19, Cott Productions
Terminator Salvation,20, The Halcyon Company
Carnage,7, CinÃ©CinÃ©ma
Spectre,7,Columbia Pictures
Taken 2,7,Twentieth Century Fox Film Corporation
No Strings Attached,19, Katalyst Films
TRON: Legacy,12, Revolution Sun Studios
The Fourth Kind,15,Universal Pictures
Daddy Day Care,14, Davis Entertainment
Rebound,7,Twentieth Century Fox Film Corporation
Stone,5, Mimran Schur Pictures
Killer Elite,12, Omnilab Media
Inglourious Basterds,20, Zehnte Babelsberg
Monster House,13, Sony Pictures Animation
Hachi: A Dog's Tale,19,Grand Army Entertainment
The Cold Light of Day,21, Film Rites
Lo imposible,12,Summit Entertainment
"Jeff, Who Lives at Home",23,Indian Paintbrush
Underworld: Awakening,21, Sketch Films
Swordfish,9, Warner Bros.
Black Mass,10, Cross Creek Pictures
Philomena,9,BBC Films
Virgin Territory,16, Dino De Laurentiis Company
Deux frÃ¨res,12, Two Brothers Productions
Star Trek Into Darkness,23, Bad Robot
Nanny McPhee,12,Universal Pictures
Oblivion,8, Relativity Media
Green Lantern,13,De Line Pictures
Not Another Teen Movie,22, Neal H. Moritz Productions
The Apparition,14, Dark Castle Entertainment
The Polar Express,17, Universal CGI
Heaven is for Real,18, Roth Films
Minority Report,15, Blue Tulip Productions
X-Men Origins: Wolverine,24, Donners' Company
Big Fat Liar,12,Universal Pictures
Scary Movie,11, Brad Grey Pictures
Tooth Fairy,11, Dune Entertainment III
Agent Cody Banks 2: Destination London,38,Splendid Pictures
Dracula 2000,12, Dimension Films
"Big Mommas: Like Father, Like Son",33, New Regency Pictures
The Lord of the Rings: The Return of the King,45, New Line Cinema
Enchanted,9, Andalasia Productions
True Grit,9,Paramount Pictures
Savages,7, Onda Entertainment
The Judge,9, Big Kid Pictures
Extraordinary Measures,22,Double Feature Films
Runaway Jury,12, New Regency Pictures
Cold Mountain,13, Castel Film Romania
The Phantom of the Opera,24, Really Useful Films
American Gangster,17, Scott Free Productions
A Sound of Thunder,18,Epsilon Motion Pictures
Out of Time,11,Original Film
The Wedding Ringer,18, LStar Capital
The Proposal,12,Touchstone Pictures
Interstellar,12, Legendary Pictures
The Good Girl,13, Hungry Eye Lowland Pictures B.V.
The Jacket,10, 2929 Productions
The Eagle,9, Focus Features
John Tucker Must Die,20, Major Studio Partners
The Italian Job,15, De Line Pictures
American Wedding,16, Zide-Perry Productions
The Life Aquatic with Steve Zissou,34,Touchstone Pictures
Step Brothers,13, Gary Sanchez Productions
Water for Elephants,19, Flashpoint Entertainment
Paranoia,8, Relativity Media
Drive Angry,11, Nu Image Films
Safe,4, Automatik Entertainment
Into the Woods,14, Marc Platt Productions
Jeepers Creepers,16, Cinerenta-Cinebeta
Meet the Fockers,16,DreamWorks SKG
IndigÃ¨nes,10,Tessalit Productions
Mindhunters,11, Egmond Film & Television
Harry Potter and the Order of the Phoenix,41,Cool Music
The Art of War,14, Franchise Pictures
London Boulevard,16, Henceforth
Spanglish,9,Gracie Films
The Last Airbender,18, Blinding Edge Pictures
The Perfect Game,16,HighRoad Entertainment
Texas Chainsaw 3D,17, Lions Gate
Interstellar,12,Paramount Pictures
Repo Men,8,Universal Pictures
Radio,5,Revolution Studios
Gothika,7, Warner Bros.
The Town,8, GK Films
Monster,7,Newmarket Films
Year One,8, Ocean Pictures
Mystic River,12, NPV Entertainment
Creed,5, Chartoff-Winkler Productions
Norbit,6,DreamWorks SKG
State of Play,13, Relativity Media
Project Almanac,15, MTV Films
Legends of Oz: Dorothy's Return,31,Prana Animation Studios
The Rookie,10,Walt Disney Pictures
Bedtime Stories,15, Gunn Films
Unfaithful,10, Epsilon Motion Pictures
Conviction,10, Prescience
The Assassination of Jesse James by the Coward Robert Ford,58, Alberta Film Entertainment
Arbitrage,9, Lucky Monkey Pictures
The Haunted Mansion,19, Gunn Films
Corpse Bride,12,Tim Burton Animation Company
The Help,8, Participant Productions
Valkyrie,8, Metro-Goldwyn-Mayer (MGM)
Blood Diamond,13, Lonely Film Productions GmbH & Co. KG.
Rat Race,8,Paramount Pictures
Straight Outta Compton,22, Broken Chair Flickz
RED,3, Summit Entertainment
Life as We Know It,18, Gold Circle Films
Valentine's Day,15, Karz Entertainment
The Man from U.N.C.L.E.,23, RatPac-Dune Entertainment
Love Happens,12, Camp / Thompson Pictures
Death Sentence,14,Twentieth Century Fox Film Corporation
Igor,4, Exodus Productions
Land of the Dead,16, Romero-Grunwald Productions
Zookeeper,9, Sony Pictures Releasing
Halloween,9, Spectacle Entertainment Group
Around the World in 80 Days,27,Studio Babelsberg
Dream House,11,Cliffjack Motion Pictures
Changeling,10, Malpaso Productions
Clash of the Titans,19, Moving Picture Company (MPC)
Sucker Punch,12,Legendary Pictures
Water for Elephants,19, Big Screen Productions
AVP: Alien vs. Predator,23, Studio Babelsberg
Mission: Impossible - Rogue Nation,34, TC Productions
Chappie,7, Media Rights Capital
A Knight's Tale,15, Finestkind
The Shaggy Dog,14, Boxing Cat Films
The Flintstones in Viva Rock Vegas,34, Amblin Entertainment
The Cell,8, Radical Media
Get Carter,10,Franchise Pictures
Last Vegas,10, Outlaw Sinema
Click,5, Columbia Pictures Corporation
Changeling,10,Imagine Entertainment
The Blind Side,14, Zucker/Netter Productions
Crank: High Voltage,19, Lionsgate
Alfie,5, Patalex Productions
Mirrors,7,Regency Enterprises
The Passion of the Christ,25,Icon Productions
Blackhat,8, Forward Pass
Open Range,10,Tig Productions
All About Steve,15, Radar Pictures
Paranormal Activity: The Ghost Dimension,40, Blumhouse Productions
Ocean's Thirteen,16, Jerry Weintraub Productions
Black Mass,10, RatPac-Dune Entertainment
