mission_title,Target
Mercury-Atlas 8,7
23,461
STS-42,265
STS-100,404
STS-63,226
14,454
STS-92,400
STS-126,487
STS-63,298
51,553
7,99
STS-51L,201
STS-5,112
Soyuz TM-24/23,355
STS-61-A,125
STS-113,420
STS-49,124
Apollo 13,22
12,305
18,424
Skylab 2,20
3,206
43,384
STS-1,102
32,311
Shenzhou 7,483
Soyuz TMA-10,456
Salyut 7,183
STS-7,102
STS-99,383
Euromir 94,131
Apollo 11,24
STS-26,142
Apollo 7,7
STS-70,331
56,539
STS-83,360
26,336
STS-41-G,150
STS-41-B,76
STS-6,116
40,538
STS-4,109
STS-72,344
STS-74,243
Vostok 4,6
26,384
Soyuz 9,47
EP-19,565
Apollo 17,26
STS-125,494
STS-101,262
Salyut 6,84
STS-125,377
STS-74,313
STS-33,215
STS-63,324
52,509
STS-51-A,155
STS-80,335
STS-102,349
STS-84,361
STS-125,495
STS-99,382
STS-113,428
STS-100,335
Soyuz TMA-7,440
55,497
STS-79,245
STS-42,184
STS-132,495
STS-37,170
STS-109,296
STS-132,478
STS-61C,142
Shenzhou 9,528
STS-36,231
STS-51-F,174
STS-61A,189
STS-51-G,171
STS-51-D,161
STS-61A,170
STS-124,444
25,268
STS-49,273
STS-51-J,185
Apollo 11,29
Gemini 6A,7
STS-93,278
STS-123,472
STS-97,361
ASTP,76
STS-71,132
38,409
Soyuz 24,43
STS-45,271
STS-122,470
STS-75,197
STS-50,276
STS-75,163
STS-62,238
Salyut 7,107
STS-66,321
STS-133,488
Salyut 7,91
29,525
STS-85,366
STS-125,326
STS-61-B,195
STS-51-L,133
STS-65,303
Voskhod 1,12
Skylab-2,60
STS-66,322
4,212
STS-26,185
19,208
STS-41-G,121
STS-51-J,115
STS-123,382
STS-86,367
Soyuz TMA-6/TMA-5,418
STS-59,310
STS-62,230
3,409
Antares,278
Soyuz 19,40
Soyuz 23,80
STS-55,292
33,503
STS-60,283
Soyuz 10,34
STS-72,342
STS-73,338
STS-100,340
STS-90,380
STS-46,163
STS-99,285
STS-53,125
STS-61-B,128
STS-120,465
Salyut 7,138
43,393
Atlas-1,130
STS-42,185
Salyut 7,136
Apollo 9,18
Gemini 8,25
STS-8,124
Soyuz T­8,118
STS-61,117
Apollo 11,27
STS-69,290
STS-109,301
STS-51-G,120
39,513
STS-110,415
2,208
STS-87,369
STS-61B,148
STS-134,435
STS-71,247
3,236
STS-41-D,144
STS-91,327
17,476
STS-61-C,146
16,376
STS-57,184
STS-50,237
STS-53,262
Salyut 6,93
Apollo 15,54
STS-41-G,153
STS-134,418
STS-89,318
STS-123,370
16,312
STS 51-L,157
STS-41D,148
Soyuz 26/27,85
Soyuz 13,69
STS-131,515
53,554
STS-96,390
Gemini 11,28
25,312
STS-85,283
Salyut 7,70
STS-57,228
STS-51-L,139
STS-89,187
4,303
2,288
STS-79,235
STS-118,463
STS-122,295
Soyuz 23,81
STS-60,196
STS-82,218
STS-61,235
STS-82,247
Soyuz TM-33/32,355
STS-62,227
STS-39,249
STS-117,459
30,429
STS-40,253
STS-45,151
STS-88,301
STS-81,326
STS-46,156
STS-43,171
STS-76,287
Salyut 7,143
STS-151-C,56
28,395
STS-49,235
STS-38,179
STS-73,336
STS-41-B,135
47,396
Apollo 10,26
STS-73,274
Salyut 6,98
STS-127,500
Gemini 9A,23
STS-111,290
22,455
STS-48,238
