name,pop
 Roosevelt Island,76631
 Ft. Wadsworth,16079
park,436
Longwood,26196
 Douglaston,24739
Williamsbridge,57420
Ridgewood,69455
Fort Greene,26079
 Columbia Street,38353
Rego Park,29404
West Farms,34542
Washington Heights South,84438
 Douglaston,24356
park,1849
West Farms,35011
Homecrest,44316
Rugby,55326
Bedford Park,55329
Whitestone,30773
Claremont,28149
 Floral Park,22426
 Clifton,22460
East Tremont,39280
 Harding Park,50753
Norwood,40494
Astoria,89122
New Dorp,20242
 Midtown South,25807
 Olinville,61321
 Huguenot,26376
Schuylerville,43712
Washington Heights South,93671
 Op City,43752
Madison,39076
Sunset Park East,66150
Rikers Island,12780
Corona,57658
 Bruckner,35634
Morningside Heights,54208
 Mill Basin,42940
 Dongan Hills,23017
Erasmus,29938
 etc,1849
Westchester,25768
Starrett City,13354
 Edenwald,34517
Erasmus,31392
 Marine Park,45231
Windsor Terrace,20779
 Flushing Heights,34034
Chinatown,47844
East Elmhurst,21183
 etc,7
Morningside Heights,55929
Glen Oaks,22426
 Midtown South,28630
 Brooklyn,93
 Vinegar Hill,34495
Flushing,69362
South Jamaica,35181
Seagate,34267
Central Harlem North,70016
 Bergen Beach,42940
 Flushing Heights,31734
Richmond Hill,62982
 Clearview,21751
 Polo Grounds,70016
Bayside,44371
Co,43752
 Wingate,70300
 Concourse Village,58961
 Emersn Hill,30714
 Utopia,17812
Ozone Park,21052
 Ocean Parkway,36891
Kew Gardens,23888
Maspeth,28916
 Westchester Square,27135
College Point,21407
Bronxdale,34309
Allerton,28510
 Kingsbridge,29872
East Flatbush,56033
 Unionport,25768
Woodlawn,42483
 Edgemere,36885
 East Midtown,51231
 Lighthse Hill,30762
University Heights,54188
 South Side,40130
North Corona,52037
 Midland Beach,20242
Flushing,72008
South Ozone Park,75878
 St. George,32154
 Fieldston,27860
Battery Park City,39699
North Riverdale,27860
Brownsville,59099
 Lower Manhattan,39699
Lower East Side,72258
North Riverdale,28013
 Arlington,31474
Ocean Parkway South,20299
Washington Heights North,73457
Grymes Hill,19834
 Throgs Neck,44167
 Westchester Square,29250
 Dongan Hills,24835
Rikers Island,11091
 etc,1906
 Silver Lake,17525
East New York (Pennsylvania Ave),29343
 Wakefield,42483
 City Island,27140
Gramercy,26184
 cemetery,93
 cemetery,418
New Brighton,17525
Mott Haven,52413
Starrett City,14621
 Tottenville,18332
Bensonhurst East,62978
Sheepshead Bay,64596
 Bayside Hills,43808
 Lighthse Hill,30714
 Cobble Hill,22887
Hollis,20269
 Kips Bay,50742
Bedford,59227
Borough Park,101055
 Richmond Valley,23313
 Edgewater Park,44167
Ridgewood,69317
 Carnegie Hill,61207
Bath Beach,29931
Glendale,31071
 Bergen Beach,45231
Lenox Hill,76631
Mariner's Harbor,31474
