Index,popularity,budget,revenue,original_title,genres,release_year
2610,0.11818699999999999,450000,2049595,Trick,Comedy,1999
8832,0.170017,10000000,0,Cecil B. Demented,Thriller,2000
5196,0.13516199999999998,12000000,4922166,From Justin to Kelly,Romance,2003
8705,0.848261,15000000,35007180,The Skulls,Crime,2000
10677,0.17716600000000002,0,0,A Man Called Horse,Adventure,1970
10188,0.6724829999999999,0,0,Murder by Death,Comedy,1976
2887,2.349544,150000000,163712074,The Incredible Hulk,Action,2008
7030,0.9618469999999999,40000000,95149435,The Princess Diaries 2: Royal Engagement,Drama,2004
9602,1.354524,27000000,38122105,The Running Man,Action,1987
9841,0.160002,0,0,Race with the Devil,Thriller,1975
3605,0.472008,1000000,0,Grave Encounters,Thriller,2011
6111,0.6365460000000001,1000000,0,The Quiet Earth,Drama,1985
7549,0.501939,25000000,68377859,Dan in Real Life,Drama,2007
4948,0.001372,0,0,The Invisible War,Drama,2012
4219,0.736742,40000000,19726050,Color of Night,Thriller,1994
8226,0.183034,6400000,6,Never Talk to Strangers,Thriller,1995
2289,0.204591,0,0,Captifs,Horror,2010
1754,0.25035100000000005,0,0,Frequently Asked Questions About Time Travel,Drama,2009
9906,0.18146600000000002,0,0,The Killers,Crime,1964
5264,1.008461,40000000,45916769,The Rainmaker,Drama,1997
6570,1.9573310000000002,270000000,391081192,Superman Returns,Science Fiction,2006
1841,0.13284100000000001,0,0,Ink,Fantasy,2009
8451,0.062202,0,15578237,Continental Divide,Romance,1981
8349,0.19357,15000000,0,Newsies,Music,1992
232,0.561032,0,0,Hyena Road,Drama,2015
10729,0.589059,1500000,0,Take the Money and Run,Crime,1969
9791,0.18186300000000002,0,43008075,The Longest Yard,Drama,1974
1946,1.888263,40000000,126248813,Predators,Adventure,2010
2205,0.308417,0,0,Minions: Orientation Day,Comedy,2010
4508,0.634526,19500000,0,Hemingway & Gellhorn,Drama,2012
2464,0.72669,60000000,149705852,The General's Daughter,Thriller,1999
9963,0.204023,0,0,Man in the Wilderness,Adventure,1971
2458,0.779596,0,0,Mickey's Once Upon a Christmas,Comedy,1999
6211,1.6326379999999998,0,0,Prime,Comedy,2005
4077,0.462287,12000000,61141030,Crossroads,Comedy,2002
6675,0.6541779999999999,0,0,Bobby,Drama,2006
3267,0.201483,0,0,Donkey Punch,Drama,2008
9110,0.288098,0,0,My Name Is Joe,Drama,1998
5798,0.283595,0,7965,One Small Hitch,Romance,2013
1624,0.40967299999999995,0,0,The Good Witch's Garden,Romance,2009
5557,0.890458,4800000,10337387,Only God Forgives,Drama,2013
9335,0.695385,19000000,272742922,The Silence of the Lambs,Thriller,1991
8937,0.228492,22000000,0,The Border,Crime,1982
2354,0.107503,0,0,Alien vs. Ninja,Horror,2010
7350,0.26295,1500000,0,Alligator,Science Fiction,1980
2265,0.227258,0,178174,Winnebago Man,Documentary,2010
8794,0.246454,10000000,0,The Crow: Salvation,Science Fiction,2000
7202,0.201053,0,0,Back to Gaya,Animation,2004
159,0.953046,630019,0,Kung Fury,Comedy,2015
3111,0.388417,0,14796236,Prom Night,Crime,2008
2196,0.3261,80000000,74901339,Edge of Darkness,Thriller,2010
10494,0.799534,0,5844868,The Hitcher,Action,1986
3721,0.280206,0,5576725,In Darkness,Drama,2011
1715,0.299873,0,0,Behind Enemy Lines III: Colombia,Action,2009
677,2.777996,28000000,53181600,A Walk Among the Tombstones,Crime,2014
2273,0.218279,0,1279,An Invisible Sign,Comedy,2010
8942,0.24222,0,0,Deathtrap,Comedy,1982
596,0.051262,1000000,0,Best of Enemies,Documentary,2015
4638,0.356594,0,0,Airborne,Thriller,2012
7598,0.412761,5000000,346592,Meet Bill,Comedy,2007
7203,0.19252,0,29170410,YÅ«giÅ Dyueru MonsutÄzu Hikari no Piramiddo,Action,2004
3507,0.8083359999999999,20000000,177243185,The Descendants,Drama,2011
416,0.248964,0,0,Curve,Horror,2015
173,0.872149,0,16775,Extraction,Thriller,2015
3760,0.191228,25000000,0,è³½å¾·å…‹Â·å·´èŠ (ä¸Š)  å¤ªé™½æ——,History,2011
8492,0.902697,50000000,150270147,Broken Arrow,Drama,1996
3828,0.140601,1340000,0,Episode 50,Horror,2011
6844,0.241377,5000000,0,Like Mike 2: Streetball,Family,2006
10611,0.50142,3000000,29800000,Serpico,History,1973
6367,0.411236,0,0,Barbie and the Magic of Pegasus 3-D,Family,2005
9232,0.437909,7000000,0,Warlock,Fantasy,1989
10767,0.581236,0,0,Game of Death,Drama,1978
4647,0.339738,0,0,Nazis at the Center of the Earth,Thriller,2012
4667,0.32200700000000004,0,1081,The Butterfly Room,Horror,2012
4367,4.218933,250000000,1017003568,The Hobbit: An Unexpected Journey,Adventure,2012
10490,0.9141799999999999,13800000,52293982,The Color of Money,Drama,1986
7346,0.299527,0,11000000,The Mirror Crack'd,Thriller,1980
7093,0.530799,50000000,34808403,The Life Aquatic with Steve Zissou,Adventure,2004
6919,0.092151,0,0,The Cheetah Girls 2,TV Movie,2006
9444,0.09814500000000001,16400000,0,F/X2,Action,1991
6185,0.215817,2410000,10755447,Missing in Action 2: The Beginning,Adventure,1985
8950,0.13816199999999998,3500000,20659423,The Man from Snowy River,Western,1982
2431,1.320079,80000000,176885658,Analyze This,Comedy,1999
7327,0.5901270000000001,6500000,31899000,Dressed to Kill,Horror,1980
2810,0.239869,11000000,23978402,Corky Romano,Comedy,2001
6856,0.21735,0,0,The Hamiltons,Thriller,2006
2293,0.200241,2300000,0,Hunt to Kill,Adventure,2010
10850,0.20247300000000001,0,0,Harper,Drama,1966
6770,0.357462,20000000,37597471,The Covenant,Horror,2006
4586,0.446829,0,61782,Sightseers,Comedy,2012
