Index,revenue,original_title,cast
970,1519557910,The Avengers,"Robert Downey Jr.,  Chris Evans,  Scarlett Johansson,  Chris Hemsworth,  Mark Ruffalo"
971,132400000,Underworld: Awakening," Michael Ealy,  Stephen Rea,  Theo James, Kate Beckinsale,  India Eisley"
972,1081041287,The Dark Knight Rises," Anne Hathaway, Christian Bale,  Michael Caine,  Gary Oldman,  Tom Hardy"
973,425368238,Django Unchained,"Jamie Foxx,  Leonardo DiCaprio,  Kerry Washington,  Christoph Waltz,  Samuel L. Jackson"
974,1108561013,Skyfall," Naomie Harris,  Ralph Fiennes, Daniel Craig,  Judi Dench,  Javier Bardem"
975,276572938,The Bourne Legacy,"Jeremy Renner,  Edward Norton,  Scott Glenn,  Rachel Weisz,  Stacy Keach"
976,1017003568,The Hobbit: An Unexpected Journey,"Ian McKellen,  Martin Freeman,  Cate Blanchett,  Richard Armitage,  Andy Serkis"
977,403170142,Prometheus," Guy Pearce,  Idris Elba, Noomi Rapace,  Charlize Theron,  Michael Fassbender"
978,205738714,Silver Linings Playbook," Robert De Niro,  Jacki Weaver,  Chris Tucker, Bradley Cooper,  Jennifer Lawrence"
979,752215857,The Amazing Spider-Man," Martin Sheen,  Denis Leary,  Emma Stone,  Rhys Ifans, Andrew Garfield"
980,538983207,Brave,"Kelly Macdonald,  Julie Walters,  Billy Connolly,  Kevin McKidd,  Emma Thompson"
981,396600000,Snow White and the Huntsman," Ian McShane,  Chris Hemsworth,  Charlize Theron, Kristen Stewart,  Sam Claflin"
982,201585328,21 Jump Street," Ellie Kemper,  Brie Larson,  Dave Franco,  Jonah Hill, Channing Tatum"
983,609016565,Life of Pi," Irrfan Khan, Suraj Sharma,  Ayush Tandon,  Adil Hussain,  Gautam Belur"
984,877244782,Ice Age: Continental Drift," Chris Wedge,  Ray Romano, John Leguizamo,  Denis Leary,  Seann William Scott"
985,549368315,Ted," Mila Kunis,  Seth MacFarlane,  Giovanni Ribisi,  Joel McHale, Mark Wahlberg"
986,218340595,Jack Reacher," Richard Jenkins,  Rosamund Pike, Tom Cruise,  David Oyelowo,  Werner Herzog"
987,180274123,Lo imposible," Oaklee Pendergast,  Samuel Joslin, Naomi Watts,  Tom Holland,  Ewan McGregor"
988,471222889,Wreck-It Ralph," Jamie Elman,  Sarah Silverman, John C. Reilly,  Jane Lynch,  Jack McBrayer"
989,115350426,Pitch Perfect,"Anna Kendrick,  Rebel Wilson,  Anna Camp,  Skylar Astin,  Brittany Snow"
990,624026776,Men in Black 3," Tommy Lee Jones,  Josh Brolin,  Michael Stuhlbarg,  Emma Thompson, Will Smith"
991,691210692,The Hunger Games," Elizabeth Banks, Jennifer Lawrence,  Woody Harrelson,  Liam Hemsworth,  Josh Hutcherson"
992,198802074,Total Recall," Jessica Biel,  Kate Beckinsale,  Bryan Cranston, Colin Farrell,  Bill Nighy"
993,130482868,Cloud Atlas,"Tom Hanks,  Jim Sturgess,  Jim Broadbent,  Hugo Weaving,  Halle Berry"
994,312573423,The Expendables 2,"Sylvester Stallone,  Bruce Willis,  Arnold Schwarzenegger,  Dolph Lundgren,  Jason Statham"
995,376141306,Taken 2,"Liam Neeson,  Rade Serbedzija,  Maggie Grace,  Famke Janssen,  Luke Grimes"
996,245527149,Dark Shadows," Jackie Earle Haley,  Jonny Lee Miller,  Helena Bonham Carter,  Michelle Pfeiffer, Johnny Depp"
997,33400000,The Perks of Being a Wallflower," Paul Rudd,  Ezra Miller,  Emma Watson,  Nina Dobrev, Logan Lerman"
998,232324128,Argo,"Ben Affleck,  John Goodman,  Alan Arkin,  Bryan Cranston,  Victor Garber"
999,234989584,American Reunion," Alyson Hannigan,  Chris Klein,  Seann William Scott,  Thomas Ian Nicholas, Jason Biggs"
1000,167221571,Magic Mike,"Channing Tatum,  Olivia Munn,  Matthew McConaughey,  Cody Horn,  Alex Pettyfer"
1001,66486080,The Cabin in the Woods," Chris Hemsworth,  Anna Hutchison, Kristen Connolly,  Jesse Williams,  Fran Kranz"
1002,306941670,Rise of the Guardians," Hugh Jackman, Chris Pine,  Jude Law,  Alec Baldwin,  Isla Fisher"
1003,196114570,The Vow," Channing Tatum, Rachel McAdams,  Jessica Lange,  Sam Neill,  Scott Speedman"
1004,355692760,Journey 2: The Mysterious Island," Luis GuzmÃ¡n, Dwayne Johnson,  Kristin Davis,  Vanessa Hudgens,  Josh Hutcherson"
1005,40346186,Safe," Catherine Chan,  Chris Sarandon,  James Hong,  Robert John Burke, Jason Statham"
1006,112265139,Abraham Lincoln: Vampire Hunter,"Benjamin Walker,  Mary Elizabeth Winstead,  Anthony Mackie,  Dominic Cooper,  Rufus Sewell"
1007,8106475,Upside Down," Timothy Spall,  Heidi Hawkins, Kirsten Dunst,  James Kidnie,  Jim Sturgess"
1008,348840316,The Lorax,"Zac Efron,  Ed Helms,  Danny DeVito,  Rob Riggle,  Taylor Swift"
1009,68263166,Moonrise Kingdom,"Bruce Willis,  Jared Gilman,  Kara Hayward,  Bill Murray,  Edward Norton"
1010,41037742,Dredd,"Karl Urban,  Lena Headey,  Olivia Thirlby,  Wood Harris,  Jason Cope"
1011,303025485,Battleship," Tadanobu Asano,  Brooklyn Decker,  Rihanna,  Alexander SkarsgÃ¥rd, Taylor Kitsch"
1012,441809770,Les MisÃ©rables," Amanda Seyfried,  Anne Hathaway, Hugh Jackman,  Sacha Baron Cohen,  Russell Crowe"
1013,183018522,Mirror Mirror,"Julia Roberts,  Armie Hammer,  Nathan Lane,  Lily Collins,  Martin Klebba"
1014,284139100,John Carter," Mark Strong,  Willem Dafoe,  Lynn Collins,  CiarÃ¡n Hinds, Taylor Kitsch"
1015,47042000,Looper," Noah Segan,  Paul Dano,  Emily Blunt, Joseph Gordon-Levitt,  Bruce Willis"
1016,829000000,The Twilight Saga: Breaking Dawn - Part 2," Robert Pattinson, Kristen Stewart,  Taylor Lautner,  Peter Facinelli,  Elizabeth Reaser"
1017,132820716,Zero Dark Thirty,"Jessica Chastain,  Chris Pratt,  Jason Clarke,  Joel Edgerton,  Mark Strong"
1018,33372606,Haywire," Bill Paxton, Gina Carano,  Michael Fassbender,  Ewan McGregor,  Channing Tatum"
1019,301000000,Wrath of the Titans,"Sam Worthington,  Rosamund Pike,  Edgar RamÃ­rez,  Ralph Fiennes,  Liam Neeson"
1020,140470746,Step Up Revolution," Jessica Guadix, Kathryn McCormick,  Ryan Guzman,  Megan Boone,  Stephen Boss"
1021,145000000,Chronicle," Anna Wood,  Alex Russell,  Michael B. Jordan, Dane DeHaan,  Michael Kelly"
1022,81272766,Act of Valor," Nestor Serrano, Roselyn SÃ¡nchez,  Alexander Asefa,  Gonzalo Menendez,  Emilio Rivera"
1023,358375603,Hotel Transylvania,"Adam Sandler,  Kevin James,  David Spade,  Selena Gomez,  Steve Buscemi"
1024,48126384,End of Watch," Anna Kendrick,  Michael PeÃ±a,  Natalie Martinez,  David Harbour, Jake Gyllenhaal"
1025,79700000,What to Expect When You're Expecting," Brooklyn Decker, Cameron Diaz,  Anna Kendrick,  Elizabeth Banks,  Jennifer Lopez"
1026,179379533,The Dictator," Megan Fox,  Sayed Badreya,  Aasif Mandvi, Sacha Baron Cohen,  Anna Faris"
1027,100000000,Project X,"Oliver Cooper,  Jonathan Daniel Brown,  Dax Flame,  Thomas Mann,  Kirby Bliss Blanton"
1028,63100000,Contraband," Giovanni Ribisi,  Kate Beckinsale,  Ben Foster,  J.K. Simmons, Mark Wahlberg"
1029,746921274,Madagascar 3: Europe's Most Wanted," Chris Rock, Ben Stiller,  David Schwimmer,  Sacha Baron Cohen,  Frances McDormand"
1030,53676580,Lawless," Guy Pearce,  Mia Wasikowska,  Tom Hardy, Shia LaBeouf,  Jessica Chastain"
1031,29657751,The Raven," Luke Evans,  Alice Eve,  Kevin McNally,  Brendan Gleeson, John Cusack"
1032,59418613,Rock of Ages," Alec Baldwin,  Julianne Hough, Tom Cruise,  Bryan Cranston,  Diego Boneta"
1033,2106557,Stolen," Sami Gayle, Nicolas Cage,  Malin Ã…kerman,  Danny Huston,  Josh Lucas"
1034,118338361,The Pirates! In an Adventure with Scientists!," Jeremy Piven,  Brian Blessed,  Brendan Gleeson, Hugh Grant,  Salma Hayek"
1035,28258060,The Master," Jesse Plemons,  Laura Dern,  Philip Seymour Hoffman, Joaquin Phoenix,  Amy Adams"
1036,53909751,The Five-Year Engagement," Rhys Ifans,  Chris Pratt, Emily Blunt,  Alison Brie,  Jason Segel"
1037,88058786,This Is 40,"Paul Rudd,  Maude Apatow,  Leslie Mann,  Megan Fox,  Jason Segel"
1038,32204030,Lockout," Peter Stormare,  Maggie Grace, Guy Pearce,  Joseph Gilgun,  Lennie James"
1039,24159934,Wanderlust,"Paul Rudd,  Lauren Ambrose,  Malin Ã…kerman,  Justin Theroux,  Jennifer Aniston"
1040,127730736,The Woman in Black," Sidney Johnston,  Mary Stockley,  CiarÃ¡n Hinds, Daniel Radcliffe,  Alisa Khazanova"
1041,81491068,Frankenweenie," Martin Short,  Martin Landau,  Winona Ryder,  Catherine O'Hara, Charlie Tahan"
1042,58058367,That's My Boy," Susan Sarandon,  Andy Samberg,  Eva Amurri Martino, Adam Sandler,  Leighton Meester"
1043,208076205,Safe House,"Denzel Washington,  Joel Kinnaman,  Vera Farmiga,  Ryan Reynolds,  Brendan Gleeson"
1044,47000000,Savages,"Blake Lively,  Aaron Taylor-Johnson,  Taylor Kitsch,  Benicio del Toro,  Salma Hayek"
1045,46221189,Man on a Ledge," Jamie Bell,  Ed Harris,  Elizabeth Banks,  Edward Burns, Sam Worthington"
1046,19422261,Seven Psychopaths," Abbie Cornish, Colin Farrell,  Sam Rockwell,  Christopher Walken,  Woody Harrelson"
1047,24719215,Big Miracle," Kristen Bell,  Dermot Mulroney, Drew Barrymore,  Vinessa Shaw,  John Krasinski"
1048,3428048,Disconnect,"Jason Bateman,  Paula Patton,  Michael Nyqvist,  Hope Davis,  Frank Grillo"
1049,12434778,People Like Us," Mark Duplass,  Olivia Wilde, Chris Pine,  Elizabeth Banks,  Michelle Pfeiffer"
1050,8493728,Piranha 3DD," Katrina Bowden,  David Koechner, Danielle Panabaker,  Jean-Luc Bilodeau,  Matt Bush"
1051,85446075,The Possession," Rob LaBelle,  Madison Davenport,  Natasha Calis,  Kyra Sedgwick, Jeffrey Dean Morgan"
1052,52302796,Silent Hill: Revelation 3D," Kit Harington,  Carrie-Anne Moss, Adelaide Clemens,  Radha Mitchell,  Sean Bean"
1053,37930465,Killing Them Softly," Ray Liotta,  James Gandolfini, Brad Pitt,  Scoot McNairy,  Ben Mendelsohn"
1054,16863583,The Cold Light of Day," Bruce Willis, Henry Cavill,  Sigourney Weaver,  VerÃ³nica Echegui,  Caroline Goodall"
1055,35485056,Arbitrage," Susan Sarandon,  Monica Raymund,  Tim Roth,  Brit Marling, Richard Gere"
1056,44806783,Red Dawn," Isabel Lucas, Chris Hemsworth,  Jeffrey Dean Morgan,  Josh Hutcherson,  Adrianne Palicki"
1057,54819301,The Three Stooges," Will Sasso,  Chris Diamantopoulos, Sean Hayes,  SofÃ­a Vergara,  Jane Lynch"
1058,114281051,Hope Springs," Jean Smart,  Steve Carell,  Marin Ireland, Meryl Streep,  Tommy Lee Jones"
1059,22044277,A Thousand Words,"Eddie Murphy,  Cliff Curtis,  Kerry Washington,  Allison Janney,  Clark Duke"
1060,30353232,Alex Cross," Jean Reno,  Matthew Fox, Tyler Perry,  Giancarlo Esposito,  Rachel Nichols"
1061,36893721,One for the Money,"Katherine Heigl,  John Leguizamo,  Sherri Shepherd,  Patrick Fischler,  Debbie Reynolds"
1062,59520298,Quartet," Billy Connolly,  Michael Gambon,  Tom Courtenay, Maggie Smith,  Pauline Collins"
1063,107139399,ParaNorman," Anna Kendrick,  Casey Affleck, Kodi Smit-McPhee,  Tucker Albrizzi,  Jodelle Ferland"
1064,8138788,Promised Land," John Krasinski,  Rosemarie DeWitt,  Lucas Black, Matt Damon,  Frances McDormand"
1065,77112176,Diary of a Wimpy Kid: Dog Days," Rachael Harris,  Steve Zahn,  Zachary Gordon, Devon Bostick,  Peyton List"
1066,9622846,For Greater Glory - The True Story of Cristiada," Oscar Isaac, Eva Longoria,  RubÃ©n Blades,  Peter O'Toole,  Andy GarcÃ­a"
1067,50365377,Red Tails,"Bryan Cranston,  Cuba Gooding Jr.,  Daniela Ruah,  Terrence Howard,  David Oyelowo"
1068,11417362,Fun Size," Jane Levy, Victoria Justice,  Chelsea Handler,  Jackson Nicoll,  Josh Pence"
1069,31083599,Premium Rush,"Joseph Gordon-Levitt,  WolÃ© Parks,  Jamie Chung,  Michael Shannon,  Dania Ramirez"
1070,13231461,The Words,"Bradley Cooper,  Olivia Wilde,  Jeremy Irons,  Zoe Saldana,  Dennis Quaid"
1071,142817992,Paranormal Activity 4," Brady Allen,  Matt Shively,  Kathryn Newton,  Sprague Grayden, Katie Featherston"
1072,8784318,On the Road," Garrett Hedlund, Kristen Stewart,  Tom Sturridge,  Kirsten Dunst,  Sam Riley"
1073,119772232,Parental Guidance," Tom Everett Scott, Billy Crystal,  Bailee Madison,  Marisa Tomei,  Bette Midler"
1074,96070507,Think Like a Man," Regina Hall,  Meagan Good,  Kevin Hart,  Jerry Ferrara, Michael Ealy"
1075,4636169,Fire with Fire," Josh Duhamel,  Rosario Dawson, Bruce Willis,  50 Cent,  Vincent D'Onofrio"
1076,9627492,The Apparition," Luke Pasqualino, Ashley Greene,  Tom Felton,  Sebastian Stan,  Julianna Guill"
1077,6063556,Cosmopolis," Samantha Morton,  Juliette Binoche, Robert Pattinson,  Paul Giamatti,  Sarah Gadon"
1078,240159255,Resident Evil: Retribution," Aryana Engineer,  Sienna Guillory, Milla Jovovich,  Li Bingbing,  Michelle Rodriguez"
1079,24637469,Sparkle," Cee Lo Green,  Mike Epps,  Derek Luke, Whitney Houston,  Carmen Ejogo"
1080,32726956,Katy Perry: Part of Me," Rachael Markarian,  Mia Moretti,  Shannon Woodward,  Russell Brand, Katy Perry"
