Index,cast,revenue,original_title
981, Ian McShane,396600000,Snow White and the Huntsman
971, Michael Ealy,132400000,Underworld: Awakening
1001, Chris Hemsworth,66486080,The Cabin in the Woods
1005, Catherine Chan,40346186,Safe
1021, Anna Wood,145000000,Chronicle
987, Oaklee Pendergast,180274123,Lo imposible
1067,Bryan Cranston,50365377,Red Tails
1057, Will Sasso,54819301,The Three Stooges
1022, Nestor Serrano,81272766,Act of Valor
996, Jackie Earle Haley,245527149,Dark Shadows
990, Tommy Lee Jones,624026776,Men in Black 3
1032, Alec Baldwin,59418613,Rock of Ages
995,Liam Neeson,376141306,Taken 2
992, Jessica Biel,198802074,Total Recall
1061,Katherine Heigl,36893721,One for the Money
995, Rade Serbedzija,376141306,Taken 2
973,Jamie Foxx,425368238,Django Unchained
1002, Hugh Jackman,306941670,Rise of the Guardians
1070,Bradley Cooper,13231461,The Words
1014, Mark Strong,284139100,John Carter
1025, Brooklyn Decker,79700000,What to Expect When You're Expecting
976,Ian McKellen,1017003568,The Hobbit: An Unexpected Journey
1047, Kristen Bell,24719215,Big Miracle
975,Jeremy Renner,276572938,The Bourne Legacy
1042, Susan Sarandon,58058367,That's My Boy
991, Elizabeth Banks,691210692,The Hunger Games
1046, Abbie Cornish,19422261,Seven Psychopaths
1032, Julianne Hough,59418613,Rock of Ages
999, Alyson Hannigan,234989584,American Reunion
1034, Jeremy Piven,118338361,The Pirates! In an Adventure with Scientists!
1047, Dermot Mulroney,24719215,Big Miracle
1030, Guy Pearce,53676580,Lawless
1021, Alex Russell,145000000,Chronicle
1080, Rachael Markarian,32726956,Katy Perry: Part of Me
999, Chris Klein,234989584,American Reunion
1033, Sami Gayle,2106557,Stolen
1066, Oscar Isaac,9622846,For Greater Glory - The True Story of Cristiada
1039,Paul Rudd,24159934,Wanderlust
1052, Kit Harington,52302796,Silent Hill: Revelation 3D
977, Guy Pearce,403170142,Prometheus
1031, Luke Evans,29657751,The Raven
977, Idris Elba,403170142,Prometheus
1024, Anna Kendrick,48126384,End of Watch
1071, Brady Allen,142817992,Paranormal Activity 4
989,Anna Kendrick,115350426,Pitch Perfect
1070, Olivia Wilde,13231461,The Words
973, Leonardo DiCaprio,425368238,Django Unchained
1036, Rhys Ifans,53909751,The Five-Year Engagement
993,Tom Hanks,130482868,Cloud Atlas
1076, Luke Pasqualino,9627492,The Apparition
1058, Jean Smart,114281051,Hope Springs
988, Jamie Elman,471222889,Wreck-It Ralph
1000,Channing Tatum,167221571,Magic Mike
1077, Samantha Morton,6063556,Cosmopolis
1078, Aryana Engineer,240159255,Resident Evil: Retribution
1038, Peter Stormare,32204030,Lockout
1026, Megan Fox,179379533,The Dictator
1018, Bill Paxton,33372606,Haywire
987, Samuel Joslin,180274123,Lo imposible
1070, Jeremy Irons,13231461,The Words
991,Jennifer Lawrence,691210692,The Hunger Games
974, Naomie Harris,1108561013,Skyfall
980,Kelly Macdonald,538983207,Brave
1076,Ashley Greene,9627492,The Apparition
1065, Rachael Harris,77112176,Diary of a Wimpy Kid: Dog Days
1033,Nicolas Cage,2106557,Stolen
979, Martin Sheen,752215857,The Amazing Spider-Man
1069,Joseph Gordon-Levitt,31083599,Premium Rush
1032,Tom Cruise,59418613,Rock of Ages
1045, Jamie Bell,46221189,Man on a Ledge
1031, Alice Eve,29657751,The Raven
972, Anne Hathaway,1081041287,The Dark Knight Rises
1022,Roselyn SÃ¡nchez,81272766,Act of Valor
1061, John Leguizamo,36893721,One for the Money
1046,Colin Farrell,19422261,Seven Psychopaths
979, Denis Leary,752215857,The Amazing Spider-Man
999, Seann William Scott,234989584,American Reunion
1003, Channing Tatum,196114570,The Vow
1050, Katrina Bowden,8493728,Piranha 3DD
1033, Malin Ã…kerman,2106557,Stolen
1000, Olivia Munn,167221571,Magic Mike
986, Richard Jenkins,218340595,Jack Reacher
1064, John Krasinski,8138788,Promised Land
1019,Sam Worthington,301000000,Wrath of the Titans
1029, Chris Rock,746921274,Madagascar 3: Europe's Most Wanted
1059,Eddie Murphy,22044277,A Thousand Words
1041, Martin Short,81491068,Frankenweenie
1022, Alexander Asefa,81272766,Act of Valor
1053, Ray Liotta,37930465,Killing Them Softly
1060, Jean Reno,30353232,Alex Cross
997, Paul Rudd,33400000,The Perks of Being a Wallflower
1040, Sidney Johnston,127730736,The Woman in Black
995, Maggie Grace,376141306,Taken 2
1003,Rachel McAdams,196114570,The Vow
1036, Chris Pratt,53909751,The Five-Year Engagement
1016, Robert Pattinson,829000000,The Twilight Saga: Breaking Dawn - Part 2
1026, Sayed Badreya,179379533,The Dictator
1013,Julia Roberts,183018522,Mirror Mirror
1043,Denzel Washington,208076205,Safe House
1068, Jane Levy,11417362,Fun Size
989, Rebel Wilson,115350426,Pitch Perfect
1022, Gonzalo Menendez,81272766,Act of Valor
992, Kate Beckinsale,198802074,Total Recall
1058, Steve Carell,114281051,Hope Springs
1005, Chris Sarandon,40346186,Safe
999, Thomas Ian Nicholas,234989584,American Reunion
1067, Cuba Gooding Jr.,50365377,Red Tails
1038, Maggie Grace,32204030,Lockout
973, Kerry Washington,425368238,Django Unchained
1056, Isabel Lucas,44806783,Red Dawn
998,Ben Affleck,232324128,Argo
1007, Timothy Spall,8106475,Upside Down
1037,Paul Rudd,88058786,This Is 40
982, Ellie Kemper,201585328,21 Jump Street
1074, Regina Hall,96070507,Think Like a Man
1043, Joel Kinnaman,208076205,Safe House
1079, Cee Lo Green,24637469,Sparkle
1006,Benjamin Walker,112265139,Abraham Lincoln: Vampire Hunter
1027,Oliver Cooper,100000000,Project X
1058, Marin Ireland,114281051,Hope Springs
980, Julie Walters,538983207,Brave
1078, Sienna Guillory,240159255,Resident Evil: Retribution
990, Josh Brolin,624026776,Men in Black 3
1035, Jesse Plemons,28258060,The Master
989, Anna Camp,115350426,Pitch Perfect
1062, Billy Connolly,59520298,Quartet
1076, Tom Felton,9627492,The Apparition
