CONCEPTO,Habitación Sencilla ,Página web,Estrellas,I.V.A. ,Teléfono,Impuestos sobre hospedaje
HOTEL QUINTA SANTIAGO,990.0,http://www.hotelquintasantiago.mx/,****,0.16,"(442) 251-9800, 224-1985 y 224-1986.",0.025
FOUR POINTS BY SHERATON,1150.0,http://www.starwoodhotels.com/fourpoints/index.html,*****,0.16,(4429 103-3030,0.035
HOME 2 BY HILTON,1150.0,http://www.hiltonhotels.com/,*****,0.16,(442) 368 3030,0.035
HOTEL MIRABEL ,774.0,www.hotelmirabel.com.mx,****,0.16,(442) 214-3535 y 214-3099,0.025
FOUR POINTS BY SHERATON (WISE),1050.0,http://www.starwoodhotels.com/fourpoints/index.html,*****,0.16,(4429 103-3030,0.035
HOTEL MISION JURIQUILLA ,1030.0,http://www.hotelesmision.com.mx/queretaro_juriquilla.php,*****,0.16,(442) 234-0000 Ext. 547,0.025
PLAZA CAMELINAS HOTEL,789.0,www.plazacamelinas.com.mx,*****,0.16,(442) 192-3900,0.025
HOTEL REAL ALAMEDA,995.0,http://www.hotelrealalameda.com/,****,0.16,(442) 251 8900,0.025
RAMADA ENCORE HOTEL QRO.,920.0,www.hotelesencore.com,****,0.16,(442) 690-9400,0.035
HOTELES CITY EXPRESS SUITES,970.52,https://www.cityexpress.com/,****,0.16,(442) 103 3900,0.025
