Account Name,Membership Category,Membership Level,Website
Suppliers and Manufacturers,,,
Suam Overseas Pvt Ltd,7,2.0,
NRG Hometex Ltd.,7,2.0,
Tamishna Synthetics Ltd,7,2.0,
Sri Sankari Yarns Pvt. Ltd.,7,2.0,
Dhancot Fibres Pvt. Ltd.,12,2.0,
Nishat Chunian Ltd.,4,2.0,
Weiqiao Textile Co. Ltd.,4,2.0,
Grupo Industrial Miro SA de C V,4,2.0,www.grupomiro.com
Lucky Knits (Pvt.) Ltd,9,3.0,
"Zhucheng Chinatex G-Way Textile Co,.Ltd",7,2.0,www.g-way.cn
Shahi Exports Pvt. Ltd.,4,2.0,
South Asia Textile Industries Lanka (Pvt) Ltd.,6,3.0,
Palani Vijay Cottspin Pvt Ltd,7,2.0,
Vikrant International Pvt. Ltd.,12,2.0,
"Akesu Youngor Textile Co.,Ltd",7,2.0,
"Tung Ho Textile Co.,Ltd",7,2.0,www.tungho.com.tw
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Tangshan Changliang Textile Co.,Ltd",7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Chenduran Cotspin (India) Pvt Ltd,7,2.0,
Sree Lalitha Parameswari Spinning Mills Pvt Ltd,7,2.0,
Changzhou Keteng Textile Co. Ltd.,12,2.0,
Kyungbang Limited,4,2.0,www.kyungbang.co.kr
Shivdhara Spinners & Spinners Pvt Ltd,7,2.0,www.shivdharagroup.com
Becri - Malhas e Confeccoes S. A.,9,3.0,
"Sociedade Algodoeira do Niassa JFS, SARL",11,3.0,
S Raja Exports,12,2.0,
CFT Pietro Masserini Spa,7,2.0,www.cftmasserini.com
Sree Santosh Garments,5,3.0,
Adamjee Enterprises,9,3.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Nantong Huaqiang Cloth Co.,Ltd",4,2.0,
Rajasthan Textile Mills,7,2.0,
Jihua 3542 Textile Co. Ltd.,4,2.0,
Senthilkumar Textile Mills Pvt Ltd,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Dhruv Cotton Processing Pvt. Ltd.,7,2.0,
N M Exports,9,3.0,
Sitaram Spinners Private Limited,7,2.0,
Nitin Spinners Limited,7,2.0,
Hebei Ningfang Group Co. Ltd.,4,2.0,
"Kuk Il Spinning Co., Ltd",7,2.0,
Loftex Industries Ltd.,,2.0,www.loftex.com.cn
Basyazicioglu Tekstil San. ve Tic. A.S. (AKA Bamen),7,2.0,
Cargill,12,2.0,
"Shaoxing Dafa Cloth Trade Co., Ltd",6,3.0,
Grospinz Fabz Limited,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Lagnam Spintex Private Limited,7,2.0,
Mocotex S.A.,11,2.0,
Anandi Entreprises,12,2.0,
Pee Vee Textiles Ltd,4,2.0,
Shri Dhanalakshmi Spintex Pvt Ltd,7,2.0,www.shridhanalakshmi.com
"Loeb & Company, Inc.",12,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
