Subtitle,Total Number of Deaths ,Percent of Deaths,Crude Death Rate ,Age-adjusted Death Rate
Age,437.0,0.009000000000000001,142.5,0.0
Age,157.0,0.003,20.6,0.0
Age,487.0,0.01,77.2,0.0
Age,10358.0,0.207,327.9,0.0
Age,38698.0,0.772,4711.3,0.0
Sex,25437.0,0.51,879.2,614.4
Sex,24700.0,0.49,865.2,826.7
Race/Ethnicity,45929.0,0.916069968,916.2,696.6
Race/Ethnicity,2377.0,0.047410096,586.3,960.3
Race/Ethnicity,400.0,0.00797814,653.6,1028.5
Race/Ethnicity,304.0,0.006063386,199.2,416.9
Race/Ethnicity,711.0,0.014181144,161.3,467.3
Race/Ethnicity,416.0,0.008297265,0.0,0.0
